year,team,agl,agl_rank,off_agl,def_agl
2013,DEN,83.6,25,,
2013,NYJ,43.0,6,,
2013,GB,103.0,31,,
2013,PIT,82.9,24,,
2013,PHI,32.2,1,,
2013,CAR,70.8,19,,
2013,BAL,47.4,9,,
2013,MIN,53.9,11,,
2013,NO,71.3,20,,
2013,BUF,44.3,8,,
2013,HOU,63.7,17,,
2013,NE,97.6,29,,
2013,LAR,47.4,10,,
2013,CLE,41.1,3,,
2013,DET,62.6,15,,
2013,CIN,41.7,5,,
2013,ARI,62.8,16,,
2013,SEA,60.1,13,,
2013,DAL,66.6,18,,
2013,JAX,74.1,21,,
2013,MIA,59.9,12,,
2013,TEN,43.9,7,,
2013,TB,85.3,26,,
2013,WAS,41.4,4,,
2013,ATL,90.0,27,,
2013,KC,40.0,2,,
2013,CHI,62.4,14,,
2013,SF,81.5,23,,
2013,LV,76.9,22,,
2013,IND,100.7,30,,
2013,LAC,91.0,28,,
2013,NYG,141.3,32,,
2014,DEN,36.9,1,11.7,25.2
2014,NYJ,41.5,2,18.7,22.8
2014,GB,41.9,3,11.0,31.0
2014,PIT,42.8,4,4.1,38.7
2014,PHI,48.6,5,32.2,16.4
2014,CAR,51.4,6,39.7,11.7
2014,BAL,52.6,7,25.0,27.6
2014,MIN,56.1,8,39.0,17.1
2014,NO,58.0,9,26.4,31.6
2014,BUF,59.0,10,27.2,31.9
2014,HOU,59.9,11,18.8,41.1
2014,NE,62.0,12,24.4,37.6
2014,LAR,64.1,13,37.6,26.5
2014,CLE,67.0,14,30.5,36.6
2014,DET,67.6,15,26.4,41.1
2014,CIN,71.7,16,48.5,23.2
2014,ARI,72.8,17,24.0,48.8
2014,SEA,74.8,18,39.5,35.3
2014,DAL,76.1,19,9.3,66.8
2014,JAX,77.8,20,33.5,44.3
2014,MIA,79.5,21,40.3,39.1
2014,TEN,79.7,22,38.8,40.9
2014,TB,87.2,23,31.1,56.1
2014,WAS,89.5,24,21.9,67.6
2014,ATL,93.8,25,60.6,33.2
2014,KC,98.8,26,36.0,62.8
2014,CHI,101.6,27,41.0,60.6
2014,SF,101.8,28,30.0,71.8
2014,LV,103.6,29,26.1,77.5
2014,IND,104.7,30,56.6,48.2
2014,LAC,119.1,31,82.1,37.0
2014,NYG,137.1,32,65.9,71.3
2015,LAR,80.3,24,,
2015,TEN,65.2,18,,
2015,CIN,28.2,1,,
2015,PHI,52.0,6,,
2015,SEA,40.1,3,,
2015,ATL,28.8,2,,
2015,NYG,138.7,32,,
2015,NE,93.3,29,,
2015,CAR,50.9,4,,
2015,DEN,56.7,10,,
2015,BAL,96.1,30,,
2015,PIT,67.1,19,,
2015,LV,57.6,11,,
2015,DET,76.7,23,,
2015,GB,56.2,9,,
2015,DAL,51.7,5,,
2015,JAX,68.9,20,,
2015,TB,75.0,22,,
2015,ARI,62.5,14,,
2015,IND,65.1,17,,
2015,NO,56.1,8,,
2015,HOU,64.8,16,,
2015,CLE,70.7,21,,
2015,SF,83.9,27,,
2015,BUF,80.5,25,,
2015,MIA,63.4,15,,
2015,KC,54.9,7,,
2015,WAS,119.1,31,,
2015,NYJ,61.8,13,,
2015,MIN,59.0,12,,
2015,LAC,81.5,26,,
2015,CHI,92.8,28,,
2016,LAR,29.0,1,,
2016,TEN,32.0,2,,
2016,CIN,35.1,3,,
2016,PHI,38.4,4,,
2016,SEA,41.1,5,,
2016,ATL,52.2,6,,
2016,NYG,52.4,7,,
2016,NE,54.5,8,,
2016,CAR,56.5,9,,
2016,DEN,60.2,10,,
2016,BAL,60.3,11,,
2016,PIT,61.8,12,,
2016,LV,65.0,13,,
2016,DET,69.5,14,,
2016,GB,70.5,15,,
2016,DAL,70.6,16,,
2016,JAX,72.5,17,,
2016,TB,77.5,18,,
2016,ARI,77.8,19,,
2016,IND,78.4,20,,
2016,NO,81.3,21,,
2016,HOU,91.7,22,,
2016,CLE,96.4,23,,
