year,team,head_coach,new_coach
2014,ARI,Bruce Arians,
2014,ATL,Mike Smith,
2014,BAL,John Harbaugh,
2014,BUF,Doug Marrone,
2014,CAR,Ron Rivera,
2014,CHI,Marc Trestman,
2014,CIN,Marvin Lewis,
2014,CLE,Mike Pettine,
2014,DAL,Jason Garrett,
2014,DEN,John Fox,
2014,DET,Jim Caldwell,
2014,GB,Mike McCarthy,
2014,HOU,Bill O'Brien,
2014,IND,Chuck Pagano,
2014,JAX,Gus Bradley,
2014,KC,Andy Reid,
2014,MIA,Joe Philbin,
2014,MIN,Mike Zimmer,
2014,NE,Bill Belichick,
2014,NO,Sean Payton,
2014,NYG,Tom Coughlin,
2014,NYJ,Rex Ryan,
2014,LV,Dennis Allen,
2014,PHI,Chip Kelly,
2014,PIT,Mike Tomlin,
2014,LAC,Mike McCoy,
2014,SEA,Pete Carroll,
2014,SF,Jim Harbaugh,
2014,LAR,Jeff Fisher,
2014,TB,Lovie Smith,
2014,TEN,Ken Whisenhunt,
2014,WAS,Jay Gruden,
2015,ARI,Bruce Arians,0
2015,ATL,Dan Quinn,1
2015,BAL,John Harbaugh,0
2015,BUF,Rex Ryan,1
2015,CAR,Ron Rivera,0
2015,CHI,John Fox,1
2015,CIN,Marvin Lewis,0
2015,CLE,Mike Pettine,0
2015,DAL,Jason Garrett,0
2015,DEN,Gary Kubiak,1
2015,DET,Jim Caldwell,0
2015,GB,Mike McCarthy,0
2015,HOU,Bill O'Brien,0
2015,IND,Chuck Pagano,0
2015,JAX,Gus Bradley,0
2015,KC,Andy Reid,0
2015,MIA,Joe Philbin,0
2015,MIN,Mike Zimmer,0
2015,NE,Bill Belichick,0
2015,NO,Sean Payton,0
2015,NYG,Tom Coughlin,0
2015,NYJ,Todd Bowles,1
2015,LV,Jack Del Rio,1
2015,PHI,Chip Kelly,0
2015,PIT,Mike Tomlin,0
2015,LAC,Mike McCoy,0
2015,SEA,Pete Carroll,0
2015,SF,Jim Tomsula,1
2015,LAR,Jeff Fisher,0
2015,TB,Lovie Smith,0
2015,TEN,Ken Whisenhunt,0
2015,WAS,Jay Gruden,0
2016,ARI,Bruce Arians,0
2016,ATL,Dan Quinn,0
2016,BAL,John Harbaugh,0
2016,BUF,Rex Ryan,0
2016,CAR,Ron Rivera,0
2016,CHI,John Fox,0
2016,CIN,Marvin Lewis,0
2016,CLE,Hue Jackson,1
2016,DAL,Jason Garrett,0
2016,DEN,Gary Kubiak,0
2016,DET,Jim Caldwell,0
2016,GB,Mike McCarthy,0
2016,HOU,Bill O'Brien,0
2016,IND,Chuck Pagano,0
2016,JAX,Gus Bradley,0
2016,KC,Andy Reid,0
2016,LAR,Jeff Fisher,0
2016,MIA,Adam Gase,1
2016,MIN,Mike Zimmer,0
2016,NE,Bill Belichick,0
2016,NO,Sean Payton,0
2016,NYG,Ben McAdoo,1
2016,NYJ,Todd Bowles,0
2016,LV,Jack Del Rio,0
2016,PHI,Doug Pederson,1
2016,PIT,Mike Tomlin,0
2016,LAC,Mike McCoy,0
2016,SEA,Pete Carroll,0
2016,SF,Chip Kelly,1
2016,TB,Dirk Koetter,1
2016,TEN,Mike Mularkey,1
2016,WAS,Jay Gruden,0
2017,ARI,Bruce Arians,0
2017,ATL,Dan Quinn,0
2017,BAL,John Harbaugh,0
2017,BUF,Sean McDermott,1
2017,CAR,Ron Rivera,0
2017,CHI,John Fox,0
2017,CIN,Marvin Lewis,0
2017,CLE,Hue Jackson,0
2017,DAL,Jason Garrett,0
2017,DEN,Vance Joseph,1
2017,DET,Jim Caldwell,0
2017,GB,Mike McCarthy,0
2017,HOU,Bill O'Brien,0
2017,IND,Chuck Pagano,0
2017,JAX,Doug Marrone,1
2017,KC,Andy Reid,0
2017,LAC,Anthony Lynn,1
2017,LAR,Sean McVay,1
2017,MIA,Adam Gase,0
2017,MIN,Mike Zimmer,0
2017,NE,Bill Belichick,0
2017,NO,Sean Payton,0
2017,NYG,Ben McAdoo,0
2017,NYJ,Todd Bowles,0
2017,LV,Jack Del Rio,0
2017,PHI,Doug Pederson,0
2017,PIT,Mike Tomlin,0
2017,SEA,Pete Carroll,0
2017,SF,Kyle Shanahan,1
2017,TB,Dirk Koetter,0
2017,TEN,Mike Mularkey,0
2017,WAS,Jay Gruden,0
2018,ARI,Steve Wilks,1
2018,ATL,Dan Quinn,0
2018,BAL,John Harbaugh,0
2018,BUF,Sean McDermott,0
2018,CAR,Ron Rivera,0
2018,CHI,Matt Nagy,1
2018,CIN,Marvin Lewis,0
2018,CLE,Hue Jackson,0
2018,DAL,Jason Garrett,0
2018,DEN,Vance Joseph,0
2018,DET,Matt Patricia,1
2018,GB,Mike McCarthy,0
2018,HOU,Bill O'Brien,0
2018,IND,Frank Reich,1
2018,JAX,Doug Marrone,0
2018,KC,Andy Reid,0
2018,LAC,Anthony Lynn,0
2018,LAR,Sean McVay,0
2018,MIA,Adam Gase,0
2018,MIN,Mike Zimmer,0
2018,NE,Bill Belichick,0
2018,NO,Sean Payton,0
2018,NYG,Pat Shurmur,1
2018,NYJ,Todd Bowles,0
2018,LV,Jon Gruden,1
2018,PHI,Doug Pederson,0
2018,PIT,Mike Tomlin,0
2018,SEA,Pete Carroll,0
2018,SF,Kyle Shanahan,0
2018,TB,Dirk Koetter,0
2018,TEN,Mike Vrabel,1
2018,WAS,Jay Gruden,0
2019,ARI,Kliff Kingsbury,1
2019,ATL,Dan Quinn,0
2019,BAL,John Harbaugh,0
2019,BUF,Sean McDermott,0
2019,CAR,Ron Rivera,0
2019,CHI,Matt Nagy,0
2019,CIN,Zac Taylor,1
2019,CLE,Freddie Kitchens,1
2019,DAL,Jason Garrett,0
2019,DEN,Vic Fangio,1
2019,DET,Matt Patricia,0
2019,GB,Matt LaFleur,1
2019,HOU,Bill O'Brien,0
2019,IND,Frank Reich,0
2019,JAX,Doug Marrone,0
2019,KC,Andy Reid,0
2019,LAC,Anthony Lynn,0
2019,LAR,Sean McVay,0
2019,MIA,Brian Flores,1
2019,MIN,Mike Zimmer,0
2019,NE,Bill Belichick,0
2019,NO,Sean Payton,0
2019,NYG,Pat Shurmur,0
2019,NYJ,Adam Gase,1
2019,LV,Jon Gruden,0
2019,PHI,Doug Pederson,0
2019,PIT,Mike Tomlin,0
2019,SEA,Pete Carroll,0
2019,SF,Kyle Shanahan,0
2019,TB,Bruce Arians,1
2019,TEN,Mike Vrabel,0
2019,WAS,Jay Gruden,0
2020,ARI,Kliff Kingsbury,0
2020,ATL,Dan Quinn,0
2020,BAL,John Harbaugh,0
2020,BUF,Sean McDermott,0
2020,CAR,Matt Rhule,1
2020,CHI,Matt Nagy,0
2020,CIN,Zac Taylor,0
2020,CLE,Kevin Stefanski,1
2020,DAL,Mike McCarthy,1
2020,DEN,Vic Fangio,0
2020,DET,Matt Patricia,0
2020,GB,Matt LaFleur,0
2020,HOU,Bill O'Brien,0
2020,IND,Frank Reich,0
2020,JAX,Doug Marrone,0
2020,KC,Andy Reid,0
2020,LAC,Anthony Lynn,0
2020,LAR,Sean McVay,0
2020,LV,Jon Gruden,0
2020,MIA,Brian Flores,0
2020,MIN,Mike Zimmer,0
2020,NE,Bill Belichick,0
2020,NO,Sean Payton,0
2020,NYG,Joe Judge,1
2020,NYJ,Adam Gase,0
2020,PHI,Doug Pederson,0
2020,PIT,Mike Tomlin,0
2020,SEA,Pete Carroll,0
2020,SF,Kyle Shanahan,0
2020,TB,Bruce Arians,0
2020,TEN,Mike Vrabel,0
2020,WAS,Ron Rivera,1
2021,ARI,Kliff Kingsbury,0
2021,ATL,Arthur Smith,1
2021,BAL,John Harbaugh,0
2021,BUF,Sean McDermott,0
2021,CAR,Matt Rhule,0
2021,CHI,Matt Nagy,0
2021,CIN,Zac Taylor,0
2021,CLE,Kevin Stefanski,0
2021,DAL,Mike McCarthy,0
2021,DEN,Vic Fangio,0
2021,DET,Dan Campbell,1
2021,GB,Matt LaFleur,0
2021,HOU,David Culley,1
2021,IND,Frank Reich,0
2021,JAX,Urban Meyer,1
2021,KC,Andy Reid,0
2021,LAC,Brandon Staley,1
2021,LAR,Sean McVay,0
2021,LV,Jon Gruden,0
2021,MIA,Brian Flores,0
2021,MIN,Mike Zimmer,0
2021,NE,Bill Belichick,0
2021,NO,Sean Payton,0
2021,NYG,Joe Judge,0
2021,NYJ,Robert Saleh,1
2021,PHI,Nick Sirianni,1
2021,PIT,Mike Tomlin,0
2021,SEA,Pete Carroll,0
2021,SF,Kyle Shanahan,0
2021,TB,Bruce Arians,0
