year,player,team,pos,season_finish,per_game_finish
2023,Christian McCaffrey,SF,RB,1.0,
2023,CeeDee Lamb,DAL,WR,4.0,
2023,Justin Jefferson,MIN,WR,9.0,
2023,Tyreek Hill,MIA,WR,3.0,
2023,Breece Hall,NYJ,RB,18.0,
2023,A.J. Brown,PHI,WR,13.0,
2023,Ja'Marr Chase,CIN,WR,21.0,
2023,Amon-Ra St. Brown,DET,WR,8.0,
2023,Bijan Robinson,ATL,RB,39.0,
2023,Garrett Wilson,NYJ,WR,91.0,
2023,Puka Nacua,LAR,WR,14.0,
2023,Jahmyr Gibbs,DET,RB,17.0,
2023,Jaylen Waddle,MIA,WR,68.0,
2023,Nico Collins,HOU,WR,20.0,
2023,Kyren Williams,LAR,RB,2.0,
2023,Jonathan Taylor,IND,RB,34.0,
2023,Brandon Aiyuk,SF,WR,28.0,
2023,Cooper Kupp,LAR,WR,46.0,
2023,Saquon Barkley,PHI,RB,26.0,
2023,De'Von Achane,MIA,RB,5.0,
2023,Davante Adams,LV,WR,33.0,
2023,Deebo Samuel,SF,WR,10.0,
2023,Drake London,ATL,WR,98.0,
2023,Mike Evans,TB,WR,12.0,
2023,Isiah Pacheco,KC,RB,29.0,
2023,Jalen Hurts,PHI,QB,38.0,
2023,Chris Olave,NO,WR,58.0,
2023,DK Metcalf,SEA,WR,41.0,
2023,Josh Jacobs,GB,RB,40.0,
2023,Derrick Henry,BAL,RB,23.0,
2023,Amari Cooper,CLE,WR,27.0,
2023,Tank Dell,HOU,WR,22.0,
2023,DeVonta Smith,PHI,WR,48.0,
2023,Travis Etienne Jr.,JAX,RB,11.0,
2023,Travis Kelce,KC,TE,56.0,
2023,Patrick Mahomes,KC,QB,130.0,
2023,DJ Moore,CHI,WR,16.0,
2023,George Pickens,PIT,WR,57.0,
2023,Josh Allen,BUF,QB,25.0,
2023,Lamar Jackson,BAL,QB,43.0,
2023,Christian Kirk,JAX,WR,86.0,
2023,Tee Higgins,CIN,WR,62.0,
2023,Sam LaPorta,DET,TE,47.0,
2023,Joe Mixon,HOU,RB,35.0,
2023,Stefon Diggs,HOU,WR,32.0,
2023,Trey McBride,ARI,TE,111.0,
2023,Mark Andrews,BAL,TE,61.0,
2023,Zay Flowers,BAL,WR,74.0,
2023,Anthony Richardson,IND,QB,77.0,
2023,Rachaad White,TB,RB,24.0,
2023,James Cook,BUF,RB,37.0,
2023,Michael Pittman Jr.,IND,WR,42.0,
2023,Hollywood Brown,KC,WR,118.0,
2023,C.J. Stroud,HOU,QB,90.0,
2023,Kyle Pitts,ATL,TE,165.0,
2023,David Montgomery,DET,RB,19.0,
2023,DeAndre Hopkins,TEN,WR,64.0,
2023,Diontae Johnson,CAR,WR,101.0,
2023,Keenan Allen,CHI,WR,7.0,
2023,Dalton Kincaid,BUF,TE,149.0,
2023,George Kittle,SF,TE,49.0,
2023,Rashee Rice,KC,WR,80.0,
2023,Chris Godwin,TB,WR,110.0,
2023,Najee Harris,PIT,RB,83.0,
2023,James Conner,ARI,RB,30.0,
2023,Jaxon Smith-Njigba,SEA,WR,166.0,
