pos,rank,player,team,rookie,proj_rush_yds,proj_rush_tds,proj_rec,proj_rec_yds
QB,1,Josh Allen,BUF,,,,,
QB,2,Joe Burrow,CIN,,,,,
QB,3,Drake Maye,NE,,,,,
QB,4,Trevor Lawrence,JAX,,,,,
QB,5,Jalen Hurts,PHI,,,,,
QB,6,Lamar Jackson,BAL,,,,,
QB,7,Caleb Williams,CHI,,,,,
QB,8,Jayden Daniels,WAS,,,,,
QB,9,Brock Purdy,SF,,,,,
QB,10,Justin Herbert,LAC,,,,,
QB,11,Jared Goff,DET,,,,,
QB,12,Dak Prescott,DAL,,,,,
QB,13,Bo Nix,DEN,,,,,
QB,14,Jaxson Dart,NYG,,,,,
QB,15,Baker Mayfield,TB,,,,,
QB,16,Matthew Stafford,LAR,,,,,
QB,17,Jordan Love,GB,,,,,
QB,18,Patrick Mahomes,KC,,,,,
QB,19,Tyler Shough,NO,,,,,
QB,20,Sam Darnold,SEA,,,,,
QB,21,C.J. Stroud,HOU,,,,,
QB,22,Malik Willis,MIA,,,,,
QB,23,Kyler Murray,MIN,,,,,
QB,24,Bryce Young,CAR,,,,,
QB,25,Daniel Jones,IND,,,,,
QB,26,Geno Smith,NYJ,,,,,
QB,27,Cam Ward,TEN,,,,,
QB,28,Aaron Rodgers,PIT,,,,,
QB,29,Jacoby Brissett,ARI,,,,,
QB,30,Fernando Mendoza,LV,,,,,
QB,31,Michael Penix Jr.,ATL,,,,,
QB,32,Deshaun Watson,CLE,,,,,
QB,33,Shedeur Sanders,CLE,,,,,
QB,34,Tua Tagovailoa,ATL,,,,,
RB,1,Jahmyr Gibbs,DET,,1199,12.3,61,468
RB,2,Bijan Robinson,ATL,,1154,8.7,66,568
RB,3,C. McCaffrey,SF,,924,8.7,69,562
RB,4,Jonathan Taylor,IND,,1234,11.4,36,278
RB,5,James Cook,BUF,,1209,10.3,31,268
RB,6,Derrick Henry,BAL,,1229,12.6,17,133
RB,7,Saquon Barkley,PHI,,1079,7.8,37,325
RB,8,Ashton Jeanty,LV,,1048,7,45,341
RB,9,Omarion Hampton,LAC,,929,7.9,48,364
RB,10,De'Von Achane,MIA,,979,5.3,58,375
RB,11,Chase Brown,CIN,,844,5.7,57,417
RB,12,Kyren Williams,LAR,,944,9.8,32,219
RB,13,Javonte Williams,DAL,,931,9.7,37,239
RB,14,Kenneth Walker,KC,,939,7.6,37,272
RB,15,Josh Jacobs,GB,,918,8,33,258
RB,16,Jeremiyah Love,ARI,Y,768,5.8,47,351
RB,17,Breece Hall,NYJ,,900,5.3,37,314
RB,18,Travis Etienne,NO,,839,5.4,36,287
RB,19,D'Andre Swift,CHI,,799,7,37,272
RB,20,David Montgomery,HOU,,814,7.7,32,235
RB,21,Quinshon Judkins,CLE,,862,6.8,32,228
RB,22,Cam Skattebo,NYG,,781,6.4,42,250
RB,23,Bucky Irving,TB,,804,5,36,271
RB,24,Rico Dowdle,PIT,,708,5.2,38,273
RB,25,TreVeyon Henderson,NE,,700,5.6,35,260
RB,26,Bhayshul Tuten,JAX,,734,5.5,32,234
RB,27,Tony Pollard,TEN,,784,5.3,28,187
RB,28,Kyle Monangai,CHI,,751,6,23,165
RB,29,Jadarian Price,SEA,Y,736,6.7,19,138
RB,30,Jaylen Warren,PIT,,609,5,36,267
RB,31,Rhamondre Stevenson,NE,,618,6.1,29,214
RB,32,J.K. Dobbins,DEN,,681,5.1,26,190
RB,33,Chuba Hubbard,CAR,,700,5,22,153
RB,34,Kenneth Gainwell,TB,,418,3,47,355
RB,35,Jonathon Brooks,CAR,,575,4,34,245
RB,36,RJ Harvey,DEN,,515,3,37,276
RB,37,Chris Rodriguez,JAX,,728,6,15,107
RB,38,Jordan Mason,MIN,,649,4.8,20,140
RB,39,Blake Corum,LAR,,666,5.7,15,106
RB,40,Jacory Croskey-Merritt,WAS,,587,5,19,135
RB,41,Aaron Jones,MIN,,483,3,34,248
RB,42,Rachaad White,WAS,,468,3,34,253
RB,43,Tyrone Tracy,NYG,,528,3,21,155
RB,44,Tyjae Spears,TEN,,388,2,35,248
RB,45,M. Washington Jr.,LV,Y,458,3,16,117
RB,46,Keaton Mitchell,LAC,,435,3,18,134
RB,47,Dylan Sampson,CLE,,321,2,23,176
RB,48,Woody Marks,HOU,,351,2,19,137
RB,49,Tyler Allgeier,ARI,,460,3,9,62
WR,1,Ja'Marr Chase,CIN,,,,,
WR,2,Puka Nacua,LAR,,,,,
WR,3,Jaxon Smith-Njigba,SEA,,,,,
WR,4,Amon-Ra St. Brown,DET,,,,,
WR,5,CeeDee Lamb,DAL,,,,,
WR,6,Justin Jefferson,MIN,,,,,
WR,7,Drake London,ATL,,,,,
WR,8,A.J. Brown,NE,,,,,
WR,9,Nico Collins,HOU,,,,,
WR,10,George Pickens,DAL,,,,,
WR,11,Emeka Egbuka,TB,,,,,
WR,12,Chris Olave,NO,,,,,
WR,13,Malik Nabers,NYG,,,,,
WR,14,Rashee Rice,KC,,,,,
WR,15,DeVonta Smith,PHI,,,,,
WR,16,Zay Flowers,BAL,,,,,
WR,17,Garrett Wilson,NYJ,,,,,
WR,18,Tetairoa McMillan,CAR,,,,,
WR,19,Tee Higgins,CIN,,,,,
WR,20,Terry McLaurin,WAS,,,,,
WR,21,Davante Adams,LAR,,,,,
WR,22,Jaylen Waddle,DEN,,,,,
WR,23,Ladd McConkey,LAC,,,,,
WR,24,Jameson Williams,DET,,,,,
WR,25,Luther Burden,CHI,,,,,
WR,26,Mike Evans,SF,,,,,
WR,27,Alec Pierce,IND,,,,,
WR,28,DJ Moore,BUF,,,,,
WR,29,Rome Odunze,CHI,,,,,
WR,30,Parker Washington,JAX,,,,,
WR,31,Marvin Harrison,ARI,,,,,
WR,32,DK Metcalf,PIT,,,,,
WR,33,Jayden Reed,GB,,,,,
WR,34,Courtland Sutton,DEN,,,,,
WR,35,Christian Watson,GB,,,,,
WR,36,Josh Downs,IND,,,,,
WR,37,Michael Pittman,PIT,,,,,
WR,38,Carnell Tate,TEN,,,,,
WR,39,Stefon Diggs,WAS,,,,,
WR,40,Deebo Samuel,SF,,,,,
WR,41,Michael Wilson,ARI,,,,,
WR,42,Brian Thomas,JAX,,,,,
WR,43,Xavier Worthy,KC,,,,,
WR,44,Wan'Dale Robinson,TEN,,,,,
WR,45,Chris Godwin,TB,,,,,
WR,46,Quentin Johnston,LAC,,,,,
WR,47,Matthew Golden,GB,,,,,
WR,48,Jordan Addison,MIN,,,,,
WR,49,Jakobi Meyers,JAX,,,,,
WR,50,Khalil Shakir,BUF,,,,,
WR,51,Jalen Coker,CAR,,,,,
WR,52,Romeo Doubs,NE,,,,,
WR,53,K.C. Concepcion,CLE,,,,,
WR,54,Makai Lemon,PHI,,,,,
WR,55,De'Zhaun Stribling,SF,,,,,
WR,56,Jalen Nailor,LV,,,,,
WR,57,Malik Washington,MIA,,,,,
WR,58,Jalen McMillan,TB,,,,,
WR,59,Tre Tucker,LV,,,,,
WR,60,Jordyn Tyson,NO,,,,,
WR,61,Rashid Shaheed,SEA,,,,,
WR,62,Ryan Flournoy,DAL,,,,,
WR,63,Jerry Jeudy,CLE,,,,,
WR,64,Denzel Boston,CLE,,,,,
WR,65,Kayshon Boutte,HOU,,,,,
WR,66,Tre' Harris,LAC,,,,,
WR,67,Devaughn Vele,NO,,,,,
WR,68,Ja'Kobi Lane,BAL,,,,,
WR,69,Jauan Jennings,MIN,,,,,
WR,70,Malachi Fields,NYG,,,,,
WR,71,Omar Cooper Jr.,NYJ,,,,,
WR,72,Rashod Bateman,BAL,,,,,
WR,73,Dontayvion Wicks,PHI,,,,,
WR,74,Adonai Mitchell,NYJ,,,,,
WR,75,Ted Hurst,TB,,,,,
WR,76,Travis Hunter,JAX,,,,,
WR,77,Caleb Douglas,MIA,,,,,
WR,78,Tory Horton,SEA,,,,,
WR,79,Andrei Iosivas,CIN,,,,,
WR,80,Germie Bernard,PIT,,,,,
WR,81,Isaac TeSlaa,DET,,,,,
WR,82,Calvin Ridley,TEN,,,,,
WR,83,Keon Coleman,BUF,,,,,
WR,84,Cooper Kupp,SEA,,,,,
WR,85,Jaylin Noel,HOU,,,,,
WR,86,DeMario Douglas,NE,,,,,
