year,week,date,home_team,away_team,home_score,away_score
2015,1,2015-09-10,NE,PIT,28,21
2015,1,2015-09-13,CHI,GB,23,31
2015,1,2015-09-13,LAR,SEA,34,31
2015,1,2015-09-13,HOU,KC,20,27
2015,1,2015-09-13,WAS,MIA,10,17
2015,1,2015-09-13,BUF,IND,27,14
2015,1,2015-09-13,JAX,CAR,9,20
2015,1,2015-09-13,NYJ,CLE,31,10
2015,1,2015-09-13,ARI,NO,31,19
2015,1,2015-09-13,LAC,DET,33,28
2015,1,2015-09-13,LV,CIN,13,33
2015,1,2015-09-13,DEN,BAL,19,13
2015,1,2015-09-13,TB,TEN,14,42
2015,1,2015-09-13,DAL,NYG,27,26
2015,1,2015-09-14,ATL,PHI,26,24
2015,1,2015-09-14,SF,MIN,20,3
2015,2,2015-09-17,KC,DEN,24,31
2015,2,2015-09-20,CHI,ARI,23,48
2015,2,2015-09-20,NYG,ATL,20,24
2015,2,2015-09-20,BUF,NE,32,40
2015,2,2015-09-20,CAR,HOU,24,17
2015,2,2015-09-20,CLE,TEN,28,14
2015,2,2015-09-20,NO,TB,19,26
2015,2,2015-09-20,PIT,SF,43,18
2015,2,2015-09-20,CIN,LAC,24,19
2015,2,2015-09-20,MIN,DET,26,16
2015,2,2015-09-20,WAS,LAR,24,10
2015,2,2015-09-20,JAX,MIA,23,20
2015,2,2015-09-20,LV,BAL,37,33
2015,2,2015-09-20,PHI,DAL,10,20
2015,2,2015-09-20,GB,SEA,27,17
2015,2,2015-09-21,IND,NYJ,7,20
2015,3,2015-09-24,NYG,WAS,32,21
2015,3,2015-09-27,LAR,PIT,6,12
2015,3,2015-09-27,BAL,CIN,24,28
2015,3,2015-09-27,CLE,LV,20,27
2015,3,2015-09-27,MIN,LAC,31,14
2015,3,2015-09-27,DAL,ATL,28,39
2015,3,2015-09-27,CAR,NO,27,22
2015,3,2015-09-27,TEN,IND,33,35
2015,3,2015-09-27,HOU,TB,19,9
2015,3,2015-09-27,NYJ,PHI,17,24
2015,3,2015-09-27,NE,JAX,51,17
2015,3,2015-09-27,ARI,SF,47,7
2015,3,2015-09-27,MIA,BUF,14,41
2015,3,2015-09-27,SEA,CHI,26,0
2015,3,2015-09-27,DET,DEN,12,24
2015,3,2015-09-28,GB,KC,38,28
2015,4,2015-10-01,PIT,BAL,20,23
2015,4,2015-10-04,MIA,NYJ,14,27
2015,4,2015-10-04,ATL,HOU,48,21
2015,4,2015-10-04,BUF,NYG,10,24
