year,team,n_games,sos_this_year_line,n_opponents_with_line,sos_prior_year_wins,n_opponents_with_prior_wins
2015,ARI,16,8.438,16,,0
2015,ATL,16,7.75,16,,0
2015,BAL,16,7.938,16,,0
2015,BUF,16,8.406,16,,0
2015,CAR,16,8.219,16,,0
2015,CHI,16,8.281,16,,0
2015,CIN,16,8.156,16,,0
2015,CLE,16,8.156,16,,0
2015,DAL,16,8.562,16,,0
2015,DEN,16,8.219,16,,0
2015,DET,16,8.438,16,,0
2015,GB,16,8.094,16,,0
2015,HOU,16,7.938,16,,0
2015,IND,16,7.781,16,,0
2015,JAX,16,8.312,16,,0
2015,KC,16,8.156,16,,0
2015,LAC,16,8.062,16,,0
2015,LAR,16,8.156,16,,0
2015,LV,16,8.281,16,,0
2015,MIA,16,8.344,16,,0
2015,MIN,16,8.375,16,,0
2015,NE,16,8.25,16,,0
2015,NO,16,7.906,16,,0
2015,NYG,16,8.281,16,,0
2015,NYJ,16,8.219,16,,0
2015,PHI,16,8.188,16,,0
2015,PIT,16,8.406,16,,0
2015,SEA,16,8.094,16,,0
2015,SF,16,8.562,16,,0
2015,TB,16,8.031,16,,0
2015,TEN,16,8.0,16,,0
2015,WAS,16,8.5,16,,0
2016,ARI,16,8.0,16,8.5,16
2016,ATL,16,8.375,16,8.875,16
2016,BAL,16,8.094,16,7.75,16
2016,BUF,16,8.344,16,8.312,16
2016,CAR,16,7.875,16,8.188,16
2016,CHI,16,7.906,16,7.375,16
2016,CIN,16,8.094,16,7.438,16
2016,CLE,16,8.406,16,7.688,16
2016,DAL,16,7.75,16,7.438,16
2016,DEN,16,8.281,16,8.062,16
2016,DET,16,8.094,16,7.438,16
2016,GB,16,7.844,16,7.312,16
2016,HOU,16,8.312,16,7.75,16
2016,IND,16,8.156,16,7.625,16
2016,JAX,16,8.219,16,7.562,16
2016,KC,16,8.188,16,7.938,16
2016,LAC,16,8.062,16,8.125,16
2016,LAR,16,8.281,16,8.812,16
2016,LV,16,8.188,16,8.0,16
2016,MIA,16,8.281,16,8.25,16
2016,MIN,16,8.281,16,7.812,16
2016,NE,16,8.156,16,8.375,16
2016,NO,16,8.281,16,8.75,16
2016,NYG,16,7.875,16,7.375,16
2016,NYJ,16,8.5,16,8.5,16
2016,PHI,16,8.312,16,7.5,16
2016,PIT,16,8.0,16,7.562,16
2016,SEA,16,8.0,16,8.688,16
2016,SF,16,8.562,16,8.875,16
2016,TB,16,8.312,16,8.688,16
2016,TEN,16,8.094,16,7.562,16
2016,WAS,16,8.375,16,7.875,16
2017,ARI,16,7.844,16,7.375,16
2017,ATL,16,8.281,16,8.312,16
2017,BAL,16,7.969,16,7.312,16
2017,BUF,16,8.219,16,8.938,16
2017,CAR,16,7.938,16,8.062,16
2017,CHI,16,8.344,16,7.625,16
2017,CIN,16,7.844,16,7.188,16
2017,CLE,16,8.125,16,7.438,16
2017,DAL,16,8.375,16,8.375,16
2017,DEN,16,8.281,16,9.188,16
2017,DET,16,8.344,16,7.438,16
2017,GB,16,8.125,16,7.625,16
2017,HOU,16,8.156,16,7.188,16
2017,IND,16,7.781,16,6.688,16
2017,JAX,16,7.75,16,6.938,16
2017,KC,16,8.312,16,9.188,16
2017,LAC,16,8.0,16,9.062,16
2017,LAR,16,8.188,16,7.562,16
2017,LV,16,8.156,16,9.0,16
2017,MIA,16,8.219,16,8.75,16
2017,MIN,16,7.969,16,7.188,16
2017,NE,16,7.625,16,8.438,16
2017,NO,16,8.062,16,8.125,16
2017,NYG,16,8.188,16,8.438,16
2017,NYJ,16,8.25,16,8.562,16
2017,PHI,16,8.156,16,8.375,16
2017,PIT,16,8.031,16,7.188,16
2017,SEA,16,7.844,16,7.188,16
2017,SF,16,8.188,16,7.438,16
2017,TB,16,8.25,16,8.25,16
2017,TEN,16,7.781,16,6.938,16
2017,WAS,16,8.406,16,8.625,16
2018,ARI,16,8.5,16,8.312,16
2018,ATL,16,8.125,16,8.125,16
2018,BAL,16,7.938,16,7.812,16
2018,BUF,16,8.312,16,7.938,16
2018,CAR,16,8.188,16,8.188,16
2018,CHI,16,8.094,16,8.312,16
2018,CIN,16,8.156,16,7.562,16
2018,CLE,16,8.312,16,8.375,16
2018,DAL,16,8.188,16,8.0,16
2018,DEN,16,8.094,16,7.625,16
2018,DET,16,8.312,16,8.562,16
2018,GB,16,7.969,16,8.625,16
2018,HOU,16,7.75,16,7.25,16
2018,IND,16,7.969,16,7.75,16
2018,JAX,16,8.062,16,7.625,16
2018,KC,16,8.25,16,7.875,16
2018,LAC,16,7.719,16,7.688,16
2018,LAR,16,8.219,16,8.375,16
2018,LV,16,8.0,16,7.562,16
2018,MIA,16,7.969,16,8.0,16
2018,MIN,16,8.188,16,8.312,16
2018,NE,16,7.688,16,7.75,16
2018,NO,16,8.375,16,8.562,16
2018,NYG,16,8.438,16,8.312,16
2018,NYJ,16,7.938,16,7.625,16
2018,PHI,16,8.25,16,7.875,16
2018,PIT,16,8.094,16,7.625,16
2018,SEA,16,8.344,16,8.375,16
2018,SF,16,8.0,16,8.0,16
2018,TB,16,8.5,16,8.5,16
2018,TEN,16,8.125,16,7.438,16
2018,WAS,16,8.438,16,8.062,16
2019,ARI,16,8.375,16,8.062,16
2019,ATL,16,8.344,16,8.25,16
2019,BAL,16,8.188,16,7.812,16
2019,BUF,16,7.875,16,7.625,16
2019,CAR,16,8.156,16,8.0,16
2019,CHI,16,8.406,16,8.188,16
2019,CIN,16,8.188,16,7.438,16
2019,CLE,16,7.875,16,7.688,16
2019,DAL,16,8.062,16,8.0,16
2019,DEN,16,8.406,16,8.5,16
2019,DET,16,8.125,16,7.812,16
2019,GB,16,8.094,16,8.0,16
2019,HOU,16,8.375,16,8.438,16
2019,IND,16,8.125,16,8.25,16
2019,JAX,16,8.031,16,8.5,16
2019,KC,16,8.219,16,8.25,16
2019,LAC,16,7.906,16,7.938,16
2019,LAR,16,8.031,16,7.5,16
2019,LV,16,8.375,16,8.562,16
2019,MIA,16,8.344,16,7.938,16
2019,MIN,16,8.188,16,8.125,16
2019,NE,16,7.562,16,7.5,16
2019,NO,16,8.031,16,7.812,16
2019,NYG,16,7.844,16,7.5,16
2019,NYJ,16,7.75,16,7.5,16
2019,PHI,16,7.719,16,7.562,16
2019,PIT,16,7.969,16,7.875,16
2019,SEA,16,8.281,16,7.562,16
2019,SF,16,8.156,16,8.062,16
2019,TB,16,8.188,16,8.125,16
2019,TEN,16,8.188,16,8.188,16
2019,WAS,16,8.125,16,7.438,16
2020,ARI,16,8.188,16,8.25,16
2020,ATL,16,8.594,16,8.375,16
2020,BAL,16,8.031,16,7.0,16
2020,BUF,16,8.219,16,8.375,16
2020,CAR,16,8.406,16,7.938,16
2020,CHI,16,7.938,16,8.062,16
2020,CIN,16,8.375,16,7.625,16
2020,CLE,16,8.0,16,7.375,16
2020,DAL,16,8.094,16,7.312,16
2020,DEN,16,8.469,16,8.188,16
2020,DET,16,7.906,16,8.375,16
2020,GB,16,8.188,16,8.0,16
2020,HOU,16,8.312,16,8.25,16
2020,IND,16,7.656,16,8.0,16
2020,JAX,16,8.281,16,7.875,16
2020,KC,16,8.031,16,8.0,16
