year,team,games,points_for,points_against,point_diff,avg_point_diff,pyth_win_pct,pyth_wins
2015,ARI,16,489,313,176,11.0,0.7422,11.88
2015,ATL,16,339,345,-6,-0.375,0.4896,7.83
2015,BAL,16,328,401,-73,-4.562,0.3831,6.13
2015,BUF,16,379,359,20,1.25,0.5321,8.51
2015,CAR,16,500,308,192,12.0,0.7592,12.15
2015,CHI,16,335,397,-62,-3.875,0.4007,6.41
2015,CIN,16,419,279,140,8.75,0.7239,11.58
2015,CLE,16,278,432,-154,-9.625,0.2602,4.16
2015,DAL,16,275,374,-99,-6.188,0.3255,5.21
2015,DEN,16,355,296,59,3.688,0.6061,9.7
2015,DET,16,358,400,-42,-2.625,0.4346,6.95
2015,GB,16,368,323,45,2.812,0.5767,9.23
2015,HOU,16,339,313,26,1.625,0.5471,8.75
2015,IND,16,333,408,-75,-4.688,0.3819,6.11
2015,JAX,16,376,448,-72,-4.5,0.3977,6.36
2015,KC,16,405,287,118,7.375,0.6934,11.1
2015,LAC,16,320,398,-78,-4.875,0.3736,5.98
2015,LAR,16,280,330,-50,-3.125,0.4039,6.46
2015,LV,16,359,399,-40,-2.5,0.4377,7.0
2015,MIA,16,310,389,-79,-4.938,0.3687,5.9
2015,MIN,16,365,302,63,3.938,0.6104,9.77
2015,NE,16,465,315,150,9.375,0.7157,11.45
2015,NO,16,408,476,-68,-4.25,0.4097,6.55
2015,NYG,16,420,442,-22,-1.375,0.4698,7.52
2015,NYJ,16,387,314,73,4.562,0.6214,9.94
2015,PHI,16,377,430,-53,-3.312,0.4227,6.76
2015,PIT,16,423,319,104,6.5,0.6612,10.58
2015,SEA,16,423,277,146,9.125,0.7317,11.71
2015,SF,16,238,387,-149,-9.312,0.2401,3.84
2015,TB,16,342,417,-75,-4.688,0.3846,6.15
2015,TEN,16,299,423,-124,-7.75,0.3053,4.88
2015,WAS,16,388,379,9,0.562,0.5139,8.22
2016,ARI,16,418,362,56,3.5,0.5844,9.35
2016,ATL,16,540,406,134,8.375,0.6628,10.61
2016,BAL,16,343,321,22,1.375,0.5392,8.63
2016,BUF,16,399,378,21,1.312,0.532,8.51
2016,CAR,16,369,402,-33,-2.062,0.4494,7.19
2016,CHI,16,279,399,-120,-7.5,0.2999,4.8
2016,CIN,16,325,315,10,0.625,0.5185,8.3
2016,CLE,16,264,452,-188,-11.75,0.2185,3.5
2016,DAL,16,421,306,115,7.188,0.6805,10.89
2016,DEN,16,333,297,36,2.25,0.5674,9.08
2016,DET,16,346,358,-12,-0.75,0.4798,7.68
2016,GB,16,432,388,44,2.75,0.5633,9.01
2016,HOU,16,279,328,-49,-3.062,0.4053,6.48
2016,IND,16,411,392,19,1.188,0.528,8.45
2016,JAX,16,318,400,-82,-5.125,0.3673,5.88
2016,KC,16,389,311,78,4.875,0.6296,10.07
2016,LAC,16,410,423,-13,-0.812,0.4815,7.7
2016,LAR,16,224,394,-170,-10.625,0.2078,3.32
2016,LV,16,416,385,31,1.938,0.5458,8.73
2016,MIA,16,363,380,-17,-1.062,0.4729,7.57
2016,MIN,16,327,307,20,1.25,0.5373,8.6
2016,NE,16,441,250,191,11.938,0.7933,12.69
2016,NO,16,469,454,15,0.938,0.5193,8.31
2016,NYG,16,310,284,26,1.625,0.5517,8.83
2016,NYJ,16,275,409,-134,-8.375,0.2807,4.49
2016,PHI,16,367,331,36,2.25,0.5609,8.97
2016,PIT,16,399,327,72,4.5,0.6158,9.85
2016,SEA,16,354,292,62,3.875,0.6121,9.79
2016,SF,16,309,480,-171,-10.688,0.2604,4.17
2016,TB,16,354,369,-15,-0.938,0.4754,7.61
2016,TEN,16,381,378,3,0.188,0.5047,8.07
2016,WAS,16,396,383,13,0.812,0.5198,8.32
2017,ARI,16,295,361,-66,-4.125,0.3826,6.12
2017,ATL,16,353,315,38,2.375,0.5671,9.07
2017,BAL,16,395,303,92,5.75,0.6521,10.43
2017,BUF,16,302,359,-57,-3.562,0.399,6.38
2017,CAR,16,363,327,36,2.25,0.5616,8.99
2017,CHI,16,264,320,-56,-3.5,0.388,6.21
2017,CIN,16,290,349,-59,-3.688,0.392,6.27
2017,CLE,16,234,410,-176,-11.0,0.2093,3.35
2017,DAL,16,354,332,22,1.375,0.5379,8.61
2017,DEN,16,289,382,-93,-5.812,0.3405,5.45
2017,DET,16,410,376,34,2.125,0.5511,8.82
2017,GB,16,320,384,-64,-4.0,0.3936,6.3
2017,HOU,16,338,436,-98,-6.125,0.3536,5.66
2017,IND,16,263,404,-141,-8.812,0.2655,4.25
2017,JAX,16,417,268,149,9.312,0.7403,11.85
2017,KC,16,415,339,76,4.75,0.6176,9.88
2017,LAC,16,355,272,83,5.188,0.6528,10.44
2017,LAR,16,478,329,149,9.312,0.7079,11.33
2017,LV,16,301,373,-72,-4.5,0.3756,6.01
2017,MIA,16,281,393,-112,-7.0,0.3111,4.98
2017,MIN,16,382,252,130,8.125,0.7283,11.65
2017,NE,16,458,296,162,10.125,0.7378,11.8
2017,NO,16,448,326,122,7.625,0.6799,10.88
2017,NYG,16,246,388,-142,-8.875,0.2535,4.06
2017,NYJ,16,298,382,-84,-5.25,0.357,5.71
2017,PHI,16,457,295,162,10.125,0.7383,11.81
2017,PIT,16,406,308,98,6.125,0.6581,10.53
2017,SEA,16,366,332,34,2.125,0.5575,8.92
2017,SF,16,331,383,-52,-3.25,0.4144,6.63
2017,TB,16,335,382,-47,-2.938,0.4228,6.77
2017,TEN,16,334,356,-22,-1.375,0.4623,7.4
2017,WAS,16,342,388,-46,-2.875,0.4258,6.81
2018,ARI,16,225,425,-200,-12.5,0.1813,2.9
2018,ATL,16,414,423,-9,-0.562,0.4873,7.8
2018,BAL,16,389,287,102,6.375,0.6728,10.76
2018,BUF,16,269,374,-105,-6.562,0.3141,5.03
2018,CAR,16,376,382,-6,-0.375,0.4906,7.85
2018,CHI,16,421,283,138,8.625,0.7194,11.51
2018,CIN,16,368,455,-87,-5.438,0.3768,6.03
2018,CLE,16,359,392,-33,-2.062,0.4481,7.17
2018,DAL,16,339,324,15,0.938,0.5268,8.43
2018,DEN,16,329,349,-20,-1.25,0.4651,7.44
2018,DET,16,324,360,-36,-2.25,0.4379,7.01
2018,GB,16,376,400,-24,-1.5,0.4634,7.41
2018,HOU,16,402,316,86,5.375,0.6389,10.22
2018,IND,16,433,344,89,5.562,0.6331,10.13
2018,JAX,16,245,316,-71,-4.438,0.3536,5.66
2018,KC,16,565,421,144,9.0,0.6676,10.68
2018,LAC,16,428,329,99,6.188,0.651,10.42
2018,LAR,16,527,384,143,8.938,0.6792,10.87
