year,player,team,games,fga,fgm,fg_pct,xpa,xpm,pat_made,pat_missed,fg_made_yards,fg_missed_0_39,fg_missed_40_49,fg_missed_50_59,fga_50plus,fgm_50plus,fantasy_points,fantasy_points_per_game
2022,D.Carlson,LV,16,37,34,91.9,36,35,35,1,1323,0,1,2,13,11,163.3,10.21
2022,J.Tucker,BAL,17,43,37,86.0,32,31,31,1,1334,0,1,5,14,9,158.9,9.35
2022,J.Myers,SEA,17,37,34,91.9,42,41,41,1,1234,1,2,0,6,6,158.9,9.35
2022,B.Maher,DAL,17,32,29,90.6,53,50,50,3,1142,0,1,2,11,9,156.2,9.19
2022,E.Pineiro,CAR,17,35,33,94.3,32,30,30,2,1294,1,1,0,2,2,152.9,8.99
2022,G.Gano,NYG,17,32,29,90.6,34,32,32,2,1234,1,1,1,9,8,148.4,8.73
2022,Y.Koo,ATL,17,37,32,86.5,35,33,33,2,1218,0,1,4,11,7,147.8,8.69
2022,T.Bass,BUF,16,31,27,87.1,50,48,48,2,1070,2,1,1,3,2,146.5,9.16
2022,G.Zuerlein,NYJ,17,37,30,81.1,29,28,28,1,1195,0,2,5,11,6,141.0,8.29
2022,N.Folk,NE,17,37,32,86.5,35,32,32,3,1193,0,4,1,5,4,140.8,8.28
2022,C.McLaughlin,IND,15,36,30,83.3,21,21,21,0,1230,1,2,3,12,9,139.0,9.27
2022,R.Patterson,JAX,17,35,30,85.7,37,36,36,1,1091,1,3,1,3,2,138.1,8.12
2022,K.Fairbairn,HOU,17,31,29,93.5,24,24,24,0,1132,1,1,0,6,6,134.7,7.92
2022,R.Gould,SF,17,32,27,84.4,51,50,50,1,911,1,4,0,2,2,133.6,7.86
2022,M.Gay,LAR,17,30,28,93.3,32,31,31,1,1053,0,0,2,9,7,133.3,7.84
2022,J.Sanders,MIA,17,32,26,81.2,44,41,41,3,1015,1,1,4,6,2,132.0,7.76
2022,B.McManus,DEN,17,36,28,77.8,27,25,25,2,1159,3,0,5,13,8,129.9,7.64
2022,R.Succop,TB,17,38,31,81.6,25,24,24,1,1111,2,0,5,7,2,127.6,7.51
2022,E.McPherson,CIN,16,29,24,82.8,44,40,40,4,942,1,4,0,5,5,120.7,7.54
2022,G.Joseph,MIN,17,33,26,78.8,46,40,40,6,946,0,1,6,10,4,118.6,6.98
2022,M.Crosby,GB,17,29,25,86.2,39,37,37,2,879,0,1,3,4,1,118.4,6.96
2022,J.Elliott,PHI,16,23,20,87.0,53,51,51,2,740,1,1,1,6,5,118.0,7.38
2022,C.York,CLE,17,32,24,75.0,37,35,35,2,923,3,2,3,7,4,115.3,6.78
2022,W.Lutz,NO,17,31,23,74.2,33,33,33,0,857,2,4,2,6,4,110.7,6.51
2022,M.Badgley,DET,12,24,20,83.3,33,33,33,0,758,1,2,1,3,2,104.8,8.73
2022,M.Prater,ARI,13,25,22,88.0,18,17,17,1,909,0,2,1,6,5,103.4,7.95
2022,J.Slye,WAS,16,30,25,83.3,28,24,24,4,911,1,2,2,6,4,102.6,6.41
2022,C.Santos,CHI,16,23,21,91.3,32,27,27,5,795,0,1,1,5,4,95.0,5.94
2022,C.Boswell,PIT,12,28,20,71.4,18,18,18,0,829,1,5,2,9,7,93.4,7.78
2022,H.Butker,KC,13,24,18,75.0,41,38,38,3,653,1,1,4,7,3,92.8,7.14
2022,R.Bullock,TEN,15,20,17,85.0,28,28,28,0,643,0,2,1,2,1,89.8,5.99
2022,C.Dicker,LAC,10,20,19,95.0,22,22,22,0,648,0,0,1,1,0,86.3,8.63
2022,M.Wright,PIT,4,14,12,85.7,7,7,7,0,467,1,1,0,1,1,51.2,12.8
2022,D.Hopkins,LAC,5,10,9,90.0,12,12,12,0,301,0,1,0,0,0,41.1,8.22
2022,A.Seibert,DET,3,5,3,60.0,12,12,12,0,123,0,1,1,1,0,22.8,7.6
2022,M.Wright,KC,2,4,3,75.0,8,8,8,0,135,0,1,0,1,1,20.5,10.25
2022,T.Bertolet,LAC,2,3,3,100.0,6,6,6,0,80,0,0,0,0,0,14.0,7.0
2022,M.Badgley,CHI,1,4,4,100.0,0,0,0,0,126,0,0,0,0,0,12.6,12.6
2022,T.Vizcaino,ARI,1,2,2,100.0,3,3,3,0,82,0,0,0,0,0,11.2,11.2
2022,C.Shudak,TEN,1,4,3,75.0,1,1,1,0,95,1,0,0,0,0,9.0,9.0
2022,C.Dicker,PHI,1,2,2,100.0,2,2,2,0,65,0,0,0,0,0,8.5,8.5
2022,R.Blankenship,IND,1,3,2,66.7,2,2,2,0,72,0,1,0,0,0,8.2,8.2
2022,R.Blankenship,ARI,1,2,2,100.0,3,2,2,1,78,0,0,0,1,1,7.8,7.8
2022,N.Sciba,PIT,1,2,2,100.0,1,1,1,0,67,0,0,0,0,0,7.7,7.7
2022,M.Ammendola,KC,2,4,3,75.0,4,3,3,1,76,1,0,0,0,0,7.1,3.55
2022,M.Ammendola,ARI,2,3,2,66.7,3,2,2,1,43,0,1,0,0,0,3.3,1.65
2022,D.Eberle,DET,1,1,1,100.0,4,2,2,2,49,0,0,0,0,0,2.9,2.9
2022,J.Lambo,TEN,1,0,0,0.0,4,3,3,1,0,0,0,0,0,0,1.0,1.0
