game_id,season_type,week,posteam,field_goal_result,kick_distance,extra_point_result,extra_point_attempt,field_goal_attempt,kicker_player_name,kicker_player_id
2025_01_ARI_NO,REG,1,ARI,made,42.0,,0.0,1.0,C.Ryland,00-0038567
2025_01_ARI_NO,REG,1,NO,,33.0,good,1.0,0.0,B.Grupe,00-0038905
2025_01_ARI_NO,REG,1,ARI,,33.0,good,1.0,0.0,C.Ryland,00-0038567
2025_01_ARI_NO,REG,1,NO,made,36.0,,0.0,1.0,B.Grupe,00-0038905
2025_01_ARI_NO,REG,1,ARI,,33.0,good,1.0,0.0,C.Ryland,00-0038567
2025_01_ARI_NO,REG,1,ARI,made,50.0,,0.0,1.0,C.Ryland,00-0038567
2025_01_ARI_NO,REG,1,NO,missed,37.0,,0.0,1.0,B.Grupe,00-0038905
2025_01_ARI_NO,REG,1,ARI,blocked,46.0,,0.0,1.0,C.Ryland,00-0038567
2025_01_ARI_NO,REG,1,NO,made,28.0,,0.0,1.0,B.Grupe,00-0038905
2025_01_BAL_BUF,REG,1,BUF,,33.0,good,1.0,0.0,M.Prater,00-0023853
2025_01_BAL_BUF,REG,1,BAL,made,52.0,,0.0,1.0,T.Loop,00-0040074
2025_01_BAL_BUF,REG,1,BAL,,33.0,good,1.0,0.0,T.Loop,00-0040074
2025_01_BAL_BUF,REG,1,BAL,,33.0,good,1.0,0.0,T.Loop,00-0040074
2025_01_BAL_BUF,REG,1,BUF,made,25.0,,0.0,1.0,M.Prater,00-0023853
2025_01_BAL_BUF,REG,1,BAL,made,49.0,,0.0,1.0,T.Loop,00-0040074
2025_01_BAL_BUF,REG,1,BUF,made,43.0,,0.0,1.0,M.Prater,00-0023853
2025_01_BAL_BUF,REG,1,BAL,,33.0,good,1.0,0.0,T.Loop,00-0040074
2025_01_BAL_BUF,REG,1,BAL,,33.0,good,1.0,0.0,T.Loop,00-0040074
2025_01_BAL_BUF,REG,1,BAL,,33.0,failed,1.0,0.0,T.Loop,00-0040074
2025_01_BAL_BUF,REG,1,BUF,,33.0,good,1.0,0.0,M.Prater,00-0023853
2025_01_BAL_BUF,REG,1,BUF,made,32.0,,0.0,1.0,M.Prater,00-0023853
2025_01_CAR_JAX,REG,1,JAX,made,35.0,,0.0,1.0,C.Little,00-0039409
2025_01_CAR_JAX,REG,1,CAR,made,48.0,,0.0,1.0,R.Fitzgerald,00-0040279
2025_01_CAR_JAX,REG,1,JAX,,33.0,good,1.0,0.0,C.Little,00-0039409
2025_01_CAR_JAX,REG,1,JAX,,33.0,good,1.0,0.0,C.Little,00-0039409
2025_01_CAR_JAX,REG,1,JAX,made,47.0,,0.0,1.0,C.Little,00-0039409
2025_01_CAR_JAX,REG,1,JAX,made,36.0,,0.0,1.0,C.Little,00-0039409
2025_01_CAR_JAX,REG,1,CAR,,33.0,good,1.0,0.0,R.Fitzgerald,00-0040279
2025_01_CAR_JAX,REG,1,JAX,made,28.0,,0.0,1.0,C.Little,00-0039409
2025_01_CIN_CLE,REG,1,CIN,,33.0,good,1.0,0.0,E.McPherson,00-0036854
2025_01_CIN_CLE,REG,1,CLE,,33.0,good,1.0,0.0,A.Szmyt,00-0038428
2025_01_CIN_CLE,REG,1,CIN,,33.0,good,1.0,0.0,E.McPherson,00-0036854
2025_01_CIN_CLE,REG,1,CLE,made,45.0,,0.0,1.0,A.Szmyt,00-0038428
2025_01_CIN_CLE,REG,1,CLE,,33.0,failed,1.0,0.0,A.Szmyt,00-0038428
2025_01_CIN_CLE,REG,1,CIN,made,35.0,,0.0,1.0,E.McPherson,00-0036854
2025_01_CIN_CLE,REG,1,CLE,missed,36.0,,0.0,1.0,A.Szmyt,00-0038428
2025_01_DAL_PHI,REG,1,DAL,,33.0,good,1.0,0.0,B.Aubrey,00-0037692
2025_01_DAL_PHI,REG,1,PHI,,33.0,good,1.0,0.0,J.Elliott,00-0033787
2025_01_DAL_PHI,REG,1,DAL,,33.0,good,1.0,0.0,B.Aubrey,00-0037692
2025_01_DAL_PHI,REG,1,PHI,,33.0,good,1.0,0.0,J.Elliott,00-0033787
2025_01_DAL_PHI,REG,1,DAL,made,41.0,,0.0,1.0,B.Aubrey,00-0037692
2025_01_DAL_PHI,REG,1,PHI,,33.0,good,1.0,0.0,J.Elliott,00-0033787
2025_01_DAL_PHI,REG,1,DAL,made,53.0,,0.0,1.0,B.Aubrey,00-0037692
2025_01_DAL_PHI,REG,1,PHI,made,58.0,,0.0,1.0,J.Elliott,00-0033787
2025_01_DET_GB,REG,1,GB,,33.0,good,1.0,0.0,B.McManus,00-0029822
2025_01_DET_GB,REG,1,GB,made,34.0,,0.0,1.0,B.McManus,00-0029822
2025_01_DET_GB,REG,1,DET,made,30.0,,0.0,1.0,J.Bates,00-0039172
2025_01_DET_GB,REG,1,GB,,33.0,good,1.0,0.0,B.McManus,00-0029822
2025_01_DET_GB,REG,1,DET,made,27.0,,0.0,1.0,J.Bates,00-0039172
2025_01_DET_GB,REG,1,GB,,33.0,good,1.0,0.0,B.McManus,00-0029822
2025_01_DET_GB,REG,1,GB,made,38.0,,0.0,1.0,B.McManus,00-0029822
2025_01_DET_GB,REG,1,DET,,33.0,good,1.0,0.0,J.Bates,00-0039172
2025_01_HOU_LA,REG,1,HOU,made,51.0,,0.0,1.0,K.Fairbairn,00-0032726
2025_01_HOU_LA,REG,1,HOU,made,45.0,,0.0,1.0,K.Fairbairn,00-0032726
2025_01_HOU_LA,REG,1,LAR,,33.0,good,1.0,0.0,J.Karty,00-0039750
2025_01_HOU_LA,REG,1,HOU,made,53.0,,0.0,1.0,K.Fairbairn,00-0032726
2025_01_HOU_LA,REG,1,LAR,,33.0,good,1.0,0.0,J.Karty,00-0039750
2025_01_KC_LAC,REG,1,LAC,,25.0,good,1.0,0.0,C.Dicker,00-0037224
2025_01_KC_LAC,REG,1,LAC,made,39.0,,0.0,1.0,C.Dicker,00-0037224
2025_01_KC_LAC,REG,1,KC,made,35.0,,0.0,1.0,H.Butker,00-0033303
2025_01_KC_LAC,REG,1,LAC,made,36.0,,0.0,1.0,C.Dicker,00-0037224
2025_01_KC_LAC,REG,1,KC,made,59.0,,0.0,1.0,H.Butker,00-0033303
2025_01_KC_LAC,REG,1,KC,,33.0,failed,1.0,0.0,H.Butker,00-0033303
2025_01_KC_LAC,REG,1,LAC,,33.0,good,1.0,0.0,C.Dicker,00-0037224
