year,player,team,games,punts,punt_avg,punt_in_20,avg_bucket_points_per_game,bucket_points,pt20_points,fantasy_points,fantasy_points_per_game
2022,C.Johnston,HOU,17,88,48.1,37,2.941,50.0,37,87.0,5.12
2022,J.Hekker,CAR,17,81,48.5,39,2.706,46.0,39,85.0,5.0
2022,T.Way,WAS,17,83,46.8,37,2.765,47.0,37,84.0,4.94
2022,R.Stonehouse,TEN,17,90,53.1,30,3.0,51.0,30,81.0,4.76
2022,B.Gillikin,NO,17,77,46.4,32,2.647,45.0,32,77.0,4.53
2022,R.Wright,MIN,17,74,47.4,32,2.588,44.0,32,76.0,4.47
2022,B.Anger,DAL,17,68,48.4,27,2.765,47.0,27,74.0,4.35
2022,C.Waitman,DEN,17,96,46.6,30,2.529,43.0,30,73.0,4.29
2022,A.Cole,LV,17,59,48.9,26,2.765,47.0,26,73.0,4.29
2022,B.Mann,NYJ,17,83,46.9,27,2.647,45.0,27,72.0,4.24
2022,L.Cooke,JAX,17,58,49.3,24,2.765,47.0,24,71.0,4.18
2022,M.Dickson,SEA,16,66,48.5,22,2.938,47.0,22,69.0,4.31
2022,J.Gillan,NYG,17,75,46.8,26,2.471,42.0,26,68.0,4.0
2022,J.Camarda,TB,17,79,48.8,22,2.706,46.0,22,68.0,4.0
2022,T.Townsend,KC,17,53,50.4,22,2.647,45.0,22,67.0,3.94
2022,T.Morstead,MIA,16,61,46.4,28,2.375,38.0,28,66.0,4.12
2022,C.Bojorquez,CLE,17,61,48.5,23,2.471,42.0,23,65.0,3.82
2022,B.Pinion,ATL,17,62,45.9,23,2.353,40.0,23,63.0,3.71
2022,A.Lee,ARI,17,68,47.1,18,2.588,44.0,18,62.0,3.65
2022,J.Stout,BAL,17,57,45.9,26,2.118,36.0,26,62.0,3.65
2022,J.Fox,DET,16,52,48.6,14,3.0,48.0,14,62.0,3.88
2022,M.Haack,IND,17,71,44.8,28,2.0,34.0,28,62.0,3.65
2022,M.Wishnowsky,SF,17,61,43.9,32,1.765,30.0,32,62.0,3.65
2022,R.Dixon,LAR,16,73,48.4,19,2.625,42.0,19,61.0,3.81
2022,J.Scott,LAC,17,73,43.6,28,1.882,32.0,28,60.0,3.53
2022,T.Gill,CHI,17,67,46.0,20,2.176,37.0,20,57.0,3.35
2022,P.Harvin,PIT,17,69,44.5,20,2.176,37.0,20,57.0,3.35
2022,P.O'Donnell,GB,17,54,44.5,24,1.824,31.0,24,55.0,3.24
2022,S.Martin,BUF,15,46,47.7,16,2.4,36.0,16,52.0,3.47
2022,A.Siposs,PHI,13,45,45.6,16,2.538,33.0,16,49.0,3.77
2022,D.Chrisman,CIN,7,28,47.8,13,2.286,16.0,13,29.0,4.14
2022,J.Bailey,NE,9,37,42.1,12,1.444,13.0,12,25.0,2.78
2022,K.Huber,CIN,9,31,43.2,9,1.667,15.0,9,24.0,2.67
2022,M.Palardy,NE,8,43,42.4,10,1.625,13.0,10,23.0,2.88
2022,B.Kern,PHI,3,10,40.8,1,1.333,4.0,1,5.0,1.67
