rank,qb_name,team_2023,tier,voting_median_2014_2023,source,source_url
1,Patrick Mahomes,Chiefs,1,1.0,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
2,Aaron Rodgers,Packers,1,1.0,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
3,Tom Brady,Buccaneers,1,1.04,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
4,Drew Brees,Saints,1,1.34,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
5,Ben Roethlisberger,Steelers,1,1.41,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
6,Andrew Luck,Colts,2,1.58,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
7,Josh Allen,Bills,2,1.6,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
8,Russell Wilson,Seahawks,2,1.72,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
9,Philip Rivers,Chargers,2,1.77,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
10,Deshaun Watson,Browns,2,1.88,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
11,Lamar Jackson,Ravens,2,1.97,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
12,Matt Ryan,Falcons,2,2.08,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
13,Matthew Stafford,Rams,2,2.13,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
14,Eli Manning,Giants,2,2.21,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
15,Dak Prescott,Cowboys,2,2.24,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
16,Cam Newton,Panthers,3,2.52,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
17,Joe Flacco,Ravens,3,2.54,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
18,Carson Wentz,Eagles,3,2.56,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
19,Derek Carr,Raiders,3,2.62,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
20,Kirk Cousins,Vikings,3,2.7,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
21,Jared Goff,Lions,3,2.77,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
22,Alex Smith,Chiefs,3,2.77,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
23,Jimmy Garoppolo,49ers,3,2.89,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
24,Jameis Winston,Saints,3,2.95,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
25,Andy Dalton,Bears,3,2.96,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
26,Nick Foles,Eagles,3,2.98,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
27,Baker Mayfield,Buccaneers,3,3.0,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
28,Ryan Tannehill,Titans,3,3.02,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
29,Marcus Mariota,Falcons,3,3.03,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
30,Teddy Bridgewater,Broncos,3,3.18,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
31,Sam Bradford,Rams,3,3.23,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
32,Tyrod Taylor,Bills,3,3.4,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
33,Ryan Fitzpatrick,Commanders,4,3.76,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
34,Josh McCown,Jets,4,3.86,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
35,Geno Smith,Seahawks,4,4.38,athletic_2023_10yr_composite,https://www.nytimes.com/athletic/4729711/2023/08/07/quarterback-tiers-10-year-ranking/
