year,player,team,stat,line,line_low,line_high,odds_low,odds_high,book,proj,source,snapshot
2022,Austin Ekeler,,rush_rec_yds,1450.5,1450.5,1450.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Christian McCaffrey,,rush_rec_yds,1450.5,1450.5,1450.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Aaron Jones,,rush_rec_yds,1300.5,1300.5,1300.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,D'Andre Swift,,rush_rec_yds,1300.5,1300.5,1300.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Alvin Kamara,,rush_rec_yds,1250.5,1250.5,1250.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Cam Akers,,rush_rec_yds,1100.5,1100.5,1100.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Cordarrelle Patterson,,rush_rec_yds,1000.5,1000.5,1000.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Tony Pollard,,rush_rec_yds,999.5,999.5,999.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Derrick Henry,,rush_td,12.5,12.5,12.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Jonathan Taylor,,rush_td,12.5,12.5,12.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Joe Mixon,,rush_td,10.5,10.5,10.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Dalvin Cook,,rush_td,9,9,9,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,James Conner,,rush_td,9,9,9,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Nick Chubb,,rush_td,9,9,9,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Damien Harris,,rush_td,8.5,8.5,8.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Leonard Fournette,,rush_td,8.5,8.5,8.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Najee Harris,,rush_td,8.5,8.5,8.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Ezekiel Elliott,,rush_td,8,8,8,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,J.K. Dobbins,,rush_td,7.5,7.5,7.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Josh Jacobs,,rush_td,7.5,7.5,7.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Elijah Mitchell,,rush_td,7,7,7,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Saquon Barkley,,rush_td,7,7,7,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,David Montgomery,,rush_td,6.5,6.5,6.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Javonte Williams,,rush_td,6.5,6.5,6.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Antonio Gibson,,rush_td,6,6,6,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,AJ Dillon,,rush_td,5.5,5.5,5.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Breece Hall,,rush_td,5.5,5.5,5.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Clyde Edwards-Helaire,,rush_td,5.5,5.5,5.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Devin Singletary,,rush_td,5.5,5.5,5.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Miles Sanders,,rush_td,5,5,5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Derrick Henry,,rush_yds,1350.5,1350.5,1350.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Jonathan Taylor,,rush_yds,1350.5,1350.5,1350.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Nick Chubb,,rush_yds,1150.5,1150.5,1150.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Dalvin Cook,,rush_yds,1100.5,1100.5,1100.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Joe Mixon,,rush_yds,1100.5,1100.5,1100.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Najee Harris,,rush_yds,1100.5,1100.5,1100.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Elijah Mitchell,,rush_yds,900.5,900.5,900.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Ezekiel Elliott,,rush_yds,900.5,900.5,900.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Miles Sanders,,rush_yds,900.5,900.5,900.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Saquon Barkley,,rush_yds,900.5,900.5,900.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,David Montgomery,,rush_yds,875.5,875.5,875.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Javonte Williams,,rush_yds,875.5,875.5,875.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Damien Harris,,rush_yds,850.5,850.5,850.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,J.K. Dobbins,,rush_yds,850.5,850.5,850.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Breece Hall,,rush_yds,825.5,825.5,825.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,James Conner,,rush_yds,825.5,825.5,825.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Josh Jacobs,,rush_yds,825.5,825.5,825.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Leonard Fournette,,rush_yds,825.5,825.5,825.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Antonio Gibson,,rush_yds,775.5,775.5,775.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Devin Singletary,,rush_yds,775.5,775.5,775.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,Clyde Edwards-Helaire,,rush_yds,739.5,739.5,739.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2022,AJ Dillon,,rush_yds,700.5,700.5,700.5,,,SportsBetting.ag,,sportsbetting.ag,https://www.gambling911.com/running-back-prop-bets-for-the-2022-season.html
2023,Nick Chubb,CLE,rush_yds,1213,1200.5,1225.5,,,,1365,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,Derrick Henry,TEN,rush_yds,1188,1150.5,1225.5,,,,1265,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,Jonathan Taylor,IND,rush_yds,1175.5,1150.5,1200.5,,,,1315,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,Bijan Robinson,ATL,rush_yds,1088,1075.5,1100.5,,,,1315,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,Josh Jacobs,LV,rush_yds,1075.5,1050.5,1100.5,,,,1185,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,Tony Pollard,DAL,rush_yds,1038,1025.5,1050.5,,,,1090,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,Saquon Barkley,NYG,rush_yds,988,975.5,1000.5,,,,1175,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,Rhamondre Stevenson,NE,rush_yds,963,925.5,1000.5,,,,1075,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,Kenneth Walker,SEA,rush_yds,963,950.5,975.5,,,,955,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,Najee Harris,PIT,rush_yds,950.5,925.5,975.5,,,,1165,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,Travis Etienne,JAX,rush_yds,950,949.5,950.5,,,,1065,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,Miles Sanders,CAR,rush_yds,925,924.5,925.5,,,,1085,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,Dameon Pierce,HOU,rush_yds,900,899.5,900.5,,,,1015,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,Christian McCaffrey,SF,rush_yds,875.5,850.5,900.5,,,,1080,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,Breece Hall,NYJ,rush_yds,863,850.5,875.5,,,,995,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,Justin Fields,CHI,rush_yds,850.5,825.5,875.5,,,,925,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,J.K. Dobbins,BAL,rush_yds,838,800.5,875.5,,,,1250,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,Aaron Jones,GB,rush_yds,838,800.5,875.5,,,,1000,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,Joe Mixon,CIN,rush_yds,813,800.5,825.5,,,,755,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,Brian Robinson,WAS,rush_yds,800,799.5,800.5,,,,1050,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,Isiah Pacheco,KC,rush_yds,795.5,775.5,815.5,,,,895,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,Austin Ekeler,LAC,rush_yds,793,775.5,810.5,,,,825,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,Lamar Jackson,BAL,rush_yds,775.5,725.5,825.5,,,,780,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,David Montgomery,DET,rush_yds,763,750.5,775.5,,,,975,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,James Conner,ARI,rush_yds,750.5,750.5,750.5,,,,800,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,Cam Akers,LAR,rush_yds,750,749.5,750.5,,,,1025,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,A.J. Dillon,GB,rush_yds,738,700.5,775.5,,,,800,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,Rachaad White,TB,rush_yds,723,650.5,795.5,,,,895,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,Jalen Hurts,PHI,rush_yds,713,700.5,725.5,,,,690,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,Rashaad Penny,PHI,rush_yds,632.5,600.5,664.5,,,,960,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
2023,Josh Allen,BUF,rush_yds,588,550.5,625.5,,,,645,fantasypoints,https://web.archive.org/web/20230614022112id_/https://www.fantasypoints.com/nfl/articles/2023/nfl-rushing-yardage-props
