player_id,team_start
00-0019596,TB
00-0022531,CHI
00-0022824,ARI
00-0022924,PIT
00-0023252,SF
00-0023459,GB
00-0023534,ATL
00-0023682,WAS
00-0023853,ARI
00-0024243,GB
00-0024270,LA
00-0024417,BAL
00-0025394,TEN
00-0025565,NE
00-0025580,GB
00-0025630,CIN
00-0025825,TEN
00-0026027,CAR
00-0026035,HOU
00-0026143,ATL
00-0026158,NYJ
00-0026166,SEA
00-0026189,LA
00-0026190,BAL
00-0026197,KC
00-0026293,NE
00-0026300,NYJ
00-0026498,LA
00-0026544,LAC
00-0026564,TB
00-0026625,NE
00-0026858,NYG
00-0026968,TB
00-0026982,BAL
00-0026990,NO
00-0026997,SF
00-0027061,LAC
00-0027103,CIN
00-0027114,NYJ
00-0027136,MIA
00-0027187,LAC
00-0027224,HOU
00-0027539,BAL
00-0027557,TEN
00-0027647,NE
00-0027648,TEN
00-0027656,TB
00-0027662,SEA
00-0027685,BUF
00-0027686,ARI
00-0027688,ARI
00-0027691,HOU
00-0027696,CHI
00-0027701,MIN
00-0027723,SEA
00-0027793,TB
00-0027855,TB
00-0027857,SF
00-0027860,PIT
00-0027862,PIT
00-0027865,PHI
00-0027867,TB
00-0027872,DEN
00-0027875,LAC
00-0027881,BUF
00-0027885,LAC
00-0027914,IND
00-0027939,CAR
00-0027940,DEN
00-0027942,ARI
00-0027943,MIN
00-0027944,TEN
00-0027947,DAL
00-0027948,TB
00-0027949,ARI
00-0027952,CHI
00-0027954,PHI
00-0027955,NYG
00-0027962,NO
00-0027965,BAL
00-0027966,HOU
00-0027969,PIT
00-0027973,CHI
00-0027975,MIA
00-0027981,NYG
00-0027993,ARI
00-0028002,GB
00-0028008,BAL
00-0028037,LV
00-0028042,MIN
00-0028063,BUF
00-0028075,TEN
00-0028076,HOU
00-0028092,TB
00-0028097,ATL
00-0028103,BAL
00-0028118,HOU
00-0028129,PHI
00-0028171,NE
00-0028180,CLE
00-0028224,LAC
00-0028237,NO
00-0028278,BAL
00-0028284,CHI
00-0028292,SEA
00-0028339,BUF
00-0028394,DAL
00-0028845,ATL
00-0028872,LA
00-0028899,PHI
00-0028908,CIN
00-0028924,CHI
00-0028946,ARI
00-0028986,CLE
00-0029000,BUF
00-0029008,CLE
00-0029061,CAR
00-0029119,LV
00-0029144,SF
00-0029164,KC
00-0029193,CHI
00-0029212,ARI
00-0029239,NE
00-0029249,PIT
00-0029255,SEA
00-0029261,LV
00-0029263,SEA
00-0029269,SF
00-0029284,CIN
00-0029285,SF
00-0029293,JAX
00-0029316,ARI
00-0029410,SF
00-0029413,TEN
00-0029419,GB
00-0029421,TEN
00-0029528,DEN
00-0029530,NE
00-0029542,CAR
00-0029546,LAC
00-0029560,SF
00-0029562,TB
00-0029567,CHI
00-0029568,CLE
00-0029570,NYG
00-0029577,CHI
00-0029585,ARI
00-0029592,BAL
00-0029597,BAL
00-0029604,MIN
00-0029606,MIN
00-0029607,NO
00-0029608,IND
00-0029621,DAL
00-0029630,DET
00-0029632,SF
00-0029643,HOU
00-0029653,PHI
00-0029657,CHI
