player_id,player_display_name,position,recent_team,games,targets,receptions,receiving_yards,receiving_tds,receiving_air_yards,target_share
00-0023459,Aaron Rodgers,QB,GB,16,1,1,-4,0,-4,0.0017543859649122
00-0024243,Marcedes Lewis,TE,GB,13,28,23,214,0,103,0.0491228070175439
00-0025394,Adrian Peterson,RB,SEA,4,4,4,8,0,-11,0.0076628352490421
00-0026035,Danny Amendola,WR,HOU,8,38,24,248,3,321,0.0726577437858509
00-0026189,DeSean Jackson,WR,LV,14,34,20,454,2,647,0.0564784053156146
00-0027061,Jared Cook,TE,LAC,16,83,48,564,4,685,0.125948406676783
00-0027656,Rob Gronkowski,TE,TB,12,89,55,802,6,897,0.124301675977654
00-0027685,Emmanuel Sanders,WR,BUF,14,72,42,626,4,1077,0.115569823434992
00-0027691,Andre Roberts,WR,LAC,16,2,1,35,0,29,0.0038240917782026
00-0027696,Jimmy Graham,TE,CHI,11,23,14,167,3,184,0.0438931297709924
00-0027793,Antonio Brown,WR,TB,7,62,42,545,4,734,0.0865921787709497
00-0027857,Trent Williams,OT,SF,6,1,0,0,0,1,0.0020120724346076
00-0027942,A.J. Green,WR,ARI,16,92,54,848,3,1109,0.16140350877193
00-0027944,Julio Jones,WR,TEN,10,48,31,434,1,579,0.0919540229885057
00-0027966,Mark Ingram,RB,NO,14,35,27,162,0,-1,0.0669216061185469
00-0027981,Kyle Rudolph,TE,NYG,15,39,26,257,1,240,0.0691489361702128
00-0028002,Randall Cobb,WR,GB,11,39,28,375,5,307,0.068421052631579
00-0028042,Luke Stocker,TE,MIN,6,2,2,12,0,6,0.0034602076124567
00-0028097,Lee Smith,TE,ATL,10,11,9,65,1,38,0.01985559566787
00-0028237,Chris Hogan,WR,NO,5,8,4,41,1,49,0.0168776371308017
00-0028292,Nick Bellore,LB,SEA,10,1,1,4,0,0,0.0021097046413502
00-0029000,Cole Beasley,WR,BUF,16,112,82,693,1,630,0.179775280898876
00-0029119,Derek Carrier,TE,LV,2,2,2,13,0,7,0.0033167495854063
00-0029164,Mike Remmers,G,KC,2,1,1,-2,0,0,0.0015698587127158
00-0029239,Brandon Bolden,RB,NE,16,49,41,405,2,14,0.0935114503816794
00-0029269,Travis Benjamin,WR,SF,5,5,0,0,0,141,0.0100603621730382
00-0029293,Marvin Jones,WR,JAX,17,120,73,832,4,1438,0.205831903945111
00-0029608,T.Y. Hilton,WR,IND,10,37,23,331,3,476,0.0737051792828685
00-0029632,Mohamed Sanu,WR,SF,8,24,15,177,0,227,0.0482897384305835
00-0029664,Josh Gordon,WR,KC,9,14,5,32,1,153,0.021978021978022
00-0029738,Darren Fells,TE,DET,3,5,4,43,0,24,0.0088495575221238
00-0029892,Kyle Juszczyk,FB,SF,15,38,30,296,1,272,0.0764587525150906
00-0030035,Adam Thielen,WR,MIN,13,95,67,726,10,903,0.164359861591696
00-0030061,Zach Ertz,TE,ARI,17,112,74,763,5,844,0.239316239316239
00-0030068,Marquise Goodwin,WR,CHI,14,40,20,313,1,475,0.0763358778625954
