year,player_id,player,team,team_start,traded,position,games,targets,receptions,receiving_yards,receiving_tds,receiving_air_yards,target_share
2021,00-0033908,Cooper Kupp,LAR,LAR,,WR,17,191,145,1947,16,1641,0.3173
2021,00-0036322,Justin Jefferson,MIN,MIN,,WR,17,167,108,1616,10,2063,0.2889
2021,00-0031381,Davante Adams,GB,GB,,WR,16,169,123,1553,11,1614,0.2965
2021,00-0036900,Ja'Marr Chase,CIN,CIN,,WR,17,128,81,1455,13,1617,0.237
2021,00-0035719,Deebo Samuel Sr.,SF,SF,,WR,16,121,77,1405,6,1029,0.2435
2021,00-0034753,Mark Andrews,BAL,BAL,,TE,17,153,107,1361,9,1574,0.2589
2021,00-0033040,Tyreek Hill,KC,KC,,WR,17,159,111,1239,9,1647,0.2496
2021,00-0031588,Stefon Diggs,BUF,BUF,,WR,17,164,103,1225,10,1827,0.2632
2021,00-0032211,Tyler Lockett,SEA,SEA,,WR,16,107,73,1175,8,1562,0.2257
2021,00-0035216,Diontae Johnson,PIT,PIT,,WR,16,169,107,1161,8,1440,0.2588
2021,00-0034827,DJ Moore,CAR,CAR,,WR,17,163,93,1157,4,1734,0.2835
2021,00-0033536,Mike Williams,LAC,LAC,,WR,16,129,76,1146,9,1497,0.1958
2021,00-0030279,Keenan Allen,LAC,LAC,,WR,16,157,106,1138,6,1306,0.2382
2021,00-0030506,Travis Kelce,KC,KC,,TE,16,134,92,1125,9,994,0.2104
2021,00-0033921,Chris Godwin Jr.,TB,TB,,WR,14,127,98,1103,5,931,0.1774
2021,00-0036358,CeeDee Lamb,DAL,DAL,,WR,16,120,79,1102,6,1233,0.1884
2021,00-0036410,Tee Higgins,CIN,CIN,,WR,14,110,74,1091,6,1323,0.2037
2021,00-0036252,Michael Pittman,IND,IND,,WR,17,129,88,1082,6,1253,0.257
2021,00-0036309,Darnell Mooney,CHI,CHI,,WR,17,140,81,1055,4,1556,0.2672
2021,00-0035659,Terry McLaurin,WAS,WAS,,WR,17,130,77,1053,5,1707,0.2434
2021,00-0034983,Hunter Renfrow,LV,LV,,WR,17,128,103,1038,9,828,0.2123
2021,00-0031236,Brandin Cooks,HOU,HOU,,WR,16,134,90,1037,6,1423,0.2562
2021,00-0031408,Mike Evans,TB,TB,,WR,16,114,74,1035,14,1497,0.1592
2021,00-0036970,Kyle Pitts,ATL,ATL,,TE,17,110,68,1026,1,1193,0.1986
2021,00-0036613,Jaylen Waddle,MIA,MIA,,WR,16,140,104,1015,6,993,0.2337
2021,00-0035662,Marquise Brown,BAL,BAL,,WR,16,146,91,1008,6,1622,0.247
2021,00-0034775,Christian Kirk,ARI,ARI,,WR,17,103,77,982,5,1201,0.1807
