player_id,player_display_name,position,recent_team,games,carries,rushing_yards,rushing_tds,rushing_first_downs,receptions,receiving_yards,receiving_tds
00-0022942,Philip Rivers,QB,IND,3,2,-1,0,0,0,0,0
00-0023459,Aaron Rodgers,QB,PIT,16,21,61,1,4,1,-9,0
00-0026158,Joe Flacco,QB,CIN,13,21,35,1,9,0,0,0
00-0026300,Josh Johnson,QB,WAS,3,12,55,1,4,0,0,0
00-0026498,Matthew Stafford,QB,LA,17,29,1,0,0,0,0,0
00-0027973,Andy Dalton,QB,CAR,4,5,-2,0,0,0,0,0
00-0028118,Tyrod Taylor,QB,NYJ,6,27,143,1,10,0,0,0
00-0029263,Russell Wilson,QB,NYG,6,18,106,0,6,0,0,0
00-0029604,Kirk Cousins,QB,ATL,10,14,7,1,4,0,0,0
00-0029892,Kyle Juszczyk,FB,SF,16,2,-3,0,0,24,213,2
00-0030506,Travis Kelce,TE,KC,17,1,1,0,0,76,851,5
00-0030565,Geno Smith,QB,LV,15,41,109,0,13,0,0,0
00-0031237,Teddy Bridgewater,QB,TB,3,3,4,0,0,0,0,0
00-0031345,Jimmy Garoppolo,QB,LA,3,9,-10,0,0,0,0,0
00-0031503,Jameis Winston,QB,NYG,3,7,23,1,3,1,33,1
00-0031610,Darren Waller,TE,MIA,9,1,4,0,1,24,283,6
00-0031687,Raheem Mostert,RB,LV,12,22,104,0,5,12,70,0
00-0032104,Ameer Abdullah,RB,IND,13,14,60,1,3,16,99,0
00-0032268,Marcus Mariota,QB,WAS,10,50,297,1,12,0,0,0
00-0032385,Sterling Shepard,WR,TB,13,4,19,0,1,39,371,1
00-0032398,Chris Moore,WR,WAS,10,1,9,0,0,11,207,1
00-0032464,Kalif Raymond,WR,DET,15,2,19,0,1,24,289,1
00-0032764,Derrick Henry,RB,BAL,17,307,1595,16,79,15,150,0
00-0032775,Demarcus Robinson,WR,SF,14,1,6,0,0,22,276,1
00-0032918,C.J. Ham,FB,MIN,8,3,5,2,2,2,11,0
00-0032950,Carson Wentz,QB,MIN,5,11,57,0,3,0,0,0
00-0033077,Dak Prescott,QB,DAL,17,53,177,2,15,0,0,0
00-0033106,Jared Goff,QB,DET,17,19,45,0,5,0,0,0
00-0033119,Jacoby Brissett,QB,ARI,14,38,168,1,16,0,0,0
00-0033280,Christian McCaffrey,RB,SF,17,311,1202,10,71,102,924,7
00-0033288,George Kittle,TE,SF,11,1,-3,0,0,57,628,7
00-0033293,Aaron Jones,RB,MIN,12,132,548,2,28,28,199,1
00-0033319,Nick Mullens,QB,JAX,4,12,-8,0,0,0,0,0
00-0033357,Taysom Hill,TE,NO,13,52,114,1,16,11,91,0
00-0033376,Patrick Ricard,RB,BAL,5,1,3,0,1,1,8,0
00-0033526,Samaje Perine,RB,CIN,15,84,382,3,32,17,87,0
00-0033553,James Conner,RB,ARI,3,32,95,1,7,8,38,1
00-0033555,Mack Hollins,WR,NE,14,1,4,0,0,46,550,2
00-0033589,David Moore,WR,CAR,3,1,12,0,1,1,5,0
00-0033662,Cooper Rush,QB,BAL,4,4,-4,0,0,0,0,0
00-0033699,Austin Ekeler,RB,WAS,2,14,43,0,3,5,38,0
00-0033854,Dare Ogunbowale,RB,HOU,14,11,25,1,1,10,76,0
00-0033858,Jonnu Smith,TE,PIT,17,9,70,1,3,38,222,2
00-0033869,Mitchell Trubisky,QB,BUF,4,9,6,0,0,0,0,0
00-0033873,Patrick Mahomes,QB,KC,14,64,422,5,27,1,-10,0
00-0033881,Evan Engram,TE,DEN,16,1,7,0,0,50,461,1
00-0033906,Alvin Kamara,RB,NO,11,131,471,1,21,33,186,0
00-0033923,Kareem Hunt,RB,KC,17,163,611,8,55,18,143,1
00-0033949,Joshua Dobbs,QB,NE,4,10,-5,0,0,0,0,0
00-0033955,Jeremy McNichols,RB,WAS,16,44,221,1,13,25,196,0
