year,player_id,player,team,team_start,traded,position,games,carries,rushing_yards,rushing_tds,rushing_first_downs,receptions,receiving_yards,receiving_tds,rush_rec_yards,rush_rec_tds
2021,00-0036223,Jonathan Taylor,IND,IND,,RB,17,332,1811,18,107,40,360,2,2171,20
2021,00-0034791,Nick Chubb,CLE,CLE,,RB,14,228,1259,8,61,20,174,1,1433,9
2021,00-0033897,Joe Mixon,CIN,CIN,,RB,16,292,1205,13,60,42,314,3,1519,16
2021,00-0036893,Najee Harris,PIT,PIT,,RB,17,307,1200,7,62,74,467,3,1667,10
2021,00-0033893,Dalvin Cook,MIN,MIN,,RB,13,249,1159,6,57,34,224,0,1383,6
2021,00-0036328,Antonio Gibson,WAS,WAS,,RB,16,258,1037,7,65,42,294,3,1331,10
2021,00-0033045,Ezekiel Elliott,DAL,DAL,,RB,17,237,1002,10,55,47,287,2,1289,12
2021,00-0036567,Elijah Mitchell,SF,SF,,RB,11,207,963,5,47,19,137,1,1100,6
2021,00-0032764,Derrick Henry,TEN,TEN,,RB,8,219,937,10,49,18,154,0,1091,10
2021,00-0035657,Damien Harris,NE,NE,,RB,15,202,929,15,55,18,132,0,1061,15
2021,00-0032144,Melvin Gordon,DEN,DEN,,RB,16,203,918,8,48,28,213,2,1131,10
2021,00-0033699,Austin Ekeler,LAC,LAC,,RB,16,206,911,12,53,70,647,8,1558,20
2021,00-0036997,Javonte Williams,DEN,DEN,,RB,17,203,903,4,52,43,316,3,1219,7
2021,00-0033906,Alvin Kamara,NO,NO,,RB,13,240,898,4,42,47,439,5,1337,9
2021,00-0035700,Josh Jacobs,LV,LV,,RB,15,217,872,9,45,54,348,0,1220,9
2021,00-0035250,Devin Singletary,BUF,BUF,,RB,17,188,870,7,44,40,228,1,1098,8
2021,00-0035685,David Montgomery,CHI,CHI,,RB,13,225,849,7,55,42,301,0,1150,7
2021,00-0034845,Sony Michel,LAR,LAR,,RB,17,208,845,4,49,21,128,1,973,5
2021,00-0033856,Leonard Fournette,TB,TB,,RB,14,180,812,8,45,69,454,2,1266,10
2021,00-0036265,AJ Dillon,GB,GB,,RB,17,187,803,5,50,34,313,2,1116,7
2021,00-0033293,Aaron Jones,GB,GB,,RB,15,171,799,4,37,52,391,6,1190,10
2021,00-0036389,Jalen Hurts,PHI,PHI,,QB,15,139,784,10,56,0,0,0,784,10
2021,00-0034796,Lamar Jackson,BAL,BAL,,QB,12,133,767,2,48,0,0,0,767,2
2021,00-0035831,James Robinson,JAX,JAX,,RB,14,164,767,8,41,31,222,0,989,8
2021,00-0034857,Josh Allen,BUF,BUF,,QB,17,122,763,6,54,0,0,0,763,6
2021,00-0035243,Miles Sanders,PHI,PHI,,RB,12,137,754,0,33,26,158,0,912,0
2021,00-0033553,James Conner,ARI,ARI,,RB,15,202,752,15,53,37,375,3,1127,18
2021,00-0034750,Rashaad Penny,SEA,SEA,,RB,10,119,749,6,28,6,48,0,797,6
2021,00-0035261,Tony Pollard,DAL,DAL,,RB,15,130,719,2,35,39,337,0,1056,2
2021,00-0035664,Darrell Henderson,LAR,LAR,,RB,12,149,688,5,39,29,176,3,864,8
2021,00-0036924,Michael Carter,NYJ,NYJ,,RB,14,147,639,4,29,36,325,0,964,4
2021,00-0030578,Cordarrelle Patterson,ATL,ATL,,RB,16,153,618,6,29,52,548,5,1166,11
2021,00-0036275,D'Andre Swift,DET,DET,,RB,13,151,617,5,28,62,452,2,1069,7
2021,00-0035311,Myles Gaskin,MIA,MIA,,RB,17,173,612,3,25,49,234,4,846,7
2021,00-0036555,Chuba Hubbard,CAR,CAR,,RB,16,172,612,5,36,25,174,1,786,6
2021,00-0036875,Rhamondre Stevenson,NE,NE,,RB,12,133,606,5,33,14,123,0,729,5
2021,00-0033948,Jamaal Williams,DET,DET,,RB,13,153,601,3,42,26,157,0,758,3
2021,00-0032972,Devontae Booker,NYG,NYG,,RB,16,145,593,2,31,40,268,1,861,3
2021,00-0034844,Saquon Barkley,NYG,NYG,,RB,13,162,593,2,27,41,263,2,856,4
2021,00-0034681,Chase Edmonds,ARI,ARI,,RB,12,116,592,2,32,43,311,0,903,2
2021,00-0031285,Devonta Freeman,BAL,BAL,,RB,16,133,576,5,31,34,190,1,766,6
2021,00-0033925,D'Onta Foreman,TEN,TEN,,RB,9,133,566,3,22,9,123,0,689,3
2021,00-0034301,Darrel Williams,KC,KC,,RB,17,144,558,6,40,47,452,2,1010,8
2021,00-0027966,Mark Ingram,NO,HOU,yes,RB,14,160,554,2,22,27,162,0,716,2
2021,00-0035628,D'Ernest Johnson,CLE,CLE,,RB,13,100,534,3,24,19,137,0,671,3
2021,00-0036360,Clyde Edwards-Helaire,KC,KC,,RB,10,119,517,4,21,19,129,2,646,6
2021,00-0032063,Mike Davis,ATL,ATL,,RB,17,138,503,3,21,44,259,1,762,4
2021,00-0030513,Latavius Murray,BAL,BAL,,RB,14,119,501,6,36,10,75,0,576,6
2021,00-0034972,Alexander Mattison,MIN,MIN,,RB,16,134,491,3,28,32,228,1,719,4
2021,00-0033280,Christian McCaffrey,CAR,CAR,,RB,7,99,442,1,20,37,343,1,785,2
2021,00-0036906,Khalil Herbert,CHI,CHI,,RB,16,103,433,2,24,14,96,0,529,2
2021,00-0034816,Ronald Jones,TB,TB,,RB,15,101,428,4,25,10,64,0,492,4
2021,00-0030288,Rex Burkhead,HOU,HOU,,RB,15,122,427,3,30,25,186,0,613,3
2021,00-0035228,Kyler Murray,ARI,ARI,,QB,14,88,423,5,25,0,7,0,430,5
2021,00-0036945,Justin Fields,CHI,CHI,,QB,12,72,420,2,22,0,0,0,420,2
2021,00-0032426,Alex Collins,SEA,SEA,,RB,11,108,411,2,22,9,87,0,498,2
2021,00-0032780,Jordan Howard,PHI,PHI,,RB,7,86,406,3,24,2,19,0,425,3
2021,00-0033923,Kareem Hunt,CLE,CLE,,RB,8,78,386,5,22,22,174,0,560,5
2021,00-0033873,Patrick Mahomes,KC,KC,,QB,17,66,381,2,25,0,0,0,381,2
2021,00-0033357,Taysom Hill,NO,NO,,TE,12,70,374,5,26,4,52,0,426,5
2021,00-0034414,Boston Scott,PHI,PHI,,RB,11,87,373,7,24,13,83,0,456,7
2021,00-0035719,Deebo Samuel Sr.,SF,SF,,WR,16,59,365,8,21,77,1405,6,1770,14
2021,00-0034440,Justin Jackson,LAC,LAC,,RB,14,68,364,2,18,22,178,0,542,2
2021,00-0032058,Tevin Coleman,NYJ,NYJ,,RB,11,84,356,0,19,11,49,0,405,0
2021,00-0034253,Dontrell Hilliard,TEN,TEN,,RB,8,56,350,2,15,19,87,0,437,2
2021,00-0036251,Zack Moss,BUF,BUF,,RB,13,96,345,4,22,23,197,1,542,5
2021,00-0036971,Trevor Lawrence,JAX,JAX,,QB,17,73,334,2,22,0,0,0,334,2
2021,00-0032257,Duke Johnson,MIA,MIA,,RB,5,71,330,3,18,4,41,0,371,3
2021,00-0031800,Taylor Heinicke,WAS,WAS,,QB,16,60,313,1,20,1,-2,0,311,1
