year,team,games,take_int,take_fum,take_tot,give_int,give_fum,give_tot,turnover_diff,turnover_diff_per_game,fumble_recovery_rate
2014,GB,16,18,9,27,6,7,13,14,0.875,0.5625
2014,HOU,16,20,14,34,13,9,22,12,0.75,0.6087
2014,NE,16,16,9,25,9,4,13,12,0.75,0.6923
2014,SEA,16,13,11,24,7,7,14,10,0.625,0.6111
2014,ARI,16,18,7,25,12,5,17,8,0.5,0.5833
2014,BUF,16,19,11,30,13,10,23,7,0.4375,0.5238
2014,DET,16,20,7,27,12,8,20,7,0.4375,0.4667
2014,SF,16,23,6,29,10,12,22,7,0.4375,0.3333
2014,CLE,16,21,8,29,16,7,23,6,0.375,0.5333
2014,DAL,16,18,13,31,11,14,25,6,0.375,0.4815
2014,ATL,16,16,12,28,15,8,23,5,0.3125,0.6
2014,DEN,16,18,7,25,15,5,20,5,0.3125,0.5833
2014,CAR,16,14,12,26,12,11,23,3,0.1875,0.5217
2014,BAL,16,11,11,22,12,8,20,2,0.125,0.5789
2014,MIA,16,14,11,25,12,11,23,2,0.125,0.5
2014,CIN,16,20,6,26,17,9,26,0,0.0,0.4
2014,PIT,16,11,10,21,10,11,21,0,0.0,0.4762
2014,MIN,16,13,6,19,18,2,20,-1,-0.0625,0.75
2014,NYG,16,17,9,26,14,14,28,-2,-0.125,0.3913
2014,LAR,16,13,12,25,16,11,27,-2,-0.125,0.5217
2014,KC,16,6,8,14,6,11,17,-3,-0.1875,0.4211
2014,CHI,16,14,10,24,19,10,29,-5,-0.3125,0.5
2014,IND,16,12,14,26,16,15,31,-5,-0.3125,0.4828
2014,LAC,16,7,11,18,18,5,23,-5,-0.3125,0.6875
2014,JAX,16,6,14,20,18,8,26,-6,-0.375,0.6364
2014,PHI,16,12,16,28,21,15,36,-8,-0.5,0.5161
2014,TB,16,14,11,25,20,13,33,-8,-0.5,0.4583
2014,TEN,16,12,4,16,16,10,26,-10,-0.625,0.2857
2014,NYJ,16,6,7,13,15,9,24,-11,-0.6875,0.4375
2014,WAS,16,7,12,19,18,13,31,-12,-0.75,0.48
2014,NO,16,12,5,17,17,13,30,-13,-0.8125,0.2778
2014,LV,16,9,5,14,16,13,29,-15,-0.9375,0.2778
2015,CAR,16,24,15,39,10,9,19,20,1.25,0.625
2015,KC,16,22,7,29,7,8,15,14,0.875,0.4667
2015,CIN,16,21,7,28,9,8,17,11,0.6875,0.4667
2015,ARI,16,19,14,33,13,11,24,9,0.5625,0.56
2015,NE,16,12,9,21,7,7,14,7,0.4375,0.5625
2015,NYG,16,15,13,28,14,7,21,7,0.4375,0.65
2015,SEA,16,14,9,23,8,8,16,7,0.4375,0.5294
2015,BUF,16,17,8,25,9,10,19,6,0.375,0.4444
2015,NYJ,16,18,12,30,16,8,24,6,0.375,0.6
2015,GB,16,16,6,22,8,9,17,5,0.3125,0.4
2015,HOU,16,14,11,25,12,8,20,5,0.3125,0.5789
2015,MIN,16,13,9,22,9,8,17,5,0.3125,0.5294
2015,LAR,16,13,13,26,11,10,21,5,0.3125,0.5652
2015,WAS,16,11,16,27,11,11,22,5,0.3125,0.5926
2015,NO,16,9,13,22,12,8,20,2,0.125,0.619
2015,PIT,16,17,13,30,21,7,28,2,0.125,0.65
2015,LV,16,14,11,25,14,10,24,1,0.0625,0.5238
2015,MIA,16,13,3,16,12,7,19,-3,-0.1875,0.3
2015,CHI,16,8,9,17,12,9,21,-4,-0.25,0.5
2015,DEN,16,14,13,27,23,8,31,-4,-0.25,0.619
2015,LAC,16,11,9,20,13,11,24,-4,-0.25,0.45
2015,IND,16,17,8,25,19,11,30,-5,-0.3125,0.4211
2015,PHI,16,15,11,26,18,13,31,-5,-0.3125,0.4583
2015,SF,16,9,3,12,12,5,17,-5,-0.3125,0.375
2015,TB,16,11,12,23,15,13,28,-5,-0.3125,0.48
2015,DET,16,9,9,18,14,10,24,-6,-0.375,0.4737
2015,ATL,16,15,8,23,17,13,30,-7,-0.4375,0.381
2015,CLE,16,11,10,21,12,18,30,-9,-0.5625,0.3571
2015,JAX,16,9,9,18,18,10,28,-10,-0.625,0.4737
2015,BAL,16,6,8,14,21,7,28,-14,-0.875,0.5333
2015,TEN,16,11,8,19,17,16,33,-14,-0.875,0.3333
2015,DAL,16,8,3,11,22,11,33,-22,-1.375,0.2143
2016,KC,16,18,15,33,8,9,17,16,1.0,0.625
2016,LV,16,16,14,30,7,7,14,16,1.0,0.6667
2016,NE,16,13,10,23,2,9,11,12,0.75,0.5263
2016,ATL,16,12,10,22,7,4,11,11,0.6875,0.7143
2016,MIN,16,14,13,27,5,11,16,11,0.6875,0.5417
2016,GB,16,17,8,25,8,9,17,8,0.5,0.4706
2016,BUF,16,12,6,18,7,5,12,6,0.375,0.5455
2016,PHI,16,16,10,26,14,6,20,6,0.375,0.625
2016,BAL,16,18,10,28,16,7,23,5,0.3125,0.5882
