year,player,yards_line,rec_line,td_line,proj_ppr,adp,props_rank,adp_rank,sportsbook
2022,Cooper Kupp,1300.5,,,,4.08,,,FanDuel
2022,Justin Jefferson,1350.5,,,,5.14,,,FanDuel
2022,Ja'Marr Chase,1210.5,,,,7.44,,,FanDuel
2022,Stefon Diggs,1225.5,,,,11.84,,,FanDuel
2022,Davante Adams,1200.5,,,,12.92,,,FanDuel
2022,CeeDee Lamb,1200.5,,,,16.68,,,FanDuel
2022,Deebo Samuel,925.5,,,,20.5,,,FanDuel
2022,Mike Evans,1025.5,,,,22.07,,,FanDuel
2022,Tyreek Hill,1025.5,,,,24.07,,,FanDuel
2022,Tee Higgins,1000.5,,,,29.81,,,FanDuel
2022,Keenan Allen,1025.5,,,,30.28,,,FanDuel
2022,Michael Pittman,1025.5,,,,31.53,,,FanDuel
2022,AJ Brown,1000.5,,,,32.38,,,FanDuel
2022,DJ Moore,1100.5,,,,39.28,,,FanDuel
2022,Mike Williams,950.5,,,,41.66,,,FanDuel
2022,Jaylen Waddle,925.5,,,,42.67,,,FanDuel
2022,Terry McLaurin,1000.5,,,,45.21,,,FanDuel
2022,Courtland Sutton,925.5,,,,46.26,,,FanDuel
2022,Diontae Johnson,950.5,,,,46.41,,,FanDuel
2022,DK Metcalf,900.5,,,,53.7,,,FanDuel
2022,Marquise Brown,875.5,,,,53.8,,,FanDuel
2022,Allen Robinson,850.5,,,,54.76,,,FanDuel
2022,Brandin Cooks,950.5,,,,59.18,,,FanDuel
2022,Gabriel Davis,850.5,,,,59.48,,,FanDuel
2022,Jerry Jeudy,950.5,,,,62.9,,,FanDuel
2022,Amon-Ra St. Brown,850.5,,,,63.36,,,FanDuel
2022,Darnell Mooney,950.5,,,,67,,,FanDuel
2022,Rashod Bateman,825.5,,,,67.79,,,FanDuel
2022,Adam Thielen,750.5,,,,76.13,,,FanDuel
2022,Hunter Renfrow,805.5,,,,86.83,,,FanDuel
2022,DeVonta Smith,825.5,,,,88.16,,,FanDuel
2022,Christian Kirk,800.5,,,,98.54,,,FanDuel
2022,Tyler Lockett,825.5,,,,103.77,,,FanDuel
2022,Robert Woods,750.5,,,,109.4,,,FanDuel
2022,Julio Jones,575.5,,,,156.16,,,FanDuel
2023,Justin Jefferson,1400.5,105.5,8.5,296.55,1.6,1,1,DraftKings
2023,Cooper Kupp,1250.5,107.5,9.5,289.55,7.7,2,4,DraftKings
2023,Ja'Marr Chase,1275.5,95.5,10.5,286.05,3.3,3,2,DraftKings
2023,Davante Adams,1300.5,99.5,8.5,280.55,17.6,4,10,DraftKings
2023,Tyreek Hill,1300.5,102.5,7.5,277.55,6.3,5,3,DraftKings
2023,Stefon Diggs,1125.5,99.5,8.5,263.05,11.1,6,5,DraftKings
2023,Garrett Wilson,1150.5,86.5,8.5,252.55,17.6,7,9,DraftKings
2023,CeeDee Lamb,1100.5,95.5,7.5,250.55,13.5,8,6,DraftKings
2023,Jaylen Waddle,1075.5,85.5,7.5,238.05,22.9,9,11,DraftKings
2023,Amon Ra St. Brown,999.5,95.5,5.5,228.45,15.7,10,8,DraftKings
2023,A.J. Brown,1050.5,75.5,7.5,225.55,14.3,11,7,DraftKings
2023,DeVonta Smith,975.5,80.5,6.5,217.05,26.3,12,13,DraftKings
2023,Chris Olave,1050.5,75.5,5.5,213.55,24.6,13,12,DraftKings
2023,DK Metcalf,900.5,75.5,7.5,210.55,34.0,14,16,DraftKings
2023,Tee Higgins,1000.5,70.5,6.5,209.55,31.2,15,14,DraftKings
2023,Amari Cooper,950.5,72.5,6.5,206.55,40.5,16,18,DraftKings
2023,Keenan Allen,875.5,85.5,5.5,206.05,40.6,17,19,DraftKings
2023,Calvin Ridley,900.5,70.5,6.5,199.55,32.9,18,15,DraftKings
2023,Tyler Lockett,875.5,72.5,6.5,199.05,67.2,19,27,DraftKings
2023,Mike Evans,925.5,65.5,6.5,197.05,78.1,20,29,DraftKings
2023,Chris Godwin,800.5,80.5,4.5,187.55,66.4,21,25,DraftKings
2023,Christian Kirk,825.5,70.5,5.5,186.05,66.6,22,26,DraftKings
2023,Michael Pittman,800.5,74.5,4.5,181.55,79.9,23,30,DraftKings
2023,Drake London,825.5,70.5,4.5,180.05,57.8,24,22,DraftKings
2023,Marquise Brown,800.5,70.5,4.5,177.55,86.1,25,32,DraftKings
2023,Christian Watson,825.5,62.5,4.5,172.05,55.1,26,21,DraftKings
2023,Mike Williams,800.5,57.5,5.5,170.55,61.2,27,23,DraftKings
2023,DJ Moore,800.5,62.5,4.5,169.55,49.3,28,20,DraftKings
2023,Gabe Davis,775.5,50.5,6.5,167.05,89.0,29,33,DraftKings
2023,Brandon Aiyuk,775.5,59.5,4.5,164.05,63.0,30,24,DraftKings
2023,Deebo Samuel,725.5,59.5,4.5,159.05,39.2,31,17,DraftKings
2023,George Pickens,750.5,55.5,4.5,157.55,75.9,32,28,DraftKings
2023,Jahan Dotson,750.5,52.5,4.5,154.55,84.9,33,31,DraftKings
2023,Tyler Boyd,675.5,57.5,4.5,152.05,140.9,34,36,DraftKings
2023,Allen Lazard,650.5,52.5,4.5,144.55,131.1,35,35,DraftKings
2023,Adam Thielen,550.5,55.5,4.5,137.55,145.6,36,37,DraftKings
2023,Michael Gallup,600.5,49.5,4.5,136.55,164.5,37,38,DraftKings
2023,Odell Beckham Jr,575.5,40.5,4.5,125.05,119.0,38,34,DraftKings
2023,Marquez Valdes-Scantling,625.5,40.5,3.5,124.05,181.7,39,39,DraftKings
2024,Tyreek Hill,1375.5,97.5,9.5,292.05,2.6,1,1,
2024,CeeDee Lamb,1300.5,104.5,9,288.55,3.1,2,2,
2024,Ja'Marr Chase,1250.5,98.5,8.5,274.55,5.6,4,3,
2024,Justin Jefferson,1275.5,89.5,7.5,262.05,6.2,6,4,
2024,Amon-Ra St. Brown,1250.5,105.5,8.5,281.55,6.5,3,5,
2024,A.J. Brown,1275.5,87.5,8,263.05,9.4,5,6,
2024,Garrett Wilson,1125.5,90.5,7.5,248.05,11.2,7,7,
2024,Puka Nacua,1150.5,85.5,6.5,239.55,13.2,8,8,
2024,Marvin Harrison,1025.5,82.5,6,221.05,16.3,12,9,
2024,Davante Adams,1000.5,84.5,7,226.55,19.4,10,10,
2024,Drake London,1000.5,81.5,6.5,220.55,21.0,13,11,
2024,Chris Olave,1075.5,84.5,6,228.05,21.3,9,12,
2024,Nico Collins,1050.5,72.5,6,213.55,26.7,16,13,
2024,Deebo Samuel,800.5,62.5,5.5,175.55,27.1,31,14,
2024,Mike Evans,1050.5,68.5,8.5,224.55,28.6,11,15,
2024,Jaylen Waddle,1000.5,75.5,5,205.55,31.4,19,16,
2024,Cooper Kupp,950.5,76.5,6.5,210.55,31.6,18,17,
2024,Michael Pittman Jr,950.5,87.5,5.5,215.55,32.3,15,18,
2024,DK Metcalf,1000.5,70.5,7,212.55,33.5,17,19,
2024,DJ Moore,950.5,68.5,6.5,202.55,35.0,20,20,
2024,Stefon Diggs,900.5,75.5,6,201.55,35.8,21,21,
2024,DeVonta Smith,1025.5,77.5,6.5,219.05,37.0,14,22,
2024,Amari Cooper,950.5,65.5,5.5,193.55,49.3,23,23,
2024,Zay Flowers,925.5,72.5,5.5,198.05,49.7,22,24,
2024,George Pickens,925.5,65.5,4.5,185.05,51.5,28,25,
2024,Tee Higgins,875.5,65.5,5.5,186.05,52.1,27,26,
2024,Christian Kirk,875.5,73.5,4.5,188.05,61.1,26,27,
2024,Terry McLaurin,900.5,72.5,4.5,189.55,61.9,25,28,
2024,Keenan Allen,825.5,71.5,4.5,181.05,62.5,30,29,
2024,Calvin Ridley,875.5,67.5,4.5,182.05,65.3,29,30,
2024,Chris Godwin,875.5,77.5,4.5,192.05,65.9,24,31,
2024,Jayden Reed,750.5,62.5,4.5,164.55,71.8,36,32,
2024,Diontae Johnson,800.5,67.5,4.5,174.55,75.3,32,33,
2024,Christian Watson,750.5,48.5,6,159.55,82.3,37,34,
2024,Xavier Worthy,750.5,52.5,4.5,154.55,82.5,41,35,
2024,Ladd McConkey,725.5,57.5,4.5,157.05,86.8,39,36,
2024,Rome Odunze,675.5,54.5,4.5,149.05,87.1,43,37,
2024,Jaxon Smith-Njigba,775.5,64.5,4.5,169.05,88.1,34,38,
2024,Keon Coleman,700.5,53.5,4.5,150.55,91.7,42,39,
2024,Courtland Sutton,800.5,60.5,5.5,173.55,97.9,33,40,
2024,Romeo Doubs,575.5,52.5,4.5,137.05,113.0,46,41,
2024,Tyler Lockett,750.5,65.5,4.5,167.55,113.2,35,42,
2024,Khalil Shakir,775.5,62.5,3,158.05,113.3,38,43,
2024,Jakobi Meyers,650.5,64.5,4.5,156.55,116.7,40,44,
2024,Jerry Jeudy,700.5,55.5,3.5,146.55,121.2,44,45,
2024,Rashid Shaheed,675.5,45.5,3.5,134.05,122.0,47,46,
2024,Brandin Cooks,625.5,51.5,4.5,141.05,123.0,45,47,
2025,Ja'Marr Chase,1325.5,102.5,10.5,298.05,1.5,1,1,
2025,Justin Jefferson,1250.5,92.5,9.5,274.55,6.1,2,2,
2025,CeeDee Lamb,1200.5,98.5,8,266.55,6.3,3,3,
2025,Amon-Ra St. Brown,1100.5,96.5,8.5,257.55,11.2,4,4,
2025,Malik Nabers,1150.5,95.5,7.5,255.55,11.6,5,5,
2025,Puka Nacua,1200.5,87.5,6,243.55,13.4,6,6,
2025,Nico Collins,1125.5,78.5,6.5,230.05,14.1,9,7,
