year,rank,name,team,pos,pos_rank,adp
2015,1,Andrew Luck,IND,QB,QB1,1.3
2015,2,Aaron Rodgers,GB,QB,QB2,2.4
2015,3,Adrian Peterson,MIN,RB,RB1,2.4
2015,4,Le'Veon Bell,PIT,RB,RB2,4.0
2015,5,Antonio Brown,PIT,WR,WR1,4.6
2015,6,Eddie Lacy,GB,RB,RB3,5.1
2015,7,Jamaal Charles,KC,RB,RB4,6.8
2015,8,Russell Wilson,SEA,QB,QB3,7.3
2015,9,Peyton Manning,DEN,QB,QB4,7.4
2015,10,Drew Brees,NO,QB,QB5,9.1
2015,11,Marshawn Lynch,SEA,RB,RB5,9.2
2015,12,Julio Jones,ATL,WR,WR2,11.1
2015,13,Ben Roethlisberger,PIT,QB,QB6,11.6
2015,14,Dez Bryant,DAL,WR,WR3,13.9
2015,15,Demaryius Thomas,DEN,WR,WR4,14.8
2015,16,CJ Anderson,DEN,RB,RB6,16.3
2015,17,Matt Ryan,ATL,QB,QB7,16.5
2015,18,Matt Forte,CHI,RB,RB7,16.9
2015,19,Calvin Johnson,DET,WR,WR5,19.2
2015,20,Odell Beckham Jr.,NYG,WR,WR6,19.5
2015,21,Rob Gronkowski,NE,TE,TE1,19.9
2015,22,Tony Romo,DAL,QB,QB8,20.8
2015,23,Jeremy Hill,CIN,RB,RB8,22.6
2015,24,DeMarco Murray,PHI,RB,RB9,22.8
2015,25,Randall Cobb,GB,WR,WR7,25.3
2015,26,Tom Brady,NE,QB,QB9,25.7
2015,27,A.J. Green,CIN,WR,WR8,25.7
2015,28,Eli Manning,NYG,QB,QB10,27.3
2015,29,LeSean McCoy,BUF,RB,RB10,27.6
2015,30,Justin Forsett,BAL,RB,RB11,27.6
2015,31,Ryan Tannehill,MIA,QB,QB11,29.3
2015,32,Matthew Stafford,DET,QB,QB12,29.6
2015,33,T.Y. Hilton,IND,WR,WR9,31.2
2015,34,Alshon Jeffery,CHI,WR,WR10,31.7
2015,35,Frank Gore,IND,RB,RB12,34.5
2015,36,Lamar Miller,MIA,RB,RB13,34.9
2015,37,Brandin Cooks,NO,WR,WR11,35.7
2015,38,Philip Rivers,LAC,QB,QB13,36.0
2015,39,Jimmy Graham,SEA,TE,TE2,37.4
2015,40,Cam Newton,CAR,QB,QB14,39.3
2015,41,Mike Evans,TB,WR,WR12,40.6
2015,42,Sam Bradford,PHI,QB,QB15,40.7
2015,43,Jordan Matthews,PHI,WR,WR13,43.1
2015,44,Alfred Morris,WAS,RB,RB14,43.3
2015,45,Emmanuel Sanders,DEN,WR,WR14,44.8
2015,46,Mark Ingram II,NO,RB,RB15,46.4
2015,47,Teddy Bridgewater,MIN,QB,QB16,46.6
2015,48,DeAndre Hopkins,HOU,WR,WR15,46.7
2015,49,Latavius Murray,LV,RB,RB16,47.1
2015,50,Melvin Gordon III,LAC,RB,RB17,48.0
2015,51,Andre Johnson,IND,WR,WR16,50.2
2015,52,Carson Palmer,ARI,QB,QB17,50.3
2015,53,Joseph Randle,DAL,RB,RB18,51.0
2015,54,Carlos Hyde,SF,RB,RB19,52.0
2015,55,Joe Flacco,BAL,QB,QB18,52.5
2015,56,Jonathan Stewart,CAR,RB,RB20,53.6
2015,57,Julian Edelman,NE,WR,WR17,53.8
2015,58,Golden Tate,DET,WR,WR18,55.0
2015,59,Andre Ellington,ARI,RB,RB21,55.5
