year,team,win_total_line,actual_wins,result,beat_margin,top25_count,top50_count,top100_count,linear_weight,reciprocal_weight,best_rank
2015,ARI,8.5,13,Over,4.5,0,0,2,91,3.62,52
2015,ATL,8.5,8,Under,-0.5,2,2,3,174,15.22,12
2015,BAL,9.0,5,Under,-4.0,0,1,2,117,5.15,30
2015,BUF,8.5,8,Under,-0.5,0,1,2,97,4.76,29
2015,CAR,8.5,15,Over,6.5,0,1,3,139,5.76,40
2015,CHI,6.5,6,Under,-0.5,1,2,4,207,11.27,18
2015,CIN,8.5,12,Over,3.5,1,2,4,188,10.5,23
2015,CLE,6.5,3,Under,-3.5,0,0,0,0,0,101
2015,DAL,9.5,4,Under,-5.5,2,2,4,224,14.67,14
2015,DEN,10.0,12,Over,2.0,3,4,4,319,26.25,9
2015,DET,8.5,7,Under,-1.5,1,2,5,239,12.75,19
2015,GB,11.0,10,Under,-1.0,3,3,4,291,71.92,2
2015,HOU,8.5,9,Over,0.5,0,1,3,95,4.7,48
2015,IND,10.5,8,Under,-2.5,1,3,4,284,107.85,1
2015,JAX,5.5,5,Under,-0.5,0,0,2,39,2.46,77
2015,KC,8.5,11,Over,2.5,1,1,4,171,18.33,7
2015,MIA,9.0,6,Under,-3.0,0,2,4,178,8.56,31
2015,MIN,8.0,11,Over,3.0,1,2,4,163,37.56,3
2015,NE,10.5,12,Over,1.5,1,2,4,219,11.6,21
2015,NO,8.5,7,Under,-1.5,1,3,4,237,16.23,10
2015,NYG,8.0,6,Under,-2.0,1,2,4,191,11.0,20
2015,NYJ,7.5,10,Over,2.5,0,0,2,53,2.69,70
2015,LV,5.5,7,Over,1.5,0,1,3,107,4.83,49
2015,PHI,10.0,7,Under,-3.0,1,3,5,211,11.04,24
2015,PIT,8.5,10,Over,1.5,3,3,4,316,54.21,4
2015,LAC,8.0,4,Under,-4.0,0,2,3,154,6.27,38
2015,SF,6.5,5,Under,-1.5,0,0,2,88,3.52,54
2015,SEA,11.0,10,Under,-1.0,2,3,3,245,24.16,8
2015,LAR,7.5,7,Under,-0.5,0,0,1,30,1.41,71
2015,TB,6.0,6,Push,0.0,0,1,4,103,5.94,41
2015,TEN,5.5,3,Under,-2.5,0,0,1,6,1.05,95
2015,WAS,6.0,9,Over,3.0,0,1,2,74,3.46,44
2016,ARI,10.0,7,Under,-3.0,2,2,5,238,19.05,9
2016,ATL,7.0,11,Over,4.0,2,2,3,199,25.66,5
2016,BAL,8.5,8,Under,-0.5,0,0,1,7,1.06,94
2016,BUF,8.0,7,Under,-1.0,0,2,3,153,6.6,34
2016,CAR,10.5,6,Under,-4.5,1,2,4,233,55.58,2
2016,CHI,7.5,3,Under,-4.5,0,1,3,120,6.15,30
2016,CIN,9.5,6,Under,-3.5,1,1,5,208,12.92,14
2016,CLE,4.5,1,Under,-3.5,0,0,1,17,1.19,84
2016,DAL,8.5,13,Over,4.5,2,3,3,227,15.75,13
2016,DEN,9.5,9,Under,-0.5,0,2,3,137,5.96,40
2016,DET,7.0,9,Over,2.0,0,0,4,111,5.8,55
2016,GB,10.5,10,Under,-0.5,2,4,4,306,44.02,3
2016,HOU,8.5,9,Over,0.5,2,2,2,174,14.58,12
2016,IND,9.0,8,Under,-1.0,1,2,4,212,14.47,11
2016,JAX,7.5,3,Under,-4.5,1,2,4,202,11.05,19
2016,KC,9.5,12,Over,2.5,1,1,3,143,7.91,20
2016,LAR,7.5,4,Under,-3.5,1,1,1,94,14.29,7
2016,MIA,7.0,10,Over,3.0,0,1,5,99,6.53,50
2016,MIN,8.5,8,Under,-0.5,1,1,1,91,10.0,10
2016,NE,10.5,14,Over,3.5,1,2,3,203,10.98,18
2016,NO,7.0,7,Push,0.0,1,3,4,229,13.36,15
2016,NYG,8.5,11,Over,2.5,1,2,3,167,28.82,4
2016,NYJ,8.0,5,Under,-3.0,0,2,3,157,6.78,33
2016,LV,8.5,12,Over,3.5,0,3,4,179,8.62,29
2016,PHI,6.5,7,Over,0.5,0,0,2,52,2.7,67
2016,PIT,10.5,11,Over,0.5,3,3,3,274,121.21,1
2016,LAC,7.0,5,Under,-2.0,1,2,4,171,8.95,24
2016,SF,5.5,2,Under,-3.5,0,0,1,50,1.96,51
2016,SEA,10.5,10,Under,-0.5,1,2,4,209,17.94,8
2016,TB,7.0,9,Over,2.0,0,2,3,183,8.54,27
2016,TEN,6.0,9,Over,3.0,0,0,3,78,4.21,53
2016,WAS,7.5,8,Over,0.5,0,0,4,127,6.09,52
2017,ARI,8.5,8,Under,-0.5,1,1,3,161,102.84,1
2017,ATL,9.5,10,Over,0.5,3,3,4,281,32.15,6
2017,BAL,8.5,9,Over,0.5,0,0,2,31,2.35,81
2017,BUF,6.5,9,Over,2.5,1,1,2,121,15.64,7
2017,CAR,9.0,11,Over,2.0,0,2,4,213,9.2,33
2017,CHI,5.5,5,Under,-0.5,1,1,1,80,4.76,21
2017,CIN,8.5,7,Under,-1.5,1,1,4,195,13.01,12
2017,CLE,4.5,0,Under,-4.5,0,1,1,64,2.7,37
2017,DAL,9.5,9,Under,-0.5,2,3,4,213,12.29,20
2017,DEN,8.0,5,Under,-3.0,0,1,3,98,4.77,49
2017,DET,7.5,9,Over,1.5,0,1,3,105,4.91,43
2017,GB,10.5,7,Under,-3.5,2,2,4,282,44.29,3
2017,HOU,8.5,4,Under,-4.5,0,2,2,120,4.9,38
2017,IND,8.0,4,Under,-4.0,0,2,3,137,6.99,32
