year,team,win_total_line,over_odds,under_odds,actual_wins,result
2015,ARI,8.5,+120,-140,13,Over
2015,ATL,8.5,-110,-110,8,Under
2015,BAL,9.0,-140,+120,5,Under
2015,BUF,8.5,+130,-150,8,Under
2015,CAR,8.5,+150,-170,15,Over
2015,CHI,6.5,+100,-120,6,Under
2015,CIN,8.5,+100,-120,12,Over
2015,CLE,6.5,+155,-175,3,Under
2015,DAL,9.5,+110,-130,4,Under
2015,DEN,10.0,-140,+120,12,Over
2015,DET,8.5,+130,-150,7,Under
2015,GB,11.0,+140,-160,10,Under
2015,HOU,8.5,+100,-120,9,Over
2015,IND,10.5,-160,+140,8,Under
2015,JAX,5.5,-120,+100,5,Under
2015,KC,8.5,-150,+130,11,Over
2015,MIA,9.0,-160,+140,6,Under
2015,MIN,8.0,-150,+130,11,Over
2015,NE,10.5,-130,+110,12,Over
2015,NO,8.5,-130,+110,7,Under
2015,NYG,8.0,+150,-170,6,Under
2015,NYJ,7.5,+110,-130,10,Over
2015,LV,5.5,-160,+140,7,Over
2015,PHI,10.0,-130,+110,7,Under
2015,PIT,8.5,-110,-110,10,Over
2015,LAC,8.0,-160,+140,4,Under
2015,SF,6.5,+155,-175,5,Under
2015,SEA,11.0,-120,+100,10,Under
2015,LAR,7.5,-110,-110,7,Under
2015,TB,6.0,-150,+130,6,Push
2015,TEN,5.5,-200,+180,3,Under
2015,WAS,6.0,-130,+110,9,Over
2016,ARI,10.0,-170,+150,7,Under
2016,ATL,7.0,-130,+110,11,Over
2016,BAL,8.5,-110,-110,8,Under
2016,BUF,8.0,+130,-150,7,Under
2016,CAR,10.5,+120,-140,6,Under
2016,CHI,7.5,+145,-165,3,Under
2016,CIN,9.5,+100,-120,6,Under
2016,CLE,4.5,-150,+130,1,Under
2016,DAL,8.5,+110,-130,13,Over
2016,DEN,9.5,+130,-150,9,Under
2016,DET,7.0,-150,+130,9,Over
2016,GB,10.5,-170,+150,10,Under
2016,HOU,8.5,-120,+100,9,Over
2016,IND,9.0,+120,-140,8,Under
2016,JAX,7.5,-125,+105,3,Under
2016,KC,9.5,-140,+120,12,Over
2016,LAR,7.5,+175,-200,4,Under
2016,MIA,7.0,+120,-140,10,Over
2016,MIN,8.5,+115,-135,8,Under
2016,NE,10.5,-120,+100,14,Over
2016,NO,7.0,-140,+120,7,Push
2016,NYG,8.5,+100,-120,11,Over
2016,NYJ,8.0,+150,-170,5,Under
2016,LV,8.5,-110,-110,12,Over
2016,PHI,6.5,+130,-150,7,Over
2016,PIT,10.5,+110,-130,11,Over
2016,LAC,7.0,-185,+165,5,Under
2016,SF,5.5,+110,-130,2,Under
2016,SEA,10.5,-145,+125,10,Under
2016,TB,7.0,-140,+120,9,Over
2016,TEN,6.0,-150,+130,9,Over
2016,WAS,7.5,-120,+100,8,Over
2017,ARI,8.5,-160,+140,8,Under
2017,ATL,9.5,-110,-110,10,Over
2017,BAL,8.5,+130,-150,9,Over
2017,BUF,6.5,+130,-150,9,Over
2017,CAR,9.0,-120,+100,11,Over
2017,CHI,5.5,+105,-125,5,Under
2017,CIN,8.5,+120,-140,7,Under
2017,CLE,4.5,-180,+150,0,Under
