year,team,head_coach,new_coach,tenure,win_total_line,actual_wins,result,beat_margin,prior_actual_wins,prior_win_total_line,wins_change,line_change
2015,ARI,Bruce Arians,0,2,8.5,13,Over,4.5,,,,
2015,ATL,Dan Quinn,1,1,8.5,8,Under,-0.5,,,,
2015,BAL,John Harbaugh,0,2,9.0,5,Under,-4.0,,,,
2015,BUF,Rex Ryan,1,1,8.5,8,Under,-0.5,,,,
2015,CAR,Ron Rivera,0,2,8.5,15,Over,6.5,,,,
2015,CHI,John Fox,1,1,6.5,6,Under,-0.5,,,,
2015,CIN,Marvin Lewis,0,2,8.5,12,Over,3.5,,,,
2015,CLE,Mike Pettine,0,2,6.5,3,Under,-3.5,,,,
2015,DAL,Jason Garrett,0,2,9.5,4,Under,-5.5,,,,
2015,DEN,Gary Kubiak,1,1,10.0,12,Over,2.0,,,,
2015,DET,Jim Caldwell,0,2,8.5,7,Under,-1.5,,,,
2015,GB,Mike McCarthy,0,2,11.0,10,Under,-1.0,,,,
2015,HOU,Bill O'Brien,0,2,8.5,9,Over,0.5,,,,
2015,IND,Chuck Pagano,0,2,10.5,8,Under,-2.5,,,,
2015,JAX,Gus Bradley,0,2,5.5,5,Under,-0.5,,,,
2015,KC,Andy Reid,0,2,8.5,11,Over,2.5,,,,
2015,MIA,Joe Philbin,0,2,9.0,6,Under,-3.0,,,,
2015,MIN,Mike Zimmer,0,2,8.0,11,Over,3.0,,,,
2015,NE,Bill Belichick,0,2,10.5,12,Over,1.5,,,,
2015,NO,Sean Payton,0,2,8.5,7,Under,-1.5,,,,
2015,NYG,Tom Coughlin,0,2,8.0,6,Under,-2.0,,,,
2015,NYJ,Todd Bowles,1,1,7.5,10,Over,2.5,,,,
2015,LV,Jack Del Rio,1,1,5.5,7,Over,1.5,,,,
2015,PHI,Chip Kelly,0,2,10.0,7,Under,-3.0,,,,
2015,PIT,Mike Tomlin,0,2,8.5,10,Over,1.5,,,,
2015,LAC,Mike McCoy,0,2,8.0,4,Under,-4.0,,,,
2015,SF,Jim Tomsula,1,1,6.5,5,Under,-1.5,,,,
2015,SEA,Pete Carroll,0,2,11.0,10,Under,-1.0,,,,
2015,LAR,Jeff Fisher,0,2,7.5,7,Under,-0.5,,,,
2015,TB,Lovie Smith,0,2,6.0,6,Push,0.0,,,,
2015,TEN,Ken Whisenhunt,0,2,5.5,3,Under,-2.5,,,,
2015,WAS,Jay Gruden,0,2,6.0,9,Over,3.0,,,,
2016,ARI,Bruce Arians,0,3,10.0,7,Under,-3.0,13,8.5,-6,1.5
2016,ATL,Dan Quinn,0,2,7.0,11,Over,4.0,8,8.5,3,-1.5
2016,BAL,John Harbaugh,0,3,8.5,8,Under,-0.5,5,9.0,3,-0.5
2016,BUF,Rex Ryan,0,2,8.0,7,Under,-1.0,8,8.5,-1,-0.5
2016,CAR,Ron Rivera,0,3,10.5,6,Under,-4.5,15,8.5,-9,2.0
2016,CHI,John Fox,0,2,7.5,3,Under,-4.5,6,6.5,-3,1.0
2016,CIN,Marvin Lewis,0,3,9.5,6,Under,-3.5,12,8.5,-6,1.0
2016,CLE,Hue Jackson,1,1,4.5,1,Under,-3.5,3,6.5,-2,-2.0
2016,DAL,Jason Garrett,0,3,8.5,13,Over,4.5,4,9.5,9,-1.0
2016,DEN,Gary Kubiak,0,2,9.5,9,Under,-0.5,12,10.0,-3,-0.5
2016,DET,Jim Caldwell,0,3,7.0,9,Over,2.0,7,8.5,2,-1.5
2016,GB,Mike McCarthy,0,3,10.5,10,Under,-0.5,10,11.0,0,-0.5
2016,HOU,Bill O'Brien,0,3,8.5,9,Over,0.5,9,8.5,0,0.0
2016,IND,Chuck Pagano,0,3,9.0,8,Under,-1.0,8,10.5,0,-1.5
2016,JAX,Gus Bradley,0,3,7.5,3,Under,-4.5,5,5.5,-2,2.0
2016,KC,Andy Reid,0,3,9.5,12,Over,2.5,11,8.5,1,1.0
