team,kicker,kicker_new_player,kicker_unstable_team,kicker_note,punter,punter_new_player,punter_unstable_team,punter_note
ARI,C.Ryland,False,False,"2025 primary starter, no confirmed 2026 change",M.Haack,False,True,"2025 primary starter, no confirmed 2026 change"
ATL,Z.Gonzalez,False,True,"2025 primary starter, no confirmed 2026 change",J.Bailey,True,False,"Lost incumbent Bradley Pinion to MIA; signed Jake Bailey away from MIA as the replacement (in effect a straight team swap with MIA). Career history is portable, new team"
BAL,T.Loop,False,False,"2025 primary starter, no confirmed 2026 change",R.Eckley,True,False,"Incumbent Jordan Stout left for NYG; BAL drafted Ryan Eckley (Michigan State) in the 2026 draft to replace him -- true rookie, no NFL history"
BUF,M.Prater,False,False,"2025 primary starter, no confirmed 2026 change",M.Wishnowsky,False,True,"2025 primary starter, no confirmed 2026 change"
CAR,R.Fitzgerald,False,False,"2025 primary starter, no confirmed 2026 change",S.Martin,False,False,"2025 primary starter, no confirmed 2026 change"
CHI,C.Santos,False,True,"2025 primary starter, no confirmed 2026 change",T.Taylor,False,False,"2025 primary starter, no confirmed 2026 change"
CIN,E.McPherson,False,False,"2025 primary starter, no confirmed 2026 change",R.Rehkow,False,False,"2025 primary starter, no confirmed 2026 change"
CLE,A.Szmyt,False,False,"2025 primary starter, no confirmed 2026 change",C.Bojorquez,False,False,"2025 primary starter, no confirmed 2026 change"
DAL,B.Aubrey,False,False,"2025 primary starter, no confirmed 2026 change",B.Anger,False,False,"2025 primary starter, no confirmed 2026 change"
DEN,W.Lutz,False,False,"2025 primary starter, no confirmed 2026 change",J.Crawshaw,False,False,"2025 primary starter, no confirmed 2026 change"
DET,J.Bates,False,False,"2025 primary starter, no confirmed 2026 change",J.Fox,False,False,"2025 primary starter, no confirmed 2026 change"
GB,B.McManus,False,False,"2025 primary starter, no confirmed 2026 change",D.Whelan,False,False,"2025 primary starter, no confirmed 2026 change"
HOU,K.Fairbairn,False,False,"2025 primary starter, no confirmed 2026 change",K.Kroeger,True,True,"Incumbent Tommy Townsend left for TEN; HOU traded for Kai Kroeger from NO. Reportedly competing with a rookie (Jack Stonehouse) for the job -- career history (NO, 2025) is portable but this is an open competition, not a settled job"
IND,B.Grupe,True,True,"2025 was a Badgley/Grupe/Shrader carousel; Blake Grupe (10/10 XP, 11/11 FG, including four 50+ yarders, in relief duty) is favored to keep the job over Spencer Shrader (returning from a season-ending knee injury) but this is a real, ongoing 2026 competition, not a settled job",R.Sanchez,False,False,"2025 primary starter, no confirmed 2026 change"
JAX,C.Little,False,False,"2025 primary starter, no confirmed 2026 change",L.Cooke,False,False,"2025 primary starter, no confirmed 2026 change"
KC,H.Butker,False,False,"2025 primary starter, no confirmed 2026 change",M.Araiza,False,False,"2025 primary starter, no confirmed 2026 change"
LAC,C.Dicker,False,False,"2025 primary starter, no confirmed 2026 change",J.Scott,False,False,"2025 primary starter, no confirmed 2026 change"
LAR,J.Karty,False,True,"2025 primary starter, no confirmed 2026 change",E.Evans,False,False,"2025 primary starter, no confirmed 2026 change"
LV,D.Carlson,False,False,"2025 primary starter, no confirmed 2026 change",A.Cole,False,False,"2025 primary starter, no confirmed 2026 change"
MIA,R.Patterson,False,False,"2025 primary starter, no confirmed 2026 change",B.Pinion,True,True,"Incumbent Jake Bailey left for ATL; MIA brought in veteran Bradley Pinion (from ATL, in effect a straight swap) but also signed UDFA/UFL punter Seth Vernon as camp competition -- treated as an open competition, Pinion favored as the established veteran"
MIN,W.Reichard,False,False,"2025 primary starter, no confirmed 2026 change",J.Hekker,True,False,"Incumbent Ryan Wright left for NO; MIN signed veteran Johnny Hekker (from TEN) as the replacement. Career history is portable, new team"
NE,A.Borregales,False,False,"2025 primary starter, no confirmed 2026 change",B.Baringer,False,False,"2025 primary starter, no confirmed 2026 change"
NO,C.Smyth,True,True,"Grupe (see IND override) actually finished 2025 with IND, not NO -- NO's real 2025 finisher was Charlie Smyth (12/16 FG, 13/13 XP over the final 6 games after taking over in Week 13), who enters 2026 camp as the favorite but is competing with Tanner Brown (no NFL history) for the job",R.Wright,True,False,"Traded away incumbent Kai Kroeger to HOU; signed Ryan Wright away from MIN as the replacement. Career history is portable, new team"
NYG,J.Sanders,True,True,"Signed by NYG in 2026 FA -- was MIA's kicker 2018-2024 but missed all of 2025 with a hip injury (so his ability history is necessarily anchored on his last active season, 2024, plus a real return-from-injury question mark this doesn't otherwise capture)",J.Stout,True,False,"Signed by NYG in 2026 FA after 4 years as BAL's punter (Pro Bowl, led NFL in net avg in 2025); career history is portable, new team"
NYJ,N.Folk,False,False,"2025 primary starter, no confirmed 2026 change",A.McNamara,False,False,"2025 primary starter, no confirmed 2026 change"
PHI,J.Elliott,False,False,"2025 primary starter, no confirmed 2026 change",B.Mann,False,False,"2025 primary starter, no confirmed 2026 change"
PIT,C.Boswell,False,False,"2025 primary starter, no confirmed 2026 change",C.Johnston,True,True,"Lost incumbent Corliss Waitman to SF; re-signed Cameron Johnston, but his 2025 (11 total punts across two teams due to injury/roster churn) is too thin to trust, and PIT was reportedly still shopping for more competition (veteran or UDFA) as of this writing -- treat as a real open question, not a settled job"
SEA,J.Myers,False,False,"2025 primary starter, no confirmed 2026 change",M.Dickson,False,False,"2025 primary starter, no confirmed 2026 change"
SF,E.Pineiro,False,False,"2025 primary starter, no confirmed 2026 change",C.Waitman,True,False,"Incumbent Thomas Morstead departed; SF signed Corliss Waitman away from PIT. Career history is portable, new team"
TB,C.McLaughlin,False,False,"2025 primary starter, no confirmed 2026 change",R.Dixon,False,False,"2025 primary starter, no confirmed 2026 change"
TEN,J.Slye,False,False,"2025 primary starter, no confirmed 2026 change",T.Townsend,True,False,"Replaced incumbent Johnny Hekker (who left for MIN) with Tommy Townsend, signed away from HOU. Career history is portable, new team"
WAS,M.Gay,False,True,"2025 primary starter, no confirmed 2026 change",T.Way,False,False,"2025 primary starter, no confirmed 2026 change"
