player,seasons,years,last_team,career_fp_per_game,ability_residual
M.Wright,1,2022,PIT,12.8,5.07
A.Seibert,1,2024,WAS,12.41,3.43
K.Fairbairn,4,"2022,2023,2024,2025",HOU,11.51,3.28
S.Shrader,1,2025,IND,11.82,2.98
C.Smyth,1,2025,NO,10.43,2.71
B.Aubrey,3,"2023,2024,2025",DAL,11.2,2.54
W.Reichard,2,"2024,2025",MIN,10.29,2.08
J.Myers,4,"2022,2023,2024,2025",SEA,10.36,1.8
C.Dicker,4,"2022,2023,2024,2025",LAC,9.99,1.78
C.Boswell,4,"2022,2023,2024,2025",PIT,9.35,1.2
Z.Gonzalez,2,"2024,2025",ATL,9.22,0.82
C.McLaughlin,4,"2022,2023,2024,2025",TB,9.15,0.78
J.Sanders,3,"2022,2023,2024",MIA,9.1,0.71
B.Maher,2,"2022,2023",LAR,9.14,0.57
C.Little,2,"2024,2025",JAX,9.05,0.56
B.Grupe,4,"2023,2024,2025,2025",IND,8.73,0.5
N.Folk,4,"2022,2023,2024,2025",NYJ,8.11,0.37
E.Pineiro,4,"2022,2023,2024,2025",SF,8.33,0.18
J.Romo,2,"2024,2025",ATL,8.42,0.17
D.Carlson,4,"2022,2023,2024,2025",LV,7.69,0.08
C.Santos,4,"2022,2023,2024,2025",CHI,8.3,0.06
M.Gay,4,"2022,2023,2024,2025",WAS,8.1,-0.02
J.Bates,2,"2024,2025",DET,9.13,-0.03
B.Narveson,1,2024,GB,8.73,-0.07
J.Moody,3,"2023,2024,2025",WAS,8.25,-0.07
B.McManus,4,"2022,2023,2024,2025",GB,8.28,-0.08
H.Mevis,1,2025,LAR,9.13,-0.08
W.Lutz,4,"2022,2023,2024,2025",DEN,8.24,-0.09
R.Patterson,3,"2022,2023,2025",MIA,8.11,-0.14
H.Butker,4,"2022,2023,2024,2025",KC,8.12,-0.14
J.Tucker,3,"2022,2023,2024",BAL,8.76,-0.16
G.Joseph,3,"2022,2023,2024",NYG,7.66,-0.17
J.Slye,4,"2022,2023,2024,2025",TEN,7.41,-0.24
R.Succop,1,2022,TB,7.51,-0.25
T.Loop,1,2025,BAL,8.25,-0.3
C.Ryland,3,"2023,2024,2025",ARI,7.69,-0.31
E.McPherson,4,"2022,2023,2024,2025",CIN,8.1,-0.45
A.Szmyt,1,2025,CLE,7.01,-0.52
M.Prater,4,"2022,2023,2024,2025",BUF,7.82,-0.7
A.Borregales,1,2025,NE,8.25,-0.76
T.Bass,3,"2022,2023,2024",BUF,8.17,-0.87
R.Gould,1,2022,SF,7.86,-0.87
J.Elliott,4,"2022,2023,2024,2025",PHI,7.63,-0.89
D.Hopkins,3,"2022,2023,2024",CLE,6.91,-0.93
G.Gano,4,"2022,2023,2024,2025",NYG,6.9,-0.99
G.Zuerlein,3,"2022,2023,2024",NYJ,6.72,-1.01
C.York,2,"2022,2024",CIN,7.62,-1.06
M.Crosby,1,2022,GB,6.96,-1.21
A.Carlson,2,"2023,2024",NYJ,6.64,-1.41
R.Fitzgerald,1,2025,CAR,6.34,-1.41
R.Bullock,2,"2022,2023",NYG,6.01,-1.51
M.Badgley,3,"2022,2023,2025",IND,7.25,-1.57
Y.Koo,4,"2022,2023,2024,2025",NYG,6.27,-1.91
L.Havrisik,1,2023,LAR,6.36,-2.05
J.Karty,2,"2024,2025",LAR,6.48,-2.33
M.Ammendola,1,2023,HOU,5.4,-2.82
J.McAtamney,1,2025,NYG,2.08,-6.16
