team,kicker,kicker_new_player,kicker_unstable_team,kicker_has_ability_history,kicker_ability_residual,kicker_projected_fp_per_game,kicker_projected_fp_season,punter,punter_new_player,punter_unstable_team,punter_has_ability_history,punter_own_bucket_skill_history,punter_projected_fp_per_game,punter_projected_fp_season
DAL,B.Aubrey,False,False,True,2.54,11.85,201.5,B.Anger,False,False,True,2.711,4.28,72.8
HOU,K.Fairbairn,False,False,True,3.28,11.36,193.1,K.Kroeger,True,True,True,2.118,3.69,62.7
NO,C.Smyth,True,True,True,2.71,11.24,191.0,R.Wright,True,False,True,2.533,4.1,69.8
LAC,C.Dicker,False,False,True,1.78,10.01,170.2,J.Scott,False,False,True,2.337,3.91,66.5
SEA,J.Myers,False,False,True,1.8,10.01,170.1,M.Dickson,False,False,True,2.697,4.27,72.6
MIN,W.Reichard,False,False,True,2.08,9.91,168.4,J.Hekker,True,False,True,2.567,4.14,70.4
NYG,J.Sanders,True,True,True,0.71,9.48,161.2,J.Stout,True,False,True,2.583,4.15,70.6
CIN,E.McPherson,False,False,True,-0.45,9.11,154.9,R.Rehkow,False,False,True,2.653,4.22,71.8
PIT,C.Boswell,False,False,True,1.2,9.03,153.5,C.Johnston,True,True,True,2.785,4.36,74.1
TB,C.McLaughlin,False,False,True,0.78,9.01,153.2,R.Dixon,False,False,True,2.354,3.93,66.7
IND,B.Grupe,True,True,True,0.5,8.95,152.1,R.Sanchez,False,False,True,2.872,4.44,75.5
JAX,C.Little,False,False,True,0.56,8.9,151.4,L.Cooke,False,False,True,2.652,4.22,71.8
DET,J.Bates,False,False,True,-0.03,8.82,149.9,J.Fox,False,False,True,2.72,4.29,73.0
NYJ,N.Folk,False,False,True,0.37,8.78,149.3,A.McNamara,False,False,True,2.412,3.98,67.7
ATL,Z.Gonzalez,False,True,True,0.82,8.73,148.3,J.Bailey,True,False,True,2.49,4.06,69.1
SF,E.Pineiro,False,False,True,0.18,8.69,147.8,C.Waitman,True,False,True,2.254,3.83,65.0
CHI,C.Santos,False,True,True,0.06,8.69,147.8,T.Taylor,False,False,True,2.64,4.21,71.6
BAL,T.Loop,False,False,True,-0.3,8.62,146.6,R.Eckley,True,False,False,2.475,4.05,68.8
WAS,M.Gay,False,True,True,-0.02,8.45,143.7,T.Way,False,False,True,2.59,4.16,70.8
LV,D.Carlson,False,False,True,0.08,8.4,142.8,A.Cole,False,False,True,2.617,4.19,71.2
GB,B.McManus,False,False,True,-0.08,8.4,142.8,D.Whelan,False,False,True,2.562,4.13,70.3
TEN,J.Slye,False,False,True,-0.24,8.24,140.1,T.Townsend,True,False,True,2.648,4.22,71.7
KC,H.Butker,False,False,True,-0.14,8.07,137.3,M.Araiza,False,False,True,2.478,4.05,68.8
DEN,W.Lutz,False,False,True,-0.09,7.91,134.4,J.Crawshaw,False,False,True,2.588,4.16,70.7
BUF,M.Prater,False,False,True,-0.7,7.9,134.2,M.Wishnowsky,False,True,True,2.219,3.79,64.4
NE,A.Borregales,False,False,True,-0.76,7.75,131.7,B.Baringer,False,False,True,2.488,4.06,69.0
ARI,C.Ryland,False,False,True,-0.31,7.59,129.1,M.Haack,False,True,True,2.881,4.45,75.7
MIA,R.Patterson,False,False,True,-0.14,7.27,123.7,B.Pinion,True,True,True,2.448,4.02,68.3
PHI,J.Elliott,False,False,True,-0.89,7.16,121.7,B.Mann,False,False,True,2.541,4.11,69.9
CLE,A.Szmyt,False,False,True,-0.52,7.12,121.1,C.Bojorquez,False,False,True,2.597,4.17,70.9
CAR,R.Fitzgerald,False,False,True,-1.41,6.83,116.2,S.Martin,False,False,True,2.615,4.19,71.2
LAR,J.Karty,False,True,True,-2.33,6.53,111.0,E.Evans,False,False,True,2.217,3.79,64.4
