player,seasons,years,last_team,career_fp_per_game,own_bucket_skill_history
M.Haack,3,"2022,2024,2025",ARI,4.61,2.881
R.Sanchez,3,"2023,2024,2025",IND,4.33,2.872
B.Gillikin,4,"2022,2023,2024,2025",ARI,4.32,2.838
R.Stonehouse,3,"2022,2023,2024",TEN,4.51,2.808
C.Johnston,2,"2022,2023",HOU,5.04,2.785
J.Fox,4,"2022,2023,2024,2025",DET,4.3,2.72
B.Anger,4,"2022,2023,2024,2025",DAL,3.82,2.711
M.Dickson,4,"2022,2023,2024,2025",SEA,4.17,2.697
R.Rehkow,2,"2024,2025",CIN,4.3,2.653
L.Cooke,4,"2022,2023,2024,2025",JAX,4.26,2.652
T.Townsend,4,"2022,2023,2024,2025",HOU,4.41,2.648
T.Taylor,2,"2024,2025",CHI,4.16,2.64
A.Cole,4,"2022,2023,2024,2025",LV,4.19,2.617
S.Martin,4,"2022,2023,2024,2025",CAR,4.09,2.615
C.Bojorquez,4,"2022,2023,2024,2025",CLE,4.25,2.597
T.Way,4,"2022,2023,2024,2025",WAS,4.29,2.59
A.Lee,1,2022,ARI,3.65,2.588
J.Crawshaw,1,2025,DEN,4.35,2.588
J.Stout,4,"2022,2023,2024,2025",BAL,4.01,2.583
J.Hekker,4,"2022,2023,2024,2025",TEN,4.02,2.567
D.Whelan,3,"2023,2024,2025",GB,3.82,2.562
B.Mann,4,"2022,2023,2024,2025",PHI,3.73,2.541
A.Siposs,1,2022,PHI,3.77,2.538
R.Wright,4,"2022,2023,2024,2025",MIN,3.99,2.533
J.Bailey,4,"2022,2023,2024,2025",MIA,3.76,2.49
B.Baringer,3,"2023,2024,2025",NE,4.09,2.488
M.Araiza,2,"2024,2025",KC,3.95,2.478
J.Camarda,3,"2022,2023,2024",TB,3.82,2.473
B.Pinion,4,"2022,2023,2024,2025",ATL,4.07,2.448
A.McNamara,1,2025,NYJ,4.29,2.412
T.Morstead,4,"2022,2023,2024,2025",SF,3.91,2.386
R.Dixon,4,"2022,2023,2024,2025",TB,4.06,2.354
J.Scott,4,"2022,2023,2024,2025",LAC,3.91,2.337
D.Chrisman,1,2022,CIN,4.14,2.286
C.Waitman,3,"2022,2024,2025",PIT,3.86,2.254
N.Cooney,1,2023,ARI,2.75,2.25
T.Gill,3,"2022,2023,2024",TB,3.36,2.248
M.Wishnowsky,4,"2022,2023,2024,2025",BUF,3.75,2.219
E.Evans,3,"2023,2024,2025",LAR,3.61,2.217
J.Gillan,4,"2022,2023,2024,2025",NYG,3.71,2.153
K.Kroeger,1,2025,NO,3.18,2.118
P.Harvin,2,"2022,2023",PIT,3.8,2.108
T.Zentner,2,"2023,2023",HOU,3.12,2.075
P.O'Donnell,3,"2022,2024,2025",ARI,2.89,2.011
J.Browning,1,2024,TB,2.0,2.0
B.Robbins,1,2023,CIN,3.18,2.0
M.Hayball,1,2024,NO,4.35,1.941
L.Hedley,1,2023,NO,3.65,1.824
M.Palardy,2,"2022,2024",ARI,2.23,1.717
K.Huber,1,2022,CIN,2.67,1.667
