team,recency_avg_points_for,recency_avg_point_diff_pg,recency_avg_wins,kalshi_expected_wins_2026,scale_factor,team_offense_proxy_2026,team_point_diff_proxy_2026
CIN,421.8,-1.84,7.5,10.1,1.347,568.0,3.71
DAL,442.3,-0.98,8.0,9.64,1.205,533.0,2.52
BAL,464.0,5.92,10.2,10.49,1.028,477.2,6.54
LAR,449.9,5.04,11.0,11.46,1.042,468.7,6.02
DET,501.9,6.69,11.4,10.6,0.93,466.7,4.99
NYG,325.6,-5.87,4.6,7.72,1.4,455.8,0.78
CHI,385.5,-0.52,8.4,9.5,1.131,436.0,1.83
BUF,488.2,7.83,12.1,10.68,0.883,430.9,4.8
NO,334.8,-2.44,6.3,7.92,1.257,420.9,1.01
SF,433.4,3.38,10.2,9.86,0.967,419.0,2.66
NE,378.9,1.21,9.0,9.94,1.104,418.5,3.22
GB,410.1,3.45,9.6,9.71,1.011,414.8,3.69
TEN,296.3,-9.06,3.6,6.44,1.4,414.8,-3.01
WAS,389.3,-3.36,6.9,7.33,1.062,413.6,-2.44
IND,425.3,0.48,8.2,7.9,0.963,409.7,-0.16
NYJ,305.0,-8.16,4.4,5.84,1.327,404.8,-5.09
JAX,408.4,2.1,9.5,9.19,0.967,395.1,1.44
LV,279.6,-7.81,4.3,6.45,1.4,391.4,-3.23
CAR,305.0,-7.55,5.9,7.37,1.249,381.0,-4.42
LAC,373.8,1.99,9.8,9.95,1.015,379.5,2.31
TB,410.2,1.42,8.8,8.14,0.925,379.4,0.02
KC,370.7,2.95,9.7,9.86,1.016,376.8,3.29
SEA,426.8,5.29,11.8,10.39,0.881,375.8,2.29
HOU,389.0,3.49,11.0,10.11,0.919,357.5,1.59
PHI,415.0,4.47,11.9,10.12,0.85,352.9,0.68
DEN,399.4,4.0,11.6,10.04,0.866,345.7,0.67
ATL,357.4,-2.62,7.8,7.27,0.932,333.1,-3.75
ARI,363.5,-5.01,4.7,4.3,0.915,332.6,-5.86
PIT,373.3,0.64,10.0,8.62,0.862,321.8,-2.3
MIN,370.4,1.88,10.1,8.77,0.868,321.6,-0.96
CLE,296.1,-5.66,5.6,5.59,0.998,295.6,-5.69
MIA,376.2,-1.36,8.1,4.43,0.7,263.3,-9.19
