year,team,window,group,trail_avg,win_total_line,actual_wins,beat_margin,result
2016,DAL,1,loser,-5.5,8.5,13,4.5,Over
2016,BAL,1,loser,-4.0,8.5,8,-0.5,Under
2016,LAC,1,loser,-4.0,7.0,5,-2.0,Under
2016,CLE,1,loser,-3.5,4.5,1,-3.5,Under
2016,MIA,1,loser,-3.0,7.0,10,3.0,Over
2016,PHI,1,loser,-3.0,6.5,7,0.5,Over
2016,IND,1,loser,-2.5,9.0,8,-1.0,Under
2016,TEN,1,loser,-2.5,6.0,9,3.0,Over
2016,NYG,1,loser,-2.0,8.5,11,2.5,Over
2016,DET,1,loser,-1.5,7.0,9,2.0,Over
2016,NE,1,winner,1.5,10.5,14,3.5,Over
2016,PIT,1,winner,1.5,10.5,11,0.5,Over
2016,DEN,1,winner,2.0,9.5,9,-0.5,Under
2016,KC,1,winner,2.5,9.5,12,2.5,Over
2016,NYJ,1,winner,2.5,8.0,5,-3.0,Under
2016,MIN,1,winner,3.0,8.5,8,-0.5,Under
2016,WAS,1,winner,3.0,7.5,8,0.5,Over
2016,CIN,1,winner,3.5,9.5,6,-3.5,Under
2016,ARI,1,winner,4.5,10.0,7,-3.0,Under
2016,CAR,1,winner,6.5,10.5,6,-4.5,Under
2017,CAR,1,loser,-4.5,9.0,11,2.0,Over
2017,CHI,1,loser,-4.5,5.5,5,-0.5,Under
2017,JAX,1,loser,-4.5,6.5,10,3.5,Over
2017,CIN,1,loser,-3.5,8.5,7,-1.5,Under
2017,CLE,1,loser,-3.5,4.5,0,-4.5,Under
2017,LAR,1,loser,-3.5,6.0,11,5.0,Over
2017,SF,1,loser,-3.5,5.0,6,1.0,Over
2017,ARI,1,loser,-3.0,8.5,8,-0.5,Under
2017,NYJ,1,loser,-3.0,3.5,5,1.5,Over
2017,LAC,1,loser,-2.0,7.5,9,1.5,Over
2017,DET,1,winner,2.0,7.5,9,1.5,Over
2017,TB,1,winner,2.0,8.5,5,-3.5,Under
2017,KC,1,winner,2.5,9.0,10,1.0,Over
2017,NYG,1,winner,2.5,9.0,3,-6.0,Under
2017,MIA,1,winner,3.0,7.0,6,-1.0,Under
2017,TEN,1,winner,3.0,9.0,9,0.0,Push
2017,LV,1,winner,3.5,9.5,6,-3.5,Under
2017,NE,1,winner,3.5,12.5,13,0.5,Over
2017,ATL,1,winner,4.0,9.5,10,0.5,Over
2017,DAL,1,winner,4.5,9.5,9,-0.5,Under
2018,NYG,1,loser,-6.0,7.0,5,-2.0,Under
2018,CLE,1,loser,-4.5,6.0,7,1.0,Over
2018,HOU,1,loser,-4.5,8.5,11,2.5,Over
2018,IND,1,loser,-4.0,7.5,10,2.5,Over
2018,GB,1,loser,-3.5,10.0,6,-4.0,Under
2018,LV,1,loser,-3.5,7.5,4,-3.5,Under
2018,TB,1,loser,-3.5,6.5,5,-1.5,Under
2018,DEN,1,loser,-3.0,7.0,6,-1.0,Under
2018,CIN,1,loser,-1.5,7.0,6,-1.0,Under
2018,SEA,1,loser,-1.5,7.5,10,2.5,Over
2018,LAC,1,winner,1.5,9.5,12,2.5,Over
2018,NYJ,1,winner,1.5,6.0,4,-2.0,Under
2018,CAR,1,winner,2.0,8.5,7,-1.5,Under
2018,BUF,1,winner,2.5,5.5,6,0.5,Over
2018,PIT,1,winner,2.5,10.5,9,-1.5,Under
2018,NO,1,winner,3.0,9.5,13,3.5,Over
2018,JAX,1,winner,3.5,9.0,5,-4.0,Under
2018,MIN,1,winner,4.5,10.0,8,-2.0,Under
2018,PHI,1,winner,4.5,10.5,9,-1.5,Under
2018,LAR,1,winner,5.0,10.0,13,3.0,Over
2019,SF,1,loser,-4.5,8.0,13,5.0,Over
2019,GB,1,loser,-4.0,9.0,13,4.0,Over
2019,JAX,1,loser,-4.0,8.0,6,-2.0,Under
2019,LV,1,loser,-3.5,6.0,7,1.0,Over
2019,ARI,1,loser,-3.0,5.0,5,0.0,Push
2019,ATL,1,loser,-2.5,8.5,7,-1.5,Under
2019,MIN,1,loser,-2.0,9.0,10,1.0,Over
2019,NYG,1,loser,-2.0,6.0,4,-2.0,Under
2019,NYJ,1,loser,-2.0,7.5,7,-0.5,Under
2019,CAR,1,loser,-1.5,8.0,5,-3.0,Under
2019,BAL,1,winner,1.5,8.5,14,5.5,Over
