rank,player,team,pos,adp,season_finish,miss
95,Kadarius Toney,KC,WR,86.0,334.0,239.0
116,Van Jefferson,LAR,WR,140.0,334.0,218.0
84,Rashod Bateman,BAL,WR,94.0,300.0,216.0
94,Treylon Burks,TEN,WR,81.0,303.0,209.0
63,Cam Akers,LAR,RB,65.0,268.0,205.0
146,Tank Bigsby,JAX,RB,136.0,350.0,204.0
130,Greg Dulcich,DEN,TE,127.0,334.0,204.0
123,Jamaal Williams,NO,RB,128.0,310.0,187.0
39,Jerry Jeudy,DEN,WR,39.0,215.0,176.0
175,Hunter Renfrow,LV,WR,190.0,350.0,175.0
46,Miles Sanders,CAR,RB,64.0,220.0,174.0
165,Dawson Knox,BUF,TE,180.0,317.0,152.0
43,Dameon Pierce,HOU,RB,70.0,180.0,137.0
197,John Metchie,HOU,WR,179.0,334.0,137.0
105,Quentin Johnston,LAC,WR,79.0,240.0,135.0
124,Allen Lazard,NYJ,WR,113.0,250.0,126.0
213,Mecole Hardman,NYJ,WR,203.0,334.0,121.0
17,Patrick Mahomes,KC,QB,21.0,130.0,113.0
210,Mike Gesicki,NE,TE,187.0,322.0,112.0
222,Jacoby Brissett,WAS,QB,268.0,334.0,112.0
91,Zach Charbonnet,SEA,RB,102.0,201.0,110.0
226,Cordarrelle Patterson,ATL,RB,205.0,334.0,108.0
160,Tyler Conklin,NYJ,TE,188.0,263.0,103.0
102,Rondale Moore,ARI,WR,132.0,203.0,101.0
249,Cedric Tillman,CLE,WR,249.0,350.0,101.0
