rank,player,team,pos,adp,season_finish,miss,per_game_finish,missed_time_gap,notes
30,Jayden Daniels,WAS,QB,37.1,283.0,253.0,253.0,30.0,
50,Calvin Ridley,TEN,WR,51.6,245.0,195.0,188.0,57.0,
43,James Conner,ARI,RB,60.6,237.0,194.0,99.0,138.0,
37,Xavier Worthy,KC,WR,40.4,221.0,184.0,228.0,-7.0,
158,Trey Benson,ARI,RB,138.7,331.0,173.0,318.0,13.0,
82,Darnell Mooney,ATL,WR,105.7,246.0,164.0,261.0,-15.0,
28,Tyreek Hill,MIA,WR,26.7,192.0,164.0,74.0,118.0,
47,Travis Hunter,JAX,WR,56.8,204.0,157.0,148.0,56.0,Rookie
105,Evan Engram,DEN,TE,105.4,259.0,154.0,275.0,-16.0,
89,T.J. Hockenson,MIN,TE,86.2,241.0,152.0,254.0,-13.0,
74,Isiah Pacheco,KC,RB,69.8,219.0,145.0,218.0,1.0,
56,Matthew Golden,GB,WR,66.5,191.0,135.0,211.0,-20.0,Rookie
11,Brian Thomas,JAX,WR,12.5,144.0,133.0,158.0,-14.0,
117,Rashod Bateman,BAL,WR,115.1,247.0,130.0,250.0,-3.0,
34,Mike Evans,TB,WR,33.3,161.0,127.0,118.0,43.0,
98,Jayden Reed,GB,WR,82.5,222.0,124.0,171.0,51.0,
41,Alvin Kamara,NO,RB,56.9,160.0,119.0,152.0,8.0,
12,Malik Nabers,NYG,WR,9.3,131.0,119.0,22.0,109.0,
161,Cam Ward,TEN,QB,152.2,279.0,118.0,293.0,-14.0,Rookie
222,Tre' Harris,LAC,WR,150.9,339.0,117.0,419.0,-80.0,Rookie
59,Joe Burrow,CIN,QB,61.8,169.0,110.0,122.0,47.0,
167,Jaydon Blue,DAL,RB,145.3,276.0,109.0,210.0,66.0,Rookie
65,Jerry Jeudy,CLE,WR,70.7,170.0,105.0,197.0,-27.0,
67,Josh Downs,IND,WR,85.3,172.0,105.0,191.0,-19.0,
193,Keaton Mitchell,BAL,RB,184.0,297.0,104.0,302.0,-5.0,
