year,rank,player,team,pos,pos_rank,before_adp,diff,finish_prev_year,notes,before_rank,pos_pool_size,key,after_rank,after_adp,censored_dropout,move
2023,1,Justin Jefferson,MIN,WR,1.0,1.0,,6.0,,1,102,justin jefferson,1.0,1.8,False,0.0
2023,3,Ja'Marr Chase,CIN,WR,3.0,2.0,,9.0,,2,102,jamarr chase,3.0,8.3,False,1.0
2023,4,Christian McCaffrey,SF,RB,1.0,3.0,,3.0,,1,82,christian mccaffrey,1.0,5.2,False,0.0
2023,2,Cooper Kupp,LAR,WR,2.0,4.0,,1.0,,3,102,cooper kupp,4.0,14.3,False,1.0
2023,10,Tyreek Hill,MIA,WR,6.0,5.0,,8.0,,4,102,tyreek hill,2.0,8.1,False,-2.0
2023,13,Travis Kelce,KC,TE,1.0,6.0,,13.0,,1,36,travis kelce,1.0,6.8,False,0.0
2023,5,Austin Ekeler,LAC,RB,2.0,7.0,,2.0,,2,82,austin ekeler,2.0,9.0,False,0.0
2023,11,Stefon Diggs,BUF,WR,7.0,8.0,,12.0,,5,102,stefon diggs,5.0,17.5,False,0.0
2023,19,Bijan Robinson,ATL,RB,6.0,9.0,,,,3,82,bijan robinson,4.0,15.4,False,1.0
2023,6,A.J. Brown,PHI,WR,4.0,10.0,,18.0,,6,102,aj brown,8.0,23.1,False,2.0
2023,16,CeeDee Lamb,DAL,WR,9.0,11.0,,19.0,,7,102,ceedee lamb,7.0,21.2,False,0.0
2023,8,Nick Chubb,CLE,RB,3.0,12.0,,15.0,,4,82,nick chubb,3.0,14.4,False,-1.0
2023,15,Garrett Wilson,NYJ,WR,8.0,13.0,,55.0,,8,102,garrett wilson,6.0,18.4,False,-2.0
2023,24,Amon-Ra St. Brown,DET,WR,10.0,14.0,,23.0,,9,102,amon-ra st brown,9.0,23.5,False,0.0
2023,7,Davante Adams,LV,WR,5.0,15.0,,7.0,,10,102,davante adams,10.0,25.2,False,0.0
2023,35,Jaylen Waddle,MIA,WR,17.0,16.0,,26.0,,11,102,jaylen waddle,13.0,34.2,False,2.0
2023,9,Saquon Barkley,NYG,RB,4.0,17.0,,10.0,,5,82,saquon barkley,5.0,18.4,False,0.0
2023,41,Chris Olave,NO,WR,21.0,18.0,,76.0,,12,102,chris olave,11.0,29.9,False,-1.0
2023,30,Jonathan Taylor,IND,RB,11.0,19.0,,32.0,,6,82,jonathan taylor,36.0,,True,30.0
2023,20,Tony Pollard,DAL,RB,7.0,20.0,,20.0,,7,82,tony pollard,7.0,24.1,False,0.0
2023,28,DeVonta Smith,PHI,WR,12.0,22.0,,36.0,,13,102,devonta smith,19.0,53.4,False,6.0
2023,14,Derrick Henry,TEN,RB,5.0,23.0,,4.0,,8,82,derrick henry,6.0,19.9,False,-2.0
