year,team,sum_abs_move,n_players,agl,agl_rank
2023,ARI,9.0,2,100.1,28
2023,ATL,9.0,3,36.3,5
2023,BAL,4.0,2,71.3,19
2023,BUF,0.0,2,57.1,13
2023,CAR,0.0,1,120.6,30
2023,CHI,6.0,1,50.5,9
2023,CIN,7.0,3,28.9,3
2023,CLE,3.0,2,108.0,29
2023,DAL,7.0,3,51.8,11
2023,DEN,31.0,3,57.7,14
2023,DET,8.0,3,66.7,18
2023,GB,18.0,3,81.1,24
2023,HOU,6.0,1,159.1,32
2023,IND,42.0,2,84.6,26
2023,JAX,11.0,4,49.8,8
2023,KC,1.0,2,38.1,6
2023,LAC,5.0,3,76.3,22
2023,LAR,4.0,2,26.4,1
2023,LV,2.0,2,26.8,2
2023,MIA,4.0,2,76.0,21
2023,MIN,4.0,4,60.4,15
2023,NE,3.0,1,128.0,31
2023,NO,14.0,3,45.6,7
2023,NYG,1.0,2,84.4,25
2023,NYJ,10.0,2,98.8,27
2023,PHI,16.0,5,77.1,23
2023,PIT,11.0,3,61.3,16
2023,SEA,17.0,5,66.6,17
2023,SF,8.0,4,34.5,4
2023,TB,19.0,3,51.5,10
2023,TEN,4.0,2,75.7,20
2023,WAS,7.0,3,54.4,12
2024,ARI,12.0,3,104.7,26
2024,ATL,3.0,3,44.2,4
2024,BAL,3.0,3,16.3,1
2024,BUF,0.0,2,56.1,8
2024,CAR,6.0,1,115.0,30
2024,CHI,11.0,3,40.3,3
2024,CIN,7.0,3,71.6,15
2024,CLE,30.0,2,106.6,27
2024,DAL,1.0,1,84.7,19
2024,DET,18.0,4,96.6,25
2024,GB,26.0,3,46.1,7
2024,HOU,18.0,4,88.9,21
2024,IND,1.0,2,89.8,22
2024,JAX,6.0,2,57.3,9
2024,KC,15.0,5,70.4,14
2024,LAC,9.0,1,64.2,11
2024,LAR,13.0,3,90.8,23
2024,LV,4.0,2,118.8,31
2024,MIA,9.0,4,111.0,28
2024,MIN,3.0,2,63.3,10
2024,NE,3.0,1,93.2,24
2024,NO,8.0,2,114.6,29
2024,NYG,10.0,2,70.3,13
2024,NYJ,2.0,2,84.9,20
2024,PHI,5.0,3,33.7,2
2024,PIT,10.0,3,76.9,18
2024,SEA,5.0,2,72.4,16
2024,SF,30.0,4,141.2,32
2024,TB,12.0,3,75.8,17
2024,TEN,10.0,3,69.8,12
2024,WAS,5.0,2,45.5,5
2025,ARI,9.0,3,179.8,32
2025,ATL,1.0,2,86.4,20
2025,BAL,9.0,3,78.7,18
2025,BUF,1.0,1,72.4,13
2025,CAR,8.0,2,92.4,21
2025,CHI,3.0,3,74.9,17
2025,CIN,5.0,3,74.4,16
2025,CLE,10.0,1,104.4,26
2025,DAL,7.0,2,72.5,14
2025,DEN,8.0,2,60.6,8
2025,DET,10.0,5,130.3,31
2025,GB,8.0,2,72.9,15
2025,HOU,0.0,1,101.3,25
2025,IND,7.0,2,65.9,12
2025,JAX,5.0,2,54.7,7
2025,KC,12.0,4,49.4,4
2025,LAC,3.0,2,106.2,27
2025,LAR,8.0,3,62.2,10
2025,LV,3.0,2,51.3,5
2025,MIA,9.0,3,117.3,29
2025,MIN,5.0,4,61.4,9
2025,NE,5.0,1,43.5,1
2025,NO,3.0,2,83.2,19
2025,NYG,1.0,2,95.0,23
2025,NYJ,9.0,2,93.1,22
2025,PHI,6.0,3,44.0,2
2025,PIT,12.0,3,53.3,6
2025,SEA,7.0,2,46.9,3
2025,SF,4.0,3,115.0,28
2025,TB,8.0,3,96.1,24
2025,TEN,3.0,2,62.8,11
2025,WAS,7.0,2,124.4,30
