player,team,pos,before_adp,before_rank,after_adp,after_rank,move,censored_dropout,notes
Jerry Jeudy,CLE,WR,70.7,40,79.8,30.0,-10.0,False,
DK Metcalf,PIT,WR,49.8,26,49.5,16.0,-10.0,False,
Rashee Rice,KC,WR,55.9,30,,38.0,8.0,True,4-6 game suspension likely
George Pickens,DAL,WR,42.1,22,73.2,28.0,6.0,False,
Garrett Wilson,NYJ,WR,35.1,17,66.0,23.0,6.0,False,
Jaxon Smith-Njigba,SEA,WR,31.5,15,58.0,21.0,6.0,False,
James Conner,ARI,RB,60.6,21,48.0,16.0,-5.0,False,
Deebo Samuel,WAS,WR,65.7,36,79.9,31.0,-5.0,False,
Jonathan Taylor,IND,RB,21.1,10,13.9,5.0,-5.0,False,
Tetairoa McMillan,CAR,WR,38.9,19,66.5,24.0,5.0,False,Rookie
TreVeyon Henderson,NE,RB,43.6,15,59.2,20.0,5.0,False,Rookie
RJ Harvey,DEN,RB,59.8,20,74.5,24.0,4.0,False,Rookie
David Montgomery,DET,RB,75.4,25,64.8,21.0,-4.0,False,
Davante Adams,LAR,WR,36.6,18,44.5,14.0,-4.0,False,
Josh Jacobs,GB,RB,22.8,11,15.9,7.0,-4.0,False,
Chase Brown,CIN,RB,18.9,8,30.8,12.0,4.0,False,
Courtland Sutton,DEN,WR,47.3,24,57.8,20.0,-4.0,False,
De'Von Achane,MIA,RB,16.0,7,28.0,11.0,4.0,False,
Matthew Golden,GB,WR,66.5,37,85.6,33.0,-4.0,False,Rookie
Kyren Williams,LAR,RB,31.5,13,18.9,9.0,-4.0,False,
Travis Hunter,JAX,WR,56.8,31,88.4,35.0,4.0,False,Rookie
Emeka Egbuka,TB,WR,59.5,34,,38.0,4.0,True,Rookie
Breece Hall,NYJ,RB,45.1,16,57.9,19.0,3.0,False,
Chuba Hubbard,CAR,RB,55.4,18,45.4,15.0,-3.0,False,
Zay Flowers,BAL,WR,57.6,32,74.1,29.0,-3.0,False,
