metric,tier,n,under_pct,healthy_n,healthy_under_pct,median_beat_when_over,n_over,median_miss_when_under,n_under,beat_miss_ratio
yards,<600,17,59,12,42,103.5,7,-276.5,10,0.37
yards,600-800,34,53,23,35,226.8,16,-340.0,18,0.67
yards,800-1000,51,51,35,29,251.5,25,-349.5,26,0.72
yards,1000-1200,18,67,14,57,338.5,6,-130.8,12,2.59
yards,1200+,6,50,4,25,282.0,3,-489.5,3,0.58
td,<=4.5,8,38,5,0,2.0,4,-3.5,3,0.57
td,5-6.5,22,64,16,50,1.5,6,-2.5,14,0.6
td,7-8.5,22,68,13,46,4.5,7,-5.0,15,0.9
td,9-10.5,16,31,14,21,3.0,11,-3.0,5,1.0
td,11+,8,62,6,50,2.5,3,-4.0,5,0.62
