year,player,prior_rush_yards,prior_games,prior_carries,line,line_minus_prior,actual,diff,result,games,prior_injury
2022,Derrick Henry,937,8,219,1350.5,413.5,1538.0,187.5,over,16,True
2022,Jonathan Taylor,1811,17,332,1350.5,-460.5,861.0,-489.5,under,11,False
2022,Nick Chubb,1259,14,228,1150.5,-108.5,1525.0,374.5,over,17,False
2022,Joe Mixon,1205,16,292,1100.5,-104.5,814.0,-286.5,under,14,False
2022,Dalvin Cook,1159,13,249,1100.5,-58.5,1173.0,72.5,over,17,True
2022,Najee Harris,1200,17,307,1100.5,-99.5,1034.0,-66.5,under,17,False
2022,Ezekiel Elliott,1002,17,237,900.5,-101.5,876.0,-24.5,under,15,False
2022,Elijah Mitchell,963,11,207,900.5,-62.5,279.0,-621.5,under,5,True
2022,Saquon Barkley,593,13,162,900.5,307.5,1312.0,411.5,over,16,True
2022,Miles Sanders,754,12,137,900.5,146.5,1269.0,368.5,over,17,True
2022,David Montgomery,849,13,225,875.5,26.5,801.0,-74.5,under,16,True
2022,Javonte Williams,903,17,203,875.5,-27.5,204.0,-671.5,under,4,False
2022,Damien Harris,929,15,202,850.5,-78.5,462.0,-388.5,under,11,False
2022,James Conner,752,15,202,825.5,73.5,782.0,-43.5,under,13,False
2022,Leonard Fournette,812,14,180,825.5,13.5,668.0,-157.5,under,16,False
2022,Josh Jacobs,872,15,217,825.5,-46.5,1653.0,827.5,over,17,False
2022,Antonio Gibson,1037,16,258,775.5,-261.5,546.0,-229.5,under,15,False
2022,Devin Singletary,870,17,188,775.5,-94.5,819.0,43.5,over,16,False
2022,Clyde Edwards-Helaire,517,10,119,739.5,222.5,302.0,-437.5,under,10,True
2022,AJ Dillon,803,17,187,700.5,-102.5,770.0,69.5,over,17,False
2023,Nick Chubb,1525,17,302,1213.0,-312.0,170.0,-1043.0,under,2,False
2023,Derrick Henry,1538,16,349,1188.0,-350.0,1167.0,-21.0,under,17,False
2023,Jonathan Taylor,861,11,192,1175.5,314.5,741.0,-434.5,under,10,True
2023,Josh Jacobs,1653,17,340,1075.5,-577.5,805.0,-270.5,under,13,False
2023,Tony Pollard,1007,16,193,1038.0,31.0,1005.0,-33.0,under,17,False
2023,Saquon Barkley,1312,16,295,988.0,-324.0,962.0,-26.0,under,14,False
2023,Rhamondre Stevenson,1040,17,210,963.0,-77.0,619.0,-344.0,under,12,False
2023,Kenneth Walker,1050,15,228,963.0,-87.0,905.0,-58.0,under,15,False
