year,player,matched_name,team,team_start,traded,games,adp,adp_pos_rank,top30,source,yards_kind,yards_line,yards_low,yards_high,yards_actual,yards_diff,yards_result,td_line,td_actual,td_diff,td_result
2022,Austin Ekeler,Austin Ekeler,LAC,LAC,,17,,,,sportsbetting.ag,rush+rec,1450.5,1450.5,1450.5,1637,186.5,over,,,,
2022,Christian McCaffrey,Christian McCaffrey,SF,CAR,yes,17,,,,sportsbetting.ag,rush+rec,1450.5,1450.5,1450.5,1880,429.5,over,,,,
2022,Derrick Henry,Derrick Henry,TEN,TEN,,16,,,,sportsbetting.ag,rush,1350.5,1350.5,1350.5,1538,187.5,over,12.5,13,0.5,over
2022,Jonathan Taylor,Jonathan Taylor,IND,IND,,11,,,,sportsbetting.ag,rush,1350.5,1350.5,1350.5,861,-489.5,under,12.5,4,-8.5,under
2022,Aaron Jones,Aaron Jones,GB,GB,,17,,,,sportsbetting.ag,rush+rec,1300.5,1300.5,1300.5,1516,215.5,over,,,,
2022,D'Andre Swift,D'Andre Swift,DET,DET,,14,,,,sportsbetting.ag,rush+rec,1300.5,1300.5,1300.5,931,-369.5,under,,,,
2022,Alvin Kamara,Alvin Kamara,NO,NO,,15,,,,sportsbetting.ag,rush+rec,1250.5,1250.5,1250.5,1387,136.5,over,,,,
2022,Nick Chubb,Nick Chubb,CLE,CLE,,17,,,,sportsbetting.ag,rush,1150.5,1150.5,1150.5,1525,374.5,over,9,12,3.0,over
2022,Cam Akers,Cam Akers,LAR,LAR,,15,,,,sportsbetting.ag,rush+rec,1100.5,1100.5,1100.5,903,-197.5,under,,,,
2022,Joe Mixon,Joe Mixon,CIN,CIN,,14,,,,sportsbetting.ag,rush,1100.5,1100.5,1100.5,814,-286.5,under,10.5,7,-3.5,under
2022,Dalvin Cook,Dalvin Cook,MIN,MIN,,17,,,,sportsbetting.ag,rush,1100.5,1100.5,1100.5,1173,72.5,over,9,8,-1.0,under
2022,Najee Harris,Najee Harris,PIT,PIT,,17,,,,sportsbetting.ag,rush,1100.5,1100.5,1100.5,1034,-66.5,under,8.5,7,-1.5,under
2022,Cordarrelle Patterson,Cordarrelle Patterson,ATL,ATL,,13,,,,sportsbetting.ag,rush+rec,1000.5,1000.5,1000.5,817,-183.5,under,,,,
2022,Tony Pollard,Tony Pollard,DAL,DAL,,16,,,,sportsbetting.ag,rush+rec,999.5,999.5,999.5,1378,378.5,over,,,,
2022,Ezekiel Elliott,Ezekiel Elliott,DAL,DAL,,15,,,,sportsbetting.ag,rush,900.5,900.5,900.5,876,-24.5,under,8,12,4.0,over
2022,Elijah Mitchell,Elijah Mitchell,SF,SF,,5,,,,sportsbetting.ag,rush,900.5,900.5,900.5,279,-621.5,under,7,2,-5.0,under
2022,Saquon Barkley,Saquon Barkley,NYG,NYG,,16,,,,sportsbetting.ag,rush,900.5,900.5,900.5,1312,411.5,over,7,10,3.0,over
2022,Miles Sanders,Miles Sanders,PHI,PHI,,17,,,,sportsbetting.ag,rush,900.5,900.5,900.5,1269,368.5,over,5,11,6.0,over
2022,David Montgomery,David Montgomery,CHI,CHI,,16,,,,sportsbetting.ag,rush,875.5,875.5,875.5,801,-74.5,under,6.5,5,-1.5,under
2022,Javonte Williams,Javonte Williams,DEN,DEN,,4,,,,sportsbetting.ag,rush,875.5,875.5,875.5,204,-671.5,under,6.5,0,-6.5,under
2022,Damien Harris,Damien Harris,NE,NE,,11,,,,sportsbetting.ag,rush,850.5,850.5,850.5,462,-388.5,under,8.5,3,-5.5,under
2022,J.K. Dobbins,J.K. Dobbins,BAL,BAL,,8,,,,sportsbetting.ag,rush,850.5,850.5,850.5,520,-330.5,under,7.5,2,-5.5,under
2022,James Conner,James Conner,ARI,ARI,,13,,,,sportsbetting.ag,rush,825.5,825.5,825.5,782,-43.5,under,9,7,-2.0,under
2022,Leonard Fournette,Leonard Fournette,TB,TB,,16,,,,sportsbetting.ag,rush,825.5,825.5,825.5,668,-157.5,under,8.5,3,-5.5,under
2022,Josh Jacobs,Josh Jacobs,LV,LV,,17,,,,sportsbetting.ag,rush,825.5,825.5,825.5,1653,827.5,over,7.5,12,4.5,over
2022,Breece Hall,Breece Hall,NYJ,NYJ,,7,,,,sportsbetting.ag,rush,825.5,825.5,825.5,463,-362.5,under,5.5,4,-1.5,under
2022,Antonio Gibson,Antonio Gibson,WAS,WAS,,15,,,,sportsbetting.ag,rush,775.5,775.5,775.5,546,-229.5,under,6,3,-3.0,under
2022,Devin Singletary,Devin Singletary,BUF,BUF,,16,,,,sportsbetting.ag,rush,775.5,775.5,775.5,819,43.5,over,5.5,5,-0.5,under
2022,Clyde Edwards-Helaire,Clyde Edwards-Helaire,KC,KC,,10,,,,sportsbetting.ag,rush,739.5,739.5,739.5,302,-437.5,under,5.5,3,-2.5,under
2022,AJ Dillon,AJ Dillon,GB,GB,,17,,,,sportsbetting.ag,rush,700.5,700.5,700.5,770,69.5,over,5.5,7,1.5,over
2023,Nick Chubb,Nick Chubb,CLE,CLE,,2,12,4,Y,fantasypoints,rush,1213,1200.5,1225.5,170,-1043.0,under,,,,
2023,Derrick Henry,Derrick Henry,TEN,TEN,,17,23,8,Y,fantasypoints,rush,1188,1150.5,1225.5,1167,-21.0,under,,,,
2023,Jonathan Taylor,Jonathan Taylor,IND,IND,,10,19,6,Y,fantasypoints,rush,1175.5,1150.5,1200.5,741,-434.5,under,,,,
2023,Bijan Robinson,Bijan Robinson,ATL,ATL,,17,9,3,Y,fantasypoints,rush,1088,1075.5,1100.5,976,-112.0,under,,,,
2023,Josh Jacobs,Josh Jacobs,LV,LV,,13,31,10,Y,fantasypoints,rush,1075.5,1050.5,1100.5,805,-270.5,under,,,,
2023,Tony Pollard,Tony Pollard,DAL,DAL,,17,20,7,Y,fantasypoints,rush,1038,1025.5,1050.5,1005,-33.0,under,,,,
2023,Saquon Barkley,Saquon Barkley,NYG,NYG,,14,17,5,Y,fantasypoints,rush,988,975.5,1000.5,962,-26.0,under,,,,
2023,Rhamondre Stevenson,Rhamondre Stevenson,NE,NE,,12,26,9,Y,fantasypoints,rush,963,925.5,1000.5,619,-344.0,under,,,,
2023,Kenneth Walker,Kenneth Walker III,SEA,SEA,,15,54,17,Y,fantasypoints,rush,963,950.5,975.5,905,-58.0,under,,,,
2023,Najee Harris,Najee Harris,PIT,PIT,,17,38,13,Y,fantasypoints,rush,950.5,925.5,975.5,1035,84.5,over,,,,
2023,Travis Etienne,Travis Etienne,JAX,JAX,,17,41,14,Y,fantasypoints,rush,950,949.5,950.5,1008,58.0,over,,,,
2023,Miles Sanders,Miles Sanders,CAR,CAR,,16,64,20,Y,fantasypoints,rush,925,924.5,925.5,432,-493.0,under,,,,
2023,Dameon Pierce,Dameon Pierce,HOU,HOU,,14,70,22,Y,fantasypoints,rush,900,899.5,900.5,416,-484.0,under,,,,
2023,Christian McCaffrey,Christian McCaffrey,SF,SF,,16,3,1,Y,fantasypoints,rush,875.5,850.5,900.5,1459,583.5,over,,,,
2023,Breece Hall,Breece Hall,NYJ,NYJ,,17,34,11,Y,fantasypoints,rush,863,850.5,875.5,994,131.0,over,,,,
2023,Justin Fields,Justin Fields,CHI,CHI,,13,49,,,fantasypoints,rush,850.5,825.5,875.5,657,-193.5,under,,,,
2023,J.K. Dobbins,J.K. Dobbins,BAL,BAL,,1,62,19,Y,fantasypoints,rush,838,800.5,875.5,22,-816.0,under,,,,
2023,Aaron Jones,Aaron Jones,GB,GB,,11,53,16,Y,fantasypoints,rush,838,800.5,875.5,656,-182.0,under,,,,
2023,Joe Mixon,Joe Mixon,CIN,CIN,,17,43,15,Y,fantasypoints,rush,813,800.5,825.5,1034,221.0,over,,,,
2023,Brian Robinson,Brian Robinson,WAS,WAS,,15,111,37,,fantasypoints,rush,800,799.5,800.5,733,-67.0,under,,,,
2023,Isiah Pacheco,Isiah Pacheco,KC,KC,,14,88,28,Y,fantasypoints,rush,795.5,775.5,815.5,935,139.5,over,,,,
2023,Austin Ekeler,Austin Ekeler,LAC,LAC,,14,7,2,Y,fantasypoints,rush,793,775.5,810.5,628,-165.0,under,,,,
2023,Lamar Jackson,Lamar Jackson,BAL,BAL,,16,35,,,fantasypoints,rush,775.5,725.5,825.5,821,45.5,over,,,,
2023,David Montgomery,David Montgomery,DET,DET,,14,76,23,Y,fantasypoints,rush,763,750.5,775.5,1015,252.0,over,,,,
2023,James Conner,James Conner,ARI,ARI,,13,80,25,Y,fantasypoints,rush,750.5,750.5,750.5,1040,289.5,over,,,,
2023,Cam Akers,Cam Akers,MIN,LAR,yes,7,65,21,Y,fantasypoints,rush,750,749.5,750.5,167,-583.0,under,,,,
2023,A.J. Dillon,AJ Dillon,GB,GB,,15,101,33,,fantasypoints,rush,738,700.5,775.5,613,-125.0,under,,,,
2023,Rachaad White,Rachaad White,TB,TB,,17,82,26,Y,fantasypoints,rush,723,650.5,795.5,990,267.0,over,,,,
2023,Jalen Hurts,Jalen Hurts,PHI,PHI,,17,25,,,fantasypoints,rush,713,700.5,725.5,605,-108.0,under,,,,
2023,Rashaad Penny,Rashaad Penny,PHI,PHI,,3,106,35,,fantasypoints,rush,632.5,600.5,664.5,33,-599.5,under,,,,
2023,Josh Allen,Josh Allen,BUF,BUF,,17,27,,,fantasypoints,rush,588,550.5,625.5,524,-64.0,under,,,,
2023,Jahmyr Gibbs,Jahmyr Gibbs,DET,DET,,15,37,12,Y,fantasypoints,rush,580.5,580.5,580.5,945,364.5,over,,,,
2023,D'Andre Swift,D'Andre Swift,PHI,PHI,,16,78,24,Y,fantasypoints,rush,578,575.5,580.5,1049,471.0,over,,,,
2023,Daniel Jones,Daniel Jones,NYG,NYG,,6,114,,,fantasypoints,rush,575.5,575.5,575.5,206,-369.5,under,,,,
2024,Christian McCaffrey,Christian McCaffrey,SF,SF,,4,1.3,1,Y,fantasypoints,rush,1138,1125.5,1150.5,202,-936.0,under,11,0,-11.0,under
2024,Jonathan Taylor,Jonathan Taylor,IND,IND,,14,15.9,5,Y,fantasypoints,rush,1038,1025.5,1050.5,1431,393.0,over,9.5,11,1.5,over
2024,Breece Hall,Breece Hall,NYJ,NYJ,,16,7.7,3,Y,fantasypoints,rush,1025.5,1000.5,1050.5,876,-149.5,under,7.5,5,-2.5,under
2024,Saquon Barkley,Saquon Barkley,PHI,PHI,,16,19.3,6,Y,fantasypoints,rush,1025.5,1000.5,1050.5,2005,979.5,over,7.5,13,5.5,over
2024,Derrick Henry,Derrick Henry,BAL,BAL,,17,29.5,9,Y,fantasypoints,rush,963,925.5,1000.5,1921,958.0,over,11,16,5.0,over
2024,Kyren Williams,Kyren Williams,LAR,LAR,,16,27.9,8,Y,fantasypoints,rush,950.5,950.5,950.5,1299,348.5,over,9.5,14,4.5,over
2024,Bijan Robinson,Bijan Robinson,ATL,ATL,,17,6.9,2,Y,fantasypoints,rush,950.5,900.5,1000.5,1456,505.5,over,6.5,14,7.5,over
2024,Josh Jacobs,Josh Jacobs,GB,GB,,17,52.2,12,Y,fantasypoints,rush,938,925.5,950.5,1329,391.0,over,7.5,15,7.5,over
2024,Travis Etienne,Travis Etienne,JAX,JAX,,15,43.3,11,Y,fantasypoints,rush,913,900.5,925.5,558,-355.0,under,7,2,-5.0,under
2024,Kenneth Walker,Kenneth Walker III,SEA,SEA,,11,68.9,16,Y,fantasypoints,rush,900.5,875.5,925.5,573,-327.5,under,8.5,7,-1.5,under
2024,Isaiah Pacheco,Isiah Pacheco,KC,KC,,7,39.8,10,Y,fantasypoints,rush,900.5,875.5,925.5,310,-590.5,under,7,1,-6.0,under
2024,James Cook,James Cook,BUF,BUF,,16,56,13,Y,fantasypoints,rush,875.5,875.5,875.5,1009,133.5,over,3.5,16,12.5,over
2024,Jahmyr Gibbs,Jahmyr Gibbs,DET,DET,,17,12.9,4,Y,fantasypoints,rush,863,825.5,900.5,1412,549.0,over,8,16,8.0,over
2024,Joe Mixon,Joe Mixon,HOU,HOU,,14,61.7,14,Y,fantasypoints,rush,850.5,825.5,875.5,1016,165.5,over,7.5,11,3.5,over
2024,Rachaad White,Rachaad White,TB,TB,,15,62.7,15,Y,fantasypoints,rush,825.5,800.5,850.5,613,-212.5,under,5.5,3,-2.5,under
2024,Najee Harris,Najee Harris,PIT,PIT,,17,83.1,21,Y,fantasypoints,rush,800.5,775.5,825.5,1043,242.5,over,6,6,0.0,under
2024,Jonathon Brooks,Jonathon Brooks,CAR,CAR,,3,89.8,25,Y,fantasypoints,rush,800.5,800.5,800.5,22,-778.5,under,4.5,0,-4.5,under
