player,year_a,line_a,diff_a,games_a,line_b,diff_b,games_b,line_move,result_b
Derrick Henry,2022,1350.5,187.5,16,1188.0,-21.0,17,-162.5,under
Jonathan Taylor,2022,1350.5,-489.5,11,1175.5,-434.5,10,-175.0,under
Nick Chubb,2022,1150.5,374.5,17,1213.0,-1043.0,2,62.5,under
Joe Mixon,2022,1100.5,-286.5,14,813.0,221.0,17,-287.5,over
Najee Harris,2022,1100.5,-66.5,17,950.5,84.5,17,-150.0,over
Saquon Barkley,2022,900.5,411.5,16,988.0,-26.0,14,87.5,under
Miles Sanders,2022,900.5,368.5,17,925.0,-493.0,16,24.5,under
David Montgomery,2022,875.5,-74.5,16,763.0,252.0,14,-112.5,over
J.K. Dobbins,2022,850.5,-330.5,8,838.0,-816.0,1,-12.5,under
James Conner,2022,825.5,-43.5,13,750.5,289.5,13,-75.0,over
Josh Jacobs,2022,825.5,827.5,17,1075.5,-270.5,13,250.0,under
Breece Hall,2022,825.5,-362.5,7,863.0,131.0,17,37.5,over
AJ Dillon,2022,700.5,69.5,17,738.0,-125.0,15,37.5,under
Derrick Henry,2023,1188.0,-21.0,17,963.0,958.0,17,-225.0,over
Jonathan Taylor,2023,1175.5,-434.5,10,1038.0,393.0,14,-137.5,over
Bijan Robinson,2023,1088.0,-112.0,17,950.5,505.5,17,-137.5,over
Josh Jacobs,2023,1075.5,-270.5,13,938.0,391.0,17,-137.5,over
Tony Pollard,2023,1038.0,-33.0,17,738.0,341.0,16,-300.0,over
Saquon Barkley,2023,988.0,-26.0,14,1025.5,979.5,16,37.5,over
Rhamondre Stevenson,2023,963.0,-344.0,12,750.5,50.5,15,-212.5,over
Kenneth Walker,2023,963.0,-58.0,15,900.5,-327.5,11,-62.5,under
Najee Harris,2023,950.5,84.5,17,800.5,242.5,17,-150.0,over
Travis Etienne,2023,950.0,58.0,17,913.0,-355.0,15,-37.0,under
Christian McCaffrey,2023,875.5,583.5,16,1138.0,-936.0,4,262.5,under
Breece Hall,2023,863.0,131.0,17,1025.5,-149.5,16,162.5,under
Aaron Jones,2023,838.0,-182.0,11,725.5,412.5,17,-112.5,over
Joe Mixon,2023,813.0,221.0,17,850.5,165.5,14,37.5,over
Lamar Jackson,2023,775.5,45.5,16,688.0,227.0,17,-87.5,over
David Montgomery,2023,763.0,252.0,14,775.5,-0.5,14,12.5,under
James Conner,2023,750.5,289.5,13,713.0,381.0,16,-37.5,over
Rachaad White,2023,723.0,267.0,17,825.5,-212.5,15,102.5,under
Jalen Hurts,2023,713.0,-108.0,17,538.0,92.0,15,-175.0,over
Josh Allen,2023,588.0,-64.0,17,490.5,40.5,16,-97.5,over
Jahmyr Gibbs,2023,580.5,364.5,15,863.0,549.0,17,282.5,over
D'Andre Swift,2023,578.0,471.0,16,750.5,208.5,17,172.5,over
Christian McCaffrey,2024,1138.0,-936.0,4,950.5,251.5,17,-187.5,over
Jonathan Taylor,2024,1038.0,393.0,14,1225.5,359.5,17,187.5,over
Breece Hall,2024,1025.5,-149.5,16,913.0,152.0,16,-112.5,over
Saquon Barkley,2024,1025.5,979.5,16,1463.0,-323.0,16,437.5,under
Derrick Henry,2024,963.0,958.0,17,1313.0,282.0,17,350.0,over
Kyren Williams,2024,950.5,348.5,16,988.0,264.0,17,37.5,over
Bijan Robinson,2024,950.5,505.5,17,1175.5,302.5,17,225.0,over
Josh Jacobs,2024,938.0,391.0,17,1038.0,-109.0,15,100.0,under
Kenneth Walker,2024,900.5,-327.5,11,863.0,164.0,17,-37.5,over
James Cook,2024,875.5,133.5,16,925.5,695.5,17,50.0,over
Jahmyr Gibbs,2024,863.0,549.0,17,1025.5,197.5,17,162.5,over
Joe Mixon,2024,850.5,165.5,14,915.5,-915.5,0,65.0,under
D'Andre Swift,2024,750.5,208.5,17,850.5,236.5,16,100.0,over
De'Von Achane,2024,738.0,169.0,17,800.5,549.5,16,62.5,over
Tony Pollard,2024,738.0,341.0,16,850.5,231.5,17,112.5,over
Aaron Jones,2024,725.5,412.5,17,813.0,-265.0,12,87.5,under
James Conner,2024,713.0,381.0,16,850.5,-755.5,3,137.5,under
Lamar Jackson,2024,688.0,227.0,17,750.5,-401.5,13,62.5,under
Alvin Kamara,2024,638.0,312.0,14,788.0,-317.0,11,150.0,under
Jalen Hurts,2024,538.0,92.0,15,588.0,-167.0,16,50.0,under
Jayden Daniels,2024,525.5,365.5,17,700.5,-422.5,7,175.0,under
Josh Allen,2024,490.5,40.5,16,475.5,103.5,16,-15.0,over
Kyler Murray,2024,488.0,84.0,17,488.0,-315.0,5,0.0,under
