metric,tier,n,under_pct,healthy_n,healthy_under_pct,median_beat_when_over,n_over,median_miss_when_under,n_under,beat_miss_ratio
yards,<700,13,69,9,67,217.5,4,-276.5,9,0.79
yards,700-850,39,49,30,33,294.0,20,-223.5,19,1.32
yards,850-1000,52,56,33,36,195.5,23,-293.5,29,0.67
yards,1000-1200,33,64,25,52,230.5,12,-160.5,21,1.44
yards,1200+,21,52,15,33,286.5,10,-196.5,11,1.46
rec,<=55,15,93,11,91,6.5,1,-17.5,14,0.37
rec,56-65,20,30,16,12,21.5,14,-27.5,6,0.78
rec,66-75,39,56,27,41,9.5,17,-18.0,22,0.53
rec,76-85,21,71,15,60,7.0,6,-17.5,15,0.4
rec,86+,28,43,20,25,18.5,16,-18.0,12,1.03
td,<=4.5,47,57,36,50,2.0,20,-1.5,27,1.33
td,5-5.5,15,60,8,62,3.0,6,-2.5,9,1.2
td,6-6.5,27,56,19,47,1.5,12,-1.5,15,1.0
td,7-7.5,16,62,12,50,3.0,6,-2.8,10,1.07
td,8+,18,72,14,64,3.5,5,-3.5,13,1.0
