year,player,prior_yards,prior_games,line,line_minus_prior,actual,diff,result,games,prior_injury
2022,Justin Jefferson,1616,17,1350.5,-265.5,1809.0,458.5,over,17,False
2022,Cooper Kupp,1947,17,1300.5,-646.5,812.0,-488.5,under,9,False
2022,Stefon Diggs,1225,17,1225.5,0.5,1429.0,203.5,over,16,False
2022,Ja'Marr Chase,1455,17,1210.5,-244.5,1046.0,-164.5,under,12,False
2022,Davante Adams,1553,16,1200.5,-352.5,1516.0,315.5,over,17,False
2022,CeeDee Lamb,1102,16,1200.5,98.5,1359.0,158.5,over,17,False
2022,DJ Moore,1157,17,1100.5,-56.5,888.0,-212.5,under,17,False
2022,Mike Evans,1035,16,1025.5,-9.5,1124.0,98.5,over,15,False
2022,Tyreek Hill,1239,17,1025.5,-213.5,1710.0,684.5,over,17,False
2022,Keenan Allen,1138,16,1025.5,-112.5,752.0,-273.5,under,10,False
2022,Michael Pittman,1082,17,1025.5,-56.5,925.0,-100.5,under,16,False
2022,Tee Higgins,1091,14,1000.5,-90.5,1029.0,28.5,over,14,False
2022,AJ Brown,869,13,1000.5,131.5,1496.0,495.5,over,17,True
2022,Terry McLaurin,1053,17,1000.5,-52.5,1191.0,190.5,over,17,False
2022,Mike Williams,1146,16,950.5,-195.5,895.0,-55.5,under,13,False
2022,Diontae Johnson,1161,16,950.5,-210.5,882.0,-68.5,under,17,False
2022,Brandin Cooks,1037,16,950.5,-86.5,699.0,-251.5,under,13,False
2022,Jerry Jeudy,467,10,950.5,483.5,972.0,21.5,over,15,True
2022,Darnell Mooney,1055,17,950.5,-104.5,493.0,-457.5,under,11,False
2022,Deebo Samuel,1405,16,925.5,-479.5,632.0,-293.5,under,13,False
2022,Jaylen Waddle,1015,16,925.5,-89.5,1356.0,430.5,over,17,False
2022,Courtland Sutton,776,17,925.5,149.5,829.0,-96.5,under,15,False
2022,DK Metcalf,967,17,900.5,-66.5,1048.0,147.5,over,17,False
2022,Marquise Brown,1008,16,875.5,-132.5,709.0,-166.5,under,12,False
2022,Allen Robinson,410,12,850.5,440.5,339.0,-511.5,under,10,True
2022,Amon-Ra St. Brown,912,16,850.5,-61.5,1161.0,310.5,over,16,False
2022,Rashod Bateman,515,12,825.5,310.5,285.0,-540.5,under,6,True
2022,DeVonta Smith,916,17,825.5,-90.5,1196.0,370.5,over,17,False
2022,Tyler Lockett,1175,16,825.5,-349.5,1033.0,207.5,over,16,False
2022,Hunter Renfrow,1038,17,805.5,-232.5,330.0,-475.5,under,10,False
2022,Christian Kirk,982,17,800.5,-181.5,1108.0,307.5,over,17,False
2022,Adam Thielen,726,13,750.5,24.5,716.0,-34.5,under,17,True
2022,Robert Woods,556,9,750.5,194.5,527.0,-223.5,under,17,True
2022,Julio Jones,434,10,575.5,141.5,299.0,-276.5,under,10,True
2023,Justin Jefferson,1809,17,1400.5,-408.5,1074.0,-326.5,under,10,False
2023,Davante Adams,1516,17,1300.5,-215.5,1144.0,-156.5,under,17,False
2023,Tyreek Hill,1710,17,1300.5,-409.5,1799.0,498.5,over,16,False
2023,Ja'Marr Chase,1046,12,1275.5,229.5,1216.0,-59.5,under,16,True
2023,Cooper Kupp,812,9,1250.5,438.5,737.0,-513.5,under,12,True
2023,Garrett Wilson,1103,17,1150.5,47.5,1042.0,-108.5,under,17,False
2023,Stefon Diggs,1429,16,1125.5,-303.5,1183.0,57.5,over,17,False
2023,CeeDee Lamb,1359,17,1100.5,-258.5,1749.0,648.5,over,17,False
2023,Jaylen Waddle,1356,17,1075.5,-280.5,1014.0,-61.5,under,14,False
2023,A.J. Brown,1496,17,1050.5,-445.5,1456.0,405.5,over,17,False
2023,Chris Olave,1042,15,1050.5,8.5,1123.0,72.5,over,16,False
2023,Tee Higgins,1029,14,1000.5,-28.5,656.0,-344.5,under,12,False
2023,Amon Ra St. Brown,1161,16,999.5,-161.5,1515.0,515.5,over,16,False
2023,DeVonta Smith,1196,17,975.5,-220.5,1066.0,90.5,over,16,False
2023,Amari Cooper,1160,17,950.5,-209.5,1250.0,299.5,over,15,False
2023,Mike Evans,1124,15,925.5,-198.5,1255.0,329.5,over,17,False
2023,DK Metcalf,1048,17,900.5,-147.5,1114.0,213.5,over,16,False
2023,Keenan Allen,752,10,875.5,123.5,1243.0,367.5,over,13,True
2023,Tyler Lockett,1033,16,875.5,-157.5,894.0,18.5,over,17,False
2023,Christian Kirk,1108,17,825.5,-282.5,787.0,-38.5,under,12,False
2023,Drake London,866,17,825.5,-40.5,905.0,79.5,over,16,False
2023,Christian Watson,611,14,825.5,214.5,422.0,-403.5,under,9,False
2023,Chris Godwin,1023,15,800.5,-222.5,1024.0,223.5,over,17,False
2023,Michael Pittman,925,16,800.5,-124.5,1152.0,351.5,over,16,False
2023,Marquise Brown,709,12,800.5,91.5,574.0,-226.5,under,13,True
2023,Mike Williams,895,13,800.5,-94.5,249.0,-551.5,under,3,True
2023,DJ Moore,888,17,800.5,-87.5,1364.0,563.5,over,17,False
2023,Gabe Davis,836,15,775.5,-60.5,746.0,-29.5,under,16,False
2023,Brandon Aiyuk,1015,17,775.5,-239.5,1342.0,566.5,over,16,False
2023,George Pickens,801,17,750.5,-50.5,1140.0,389.5,over,17,False
2023,Jahan Dotson,523,12,750.5,227.5,518.0,-232.5,under,17,True
2023,Deebo Samuel,632,13,725.5,93.5,892.0,166.5,over,15,True
2023,Tyler Boyd,762,16,675.5,-86.5,667.0,-8.5,under,17,False
2023,Allen Lazard,788,15,650.5,-137.5,311.0,-339.5,under,14,False
2023,Marquez Valdes-Scantling,687,17,625.5,-61.5,315.0,-310.5,under,16,False
2023,Michael Gallup,424,14,600.5,176.5,418.0,-182.5,under,16,False
2023,Adam Thielen,716,17,550.5,-165.5,1014.0,463.5,over,17,False
2024,Tyreek Hill,1799,16,1375.5,-423.5,959.0,-416.5,under,17,False
2024,CeeDee Lamb,1749,17,1300.5,-448.5,1194.0,-106.5,under,15,False
2024,Justin Jefferson,1074,10,1275.5,201.5,1533.0,257.5,over,17,True
2024,A.J. Brown,1456,17,1275.5,-180.5,1079.0,-196.5,under,13,False
2024,Ja'Marr Chase,1216,16,1250.5,34.5,1708.0,457.5,over,17,False
2024,Amon-Ra St. Brown,1515,16,1250.5,-264.5,1263.0,12.5,over,17,False
2024,Puka Nacua,1486,17,1150.5,-335.5,990.0,-160.5,under,11,False
2024,Garrett Wilson,1042,17,1125.5,83.5,1104.0,-21.5,under,17,False
2024,Chris Olave,1123,16,1075.5,-47.5,400.0,-675.5,under,8,False
2024,Nico Collins,1297,15,1050.5,-246.5,1006.0,-44.5,under,12,False
2024,Mike Evans,1255,17,1050.5,-204.5,1004.0,-46.5,under,14,False
2024,DeVonta Smith,1066,16,1025.5,-40.5,833.0,-192.5,under,13,False
2024,Davante Adams,1144,17,1000.5,-143.5,1063.0,62.5,over,14,False
2024,Drake London,905,16,1000.5,95.5,1271.0,270.5,over,17,False
2024,Jaylen Waddle,1014,14,1000.5,-13.5,744.0,-256.5,under,15,False
2024,DK Metcalf,1114,16,1000.5,-113.5,992.0,-8.5,under,15,False
2024,Cooper Kupp,737,12,950.5,213.5,710.0,-240.5,under,12,True
2024,Michael Pittman Jr,1152,16,950.5,-201.5,808.0,-142.5,under,16,False
2024,DJ Moore,1364,17,950.5,-413.5,966.0,15.5,over,17,False
2024,Amari Cooper,1250,15,950.5,-299.5,547.0,-403.5,under,13,False
2024,Zay Flowers,858,16,925.5,67.5,1059.0,133.5,over,17,False
2024,George Pickens,1140,17,925.5,-214.5,900.0,-25.5,under,14,False
2024,Stefon Diggs,1183,17,900.5,-282.5,496.0,-404.5,under,8,False
2024,Terry McLaurin,1002,17,900.5,-101.5,1096.0,195.5,over,17,False
2024,Tee Higgins,656,12,875.5,219.5,911.0,35.5,over,12,True
2024,Christian Kirk,787,12,875.5,88.5,379.0,-496.5,under,8,True
2024,Calvin Ridley,1016,17,875.5,-140.5,1017.0,141.5,over,17,False
2024,Chris Godwin,1024,17,875.5,-148.5,576.0,-299.5,under,7,False
2024,Keenan Allen,1243,13,825.5,-417.5,744.0,-81.5,under,15,True
2024,Deebo Samuel,892,15,800.5,-91.5,670.0,-130.5,under,15,False
2024,Diontae Johnson,717,13,800.5,83.5,375.0,-425.5,under,11,True
2024,Courtland Sutton,772,16,800.5,28.5,1081.0,280.5,over,16,False
2024,Jaxon Smith-Njigba,628,17,775.5,147.5,1130.0,354.5,over,17,False
2024,Khalil Shakir,611,16,775.5,164.5,821.0,45.5,over,15,False
2024,Jayden Reed,793,16,750.5,-42.5,857.0,106.5,over,17,False
2024,Christian Watson,422,9,750.5,328.5,620.0,-130.5,under,14,True
2024,Tyler Lockett,894,17,750.5,-143.5,600.0,-150.5,under,17,False
2024,Jerry Jeudy,758,16,700.5,-57.5,1229.0,528.5,over,17,False
2024,Rashid Shaheed,719,15,675.5,-43.5,349.0,-326.5,under,6,False
2024,Jakobi Meyers,807,16,650.5,-156.5,1027.0,376.5,over,15,False
2024,Brandin Cooks,657,16,625.5,-31.5,259.0,-366.5,under,10,False
2024,Romeo Doubs,674,17,575.5,-98.5,601.0,25.5,over,13,False
