player,year_a,line_a,diff_a,games_a,line_b,diff_b,games_b,line_move,result_b
Cooper Kupp,2022,1300.5,-488.5,9,1250.5,-513.5,12,-50.0,under
Justin Jefferson,2022,1350.5,458.5,17,1400.5,-326.5,10,50.0,under
Ja'Marr Chase,2022,1210.5,-164.5,12,1275.5,-59.5,16,65.0,under
Stefon Diggs,2022,1225.5,203.5,16,1125.5,57.5,17,-100.0,over
Davante Adams,2022,1200.5,315.5,17,1300.5,-156.5,17,100.0,under
CeeDee Lamb,2022,1200.5,158.5,17,1100.5,648.5,17,-100.0,over
Deebo Samuel,2022,925.5,-293.5,13,725.5,166.5,15,-200.0,over
Mike Evans,2022,1025.5,98.5,15,925.5,329.5,17,-100.0,over
Tyreek Hill,2022,1025.5,684.5,17,1300.5,498.5,16,275.0,over
Tee Higgins,2022,1000.5,28.5,14,1000.5,-344.5,12,0.0,under
Keenan Allen,2022,1025.5,-273.5,10,875.5,367.5,13,-150.0,over
Michael Pittman,2022,1025.5,-100.5,16,800.5,351.5,16,-225.0,over
AJ Brown,2022,1000.5,495.5,17,1050.5,405.5,17,50.0,over
DJ Moore,2022,1100.5,-212.5,17,800.5,563.5,17,-300.0,over
Mike Williams,2022,950.5,-55.5,13,800.5,-551.5,3,-150.0,under
Jaylen Waddle,2022,925.5,430.5,17,1075.5,-61.5,14,150.0,under
DK Metcalf,2022,900.5,147.5,17,900.5,213.5,16,0.0,over
Marquise Brown,2022,875.5,-166.5,12,800.5,-226.5,13,-75.0,under
Amon-Ra St. Brown,2022,850.5,310.5,16,999.5,515.5,16,149.0,over
Adam Thielen,2022,750.5,-34.5,17,550.5,463.5,17,-200.0,over
DeVonta Smith,2022,825.5,370.5,17,975.5,90.5,16,150.0,over
Christian Kirk,2022,800.5,307.5,17,825.5,-38.5,12,25.0,under
Tyler Lockett,2022,825.5,207.5,16,875.5,18.5,17,50.0,over
Justin Jefferson,2023,1400.5,-326.5,10,1275.5,257.5,17,-125.0,over
Cooper Kupp,2023,1250.5,-513.5,12,950.5,-240.5,12,-300.0,under
Ja'Marr Chase,2023,1275.5,-59.5,16,1250.5,457.5,17,-25.0,over
Davante Adams,2023,1300.5,-156.5,17,1000.5,62.5,14,-300.0,over
Tyreek Hill,2023,1300.5,498.5,16,1375.5,-416.5,17,75.0,under
Stefon Diggs,2023,1125.5,57.5,17,900.5,-404.5,8,-225.0,under
Garrett Wilson,2023,1150.5,-108.5,17,1125.5,-21.5,17,-25.0,under
CeeDee Lamb,2023,1100.5,648.5,17,1300.5,-106.5,15,200.0,under
Jaylen Waddle,2023,1075.5,-61.5,14,1000.5,-256.5,15,-75.0,under
Amon Ra St. Brown,2023,999.5,515.5,16,1250.5,12.5,17,251.0,over
A.J. Brown,2023,1050.5,405.5,17,1275.5,-196.5,13,225.0,under
DeVonta Smith,2023,975.5,90.5,16,1025.5,-192.5,13,50.0,under
Chris Olave,2023,1050.5,72.5,16,1075.5,-675.5,8,25.0,under
DK Metcalf,2023,900.5,213.5,16,1000.5,-8.5,15,100.0,under
Tee Higgins,2023,1000.5,-344.5,12,875.5,35.5,12,-125.0,over
Amari Cooper,2023,950.5,299.5,15,950.5,-403.5,13,0.0,under
