year,team,win_total_line,actual_wins,target_pyth_wins,beat_margin,qb_tier,new_coach,coach_tenure,coach_tenure_bucket,schedule_delta_pyth,prior_pyth_wins,prior_actual_wins,prior_beat_margin,trailing_beat_margin_2yr,prior_turnover_diff_per_game,prior_fumble_recovery_rate,prior_agl
2016,ARI,10.0,7,9.35,-3.0,2,0,3,Yr2-3,0.36624999999999996,11.88,13,4.5,,0.5625,0.56,62.5
2016,ATL,7.0,11,10.61,4.0,2,0,2,Yr2-3,1.0549999999999997,7.83,8,-0.5,,-0.4375,0.381,28.8
2016,BAL,8.5,8,8.63,-0.5,2,0,3,Yr2-3,-0.19162500000000016,6.13,5,-4.0,,-0.875,0.5333,96.1
2016,BUF,8.0,7,8.51,-1.0,3,0,2,Yr2-3,0.15212499999999984,8.51,8,-0.5,,0.375,0.4444,80.5
2016,CAR,10.5,6,7.19,-4.5,2,0,3,Yr2-3,0.6368749999999999,12.15,15,6.5,,1.25,0.625,50.9
2016,CHI,7.5,3,4.8,-4.5,,0,2,Yr2-3,-0.46525000000000016,6.41,6,-0.5,,-0.25,0.5,92.8
2016,CIN,9.5,6,8.3,-3.5,2,0,3,Yr2-3,0.1771249999999993,11.58,12,3.5,,0.6875,0.4667,28.2
2016,CLE,4.5,1,3.5,-3.5,,1,1,Yr1,-0.285874999999999,4.16,3,-3.5,,-0.5625,0.3571,70.7
2016,DAL,8.5,13,10.89,4.5,,0,3,Yr2-3,-0.6512499999999992,5.21,4,-5.5,,-1.375,0.2143,51.7
2016,DEN,9.5,9,9.08,-0.5,,0,2,Yr2-3,0.12287500000000051,9.7,12,2.0,,-0.25,0.619,56.7
2016,DET,7.0,9,7.68,2.0,2,0,3,Yr2-3,-0.1435000000000013,6.95,7,-1.5,,-0.375,0.4737,76.7
2016,GB,10.5,10,9.01,-0.5,1,0,3,Yr2-3,-0.3616249999999992,9.23,10,-1.0,,0.3125,0.4,56.2
2016,HOU,8.5,9,6.48,0.5,3,0,3,Yr2-3,0.4457499999999994,8.75,9,0.5,,0.3125,0.5789,64.8
2016,IND,9.0,8,8.45,-1.0,2,0,3,Yr2-3,0.10975000000000001,6.11,8,-2.5,,-0.3125,0.4211,65.1
2016,JAX,7.5,3,5.88,-4.5,3,0,3,Yr2-3,0.7146249999999998,6.36,5,-0.5,,-0.625,0.4737,68.9
2016,KC,9.5,12,10.07,2.5,3,0,3,Yr2-3,0.22362500000000107,11.1,11,2.5,,0.875,0.4667,54.9
2016,LAC,7.0,5,7.7,-2.0,2,0,3,Yr2-3,-0.22987499999999983,5.98,4,-4.0,,-0.25,0.45,81.5
2016,LAR,7.5,4,3.32,-3.5,4,0,3,Yr2-3,-0.09649999999999892,6.46,7,-0.5,,0.3125,0.5652,80.3
2016,LV,8.5,12,8.73,3.5,2,0,2,Yr2-3,-0.13637499999999925,7.0,7,1.5,,0.0625,0.5238,57.6
2016,MIA,7.0,10,7.57,3.0,3,1,1,Yr1,0.42350000000000065,5.9,6,-3.0,,-0.1875,0.3,63.4
2016,MIN,8.5,8,8.6,-0.5,3,0,3,Yr2-3,0.2685000000000013,9.77,11,3.0,,0.3125,0.5294,59.0
2016,NE,10.5,14,12.69,3.5,1,0,3,Yr2-3,0.4816250000000011,11.45,12,1.5,,0.4375,0.5625,93.3
2016,NO,7.0,7,8.31,0.0,2,0,3,Yr2-3,0.4747500000000002,6.55,7,-1.5,,0.125,0.619,56.1
2016,NYG,8.5,11,8.83,2.5,2,1,1,Yr1,0.22062500000000007,7.52,6,-2.0,,0.4375,0.65,138.7
2016,NYJ,8.0,5,4.49,-3.0,3,0,2,Yr2-3,1.2068750000000001,9.94,10,2.5,,0.375,0.6,61.8
2016,PHI,6.5,7,8.97,0.5,,1,1,Yr1,0.2363749999999989,6.76,7,-3.0,,-0.3125,0.4583,52.0
2016,PIT,10.5,11,9.85,0.5,1,0,3,Yr2-3,-0.06062499999999993,10.58,10,1.5,,0.125,0.65,67.1
2016,SEA,10.5,10,9.79,-0.5,2,0,3,Yr2-3,0.09187499999999993,11.71,10,-1.0,,0.4375,0.5294,40.1
2016,SF,5.5,2,4.17,-3.5,4,1,1,Yr1,-0.20425000000000004,3.84,5,-1.5,,-0.3125,0.375,83.9
2016,TB,7.0,9,7.61,2.0,3,1,1,Yr1,0.8282499999999997,6.15,6,0.0,,-0.3125,0.48,75.0
2016,TEN,6.0,9,8.07,3.0,3,1,1,Yr1,0.4639999999999995,4.88,3,-2.5,,-0.875,0.3333,65.2
2016,WAS,7.5,8,8.32,0.5,3,0,3,Yr2-3,0.8543750000000001,8.22,9,3.0,,0.3125,0.5926,119.1
2017,ARI,8.5,8,6.12,-0.5,3,0,4,Yr4+,0.4402500000000007,9.35,7,-3.0,0.75,0.0,0.56,77.8
2017,ATL,9.5,10,9.07,0.5,1,0,3,Yr2-3,0.3803750000000008,10.61,11,4.0,1.75,0.6875,0.7143,52.2
2017,BAL,8.5,9,10.43,0.5,3,0,4,Yr4+,-0.04225000000000012,8.63,8,-0.5,-2.25,0.3125,0.5882,60.3
2017,BUF,6.5,9,6.38,2.5,3,1,1,Yr1,0.6552499999999997,8.51,7,-1.0,-0.75,0.375,0.5455,97.8
2017,CAR,9.0,11,8.99,2.0,2,0,4,Yr4+,-0.32387500000000014,7.19,6,-4.5,1.0,-0.125,0.5,56.5
2017,CHI,5.5,5,6.21,-0.5,,0,3,Yr2-3,0.3283749999999994,4.8,3,-4.5,-2.5,-1.25,0.2,155.1
2017,CIN,8.5,7,6.27,-1.5,3,0,4,Yr4+,-0.2678749999999992,8.3,6,-3.5,0.0,0.1875,0.25,35.1
2017,CLE,4.5,0,3.35,-4.5,,0,2,Yr2-3,-0.5999999999999996,3.5,1,-3.5,-3.5,-0.75,0.2143,96.4
