year,team,pyth_wins_T,sos_pyth_T,pyth_wins_T1,sos_pyth_T1,opp_pyth_delta
2016,ARI,9.35,7.40375,11.88,7.63375,-0.23000000000000043
2016,ATL,10.61,7.900625,7.83,7.32,0.5806249999999995
2016,BAL,8.63,8.01125,6.13,8.285625,-0.27437499999999915
2016,BUF,8.51,7.56375,8.51,8.191875,-0.6281249999999998
2016,CAR,7.19,8.261875,12.15,7.238125,1.0237499999999997
2016,CHI,4.8,8.015625,6.41,8.37125,-0.35562499999999986
2016,CIN,8.3,8.111875,11.58,7.916875,0.1949999999999994
2016,CLE,3.5,8.725,4.16,8.691875,0.03312500000000007
2016,DAL,10.89,7.774375,5.21,8.40125,-0.6268749999999992
2016,DEN,9.08,8.536875,9.7,8.158125,0.37875000000000014
2016,DET,7.68,7.64625,6.95,8.2375,-0.5912500000000005
2016,GB,9.01,8.028125,9.23,8.205625,-0.1775000000000002
2016,HOU,6.48,8.21625,8.75,7.86625,0.35000000000000053
2016,IND,8.45,7.554375,6.11,8.04625,-0.4918750000000003
2016,JAX,5.88,8.050625,6.36,7.504375,0.5462500000000006
2016,KC,10.07,7.9975000000000005,11.1,7.9643749999999995,0.03312500000000096
2016,LAC,7.7,8.089375,5.98,8.291875,-0.2024999999999988
2016,LAR,3.32,8.131874999999999,6.46,8.3775,-0.24562500000000043
2016,LV,8.73,8.34,7.0,8.324375,0.015625
2016,MIA,7.57,7.75375,5.9,7.8575,-0.10374999999999979
2016,MIN,8.6,7.838125,9.77,8.0125,-0.1743749999999995
2016,NE,12.69,7.100625,11.45,7.6743749999999995,-0.5737499999999995
2016,NO,8.31,8.09625,6.55,7.80625,0.28999999999999915
2016,NYG,8.83,8.0225,7.52,7.654375,0.3681250000000009
2016,NYJ,4.49,8.310625,9.94,7.293125,1.0175
2016,PHI,8.97,8.553125,6.76,8.075625,0.47749999999999915
2016,PIT,9.85,8.103125,10.58,8.060625,0.042500000000000426
2016,SEA,9.79,7.415,11.71,7.908125,-0.49312500000000004
2016,SF,4.17,7.974375,3.84,8.76625,-0.7918749999999992
2016,TB,7.61,8.1325,6.15,7.48375,0.6487500000000006
2016,TEN,8.07,7.3975,4.88,7.63,-0.23249999999999993
2016,WAS,8.32,8.393125,8.22,7.520625,0.8724999999999996
2017,ARI,6.12,8.1125,9.35,7.40375,0.7087500000000011
2017,ATL,9.07,8.29125,10.61,7.900625,0.390625
2017,BAL,10.43,7.0893749999999995,8.63,8.01125,-0.9218750000000009
2017,BUF,6.38,7.686875000000001,8.51,7.56375,0.12312500000000082
2017,CAR,8.99,8.358125,7.19,8.261875,0.0962499999999995
2017,CHI,6.21,8.641875,4.8,8.015625,0.6262500000000006
2017,CIN,6.27,7.661875,8.3,8.111875,-0.4499999999999993
2017,CLE,3.35,8.296875,3.5,8.725,-0.42812499999999964
2017,DAL,8.61,7.844375,10.89,7.774375,0.07000000000000028
2017,DEN,5.45,7.70875,9.08,8.536875,-0.828125
2017,DET,8.82,7.7993749999999995,7.68,7.64625,0.1531249999999993
2017,GB,6.3,8.57375,9.01,8.028125,0.5456250000000011
2017,HOU,5.66,8.26625,6.48,8.21625,0.049999999999998934
2017,IND,4.25,7.826875,8.45,7.554375,0.27249999999999996
2017,JAX,11.85,7.146875,5.88,8.050625,-0.9037500000000005
2017,KC,9.88,7.5093749999999995,10.07,7.9975000000000005,-0.48812500000000103
2017,LAC,10.44,7.3775,7.7,8.089375,-0.711875
2017,LAR,11.33,7.895,3.32,8.131874999999999,-0.2368749999999995
2017,LV,6.01,8.095625,8.73,8.34,-0.2443749999999998
2017,MIA,4.98,8.31875,7.57,7.75375,0.5649999999999995
2017,MIN,11.65,7.943125,8.6,7.838125,0.10500000000000043
2017,NE,11.8,7.36375,12.69,7.100625,0.2631249999999996
