year,team,win_total_line,over_odds,under_odds,actual_wins,result,games,points_for,points_against,point_diff,avg_point_diff,pyth_win_pct,pyth_wins,n_games,sos_actual_wins,sos_pyth_wins,sos_this_year_line,next_actual_wins,next_pyth_wins,next_win_total_line,sos_next_yr_line,win_change,pyth_win_change,schedule_delta_actual,schedule_delta_pyth,luck
2015,ARI,8.5,120,-140,13,Over,16,489,313,176,11.0,0.7422,11.88,16,7.625,7.63375,8.438,7,9.35,10.0,8.0,-6,-2.530000000000001,0.375,0.36624999999999996,1.1199999999999992
2016,ARI,10.0,-170,150,7,Under,16,418,362,56,3.5,0.5844,9.35,16,7.3125,7.40375,8.0,8,6.12,8.5,7.844,1,-3.2299999999999995,0.5315000000000003,0.4402500000000007,-2.3499999999999996
2017,ARI,8.5,-160,140,8,Under,16,295,361,-66,-4.125,0.3826,6.12,16,7.8125,8.1125,7.844,3,2.9,6.0,8.5,-5,-3.22,0.6875,0.3874999999999993,1.88
2018,ARI,6.0,-130,110,3,Under,16,225,425,-200,-12.5,0.1813,2.9,16,8.375,8.351875,8.5,5,6.12,5.0,8.375,2,3.22,0.0,0.023125000000000284,0.10000000000000009
2019,ARI,5.0,-120,100,5,Push,16,361,442,-81,-5.062,0.3823,6.12,16,8.4375,8.24375,8.375,8,9.04,7.5,8.188,3,2.919999999999999,-0.2494999999999994,-0.055749999999999744,-1.12
2020,ARI,7.5,-110,-110,8,Over,16,410,367,43,2.688,0.5653,9.04,16,7.5625,7.748125,8.188,11,10.52,8.5,8.735,3,1.4800000000000004,1.1724999999999994,0.9868749999999995,-1.0399999999999991
2021,ARI,8.5,-110,-110,11,Over,17,449,366,83,4.882,0.6188,10.52,17,8.294117647058824,8.456470588235293,8.735,4,5.8,8.5,8.853,-7,-4.72,0.5588823529411755,0.3965294117647069,0.4800000000000004
2022,ARI,8.5,110,-130,4,Under,17,340,449,-109,-6.412,0.341,5.8,17,9.0,8.82,8.853,4,5.41,4.5,8.824,0,-0.3899999999999997,-0.17600000000000016,0.0039999999999995595,-1.7999999999999998
2023,ARI,4.5,140,-160,4,Under,17,330,455,-125,-7.353,0.3184,5.41,17,9.529411764705882,8.972941176470588,8.824,8,9.04,7.0,8.559,4,3.629999999999999,-0.970411764705883,-0.4139411764705887,-1.4100000000000001
2024,ARI,7.0,-130,110,8,Over,17,400,379,21,1.235,0.5319,9.04,17,9.117647058823529,8.721176470588235,8.559,3,5.44,8.5,8.5,-5,-3.5999999999999988,-0.617647058823529,-0.22117647058823486,-1.0399999999999991
2015,ATL,8.5,-110,-110,8,Under,16,339,345,-6,-0.375,0.4896,7.83,16,7.6875,7.32,7.75,11,10.61,7.0,8.375,3,2.7799999999999994,0.6875,1.0549999999999997,0.16999999999999993
2016,ATL,7.0,-130,110,11,Over,16,540,406,134,8.375,0.6628,10.61,16,7.625,7.900625,8.375,10,9.07,9.5,8.281,-1,-1.5399999999999991,0.6560000000000006,0.3803750000000008,0.39000000000000057
2017,ATL,9.5,-110,-110,10,Over,16,353,315,38,2.375,0.5671,9.07,16,8.6875,8.29125,8.281,7,7.8,9.5,8.125,-3,-1.2700000000000005,-0.5625,-0.1662499999999998,0.9299999999999997
2018,ATL,9.5,-120,100,7,Under,16,414,423,-9,-0.562,0.4873,7.8,16,7.625,7.79,8.125,7,7.56,8.5,8.344,0,-0.2400000000000002,0.7189999999999994,0.5539999999999994,-0.7999999999999998
2019,ATL,8.5,-140,120,7,Under,16,381,399,-18,-1.125,0.4727,7.56,16,8.6875,8.31125,8.344,4,7.58,7.5,8.594,-3,0.020000000000000462,-0.09350000000000058,0.28275000000000006,-0.5599999999999996
2020,ATL,7.5,100,-120,4,Under,16,396,414,-18,-1.125,0.4737,7.58,16,8.8125,8.423125,8.594,7,4.89,7.5,8.559,3,-2.6900000000000004,-0.2535000000000007,0.13587499999999864,-3.58
2021,ATL,7.5,-120,100,7,Under,17,313,459,-146,-8.588,0.2875,4.89,17,8.0,8.357058823529412,8.559,7,7.94,4.5,8.618,0,3.0500000000000007,0.6180000000000003,0.26094117647058823,2.1100000000000003
2022,ATL,4.5,-140,120,7,Over,17,365,386,-21,-1.235,0.4669,7.94,17,7.882352941176471,8.03,8.618,7,7.0,8.5,7.618,0,-0.9400000000000004,-0.2643529411764707,-0.41199999999999903,-0.9400000000000004
2023,ATL,8.5,-155,135,7,Under,17,321,373,-52,-3.059,0.412,7.0,17,7.294117647058823,7.642941176470589,7.618,8,7.66,9.5,7.588,1,0.6600000000000001,0.2938823529411767,-0.054941176470588715,0.0
