year,team,win_total_line,actual_wins,beat_margin,new_coach,sos_this_year_line,prior_year_under,prior_beat_margin,prior_actual_wins,prior_avg_point_diff,prior_pyth_wins,prior_luck,sos_prior_year_wins,adp_top100_count,adp_linear_weight
2016,ARI,10.0,7,-3.0,0,8.0,0,4.5,13,11.0,11.88,1.12,8.5,5,238
2016,ATL,7.0,11,4.0,0,8.375,1,-0.5,8,-0.375,7.83,0.17,8.875,3,199
2016,BAL,8.5,8,-0.5,0,8.094,1,-4.0,5,-4.562,6.13,-1.13,7.75,1,7
2016,BUF,8.0,7,-1.0,0,8.344,1,-0.5,8,1.25,8.51,-0.51,8.312,3,153
2016,CAR,10.5,6,-4.5,0,7.875,0,6.5,15,12.0,12.15,2.85,8.188,4,233
2016,CHI,7.5,3,-4.5,0,7.906,1,-0.5,6,-3.875,6.41,-0.41,7.375,3,120
2016,CIN,9.5,6,-3.5,0,8.094,0,3.5,12,8.75,11.58,0.42,7.438,5,208
2016,CLE,4.5,1,-3.5,1,8.406,1,-3.5,3,-9.625,4.16,-1.16,7.688,1,17
2016,DAL,8.5,13,4.5,0,7.75,1,-5.5,4,-6.188,5.21,-1.21,7.438,3,227
2016,DEN,9.5,9,-0.5,0,8.281,0,2.0,12,3.688,9.7,2.3,8.062,3,137
2016,DET,7.0,9,2.0,0,8.094,1,-1.5,7,-2.625,6.95,0.05,7.438,4,111
2016,GB,10.5,10,-0.5,0,7.844,1,-1.0,10,2.812,9.23,0.77,7.312,4,306
2016,HOU,8.5,9,0.5,0,8.312,0,0.5,9,1.625,8.75,0.25,7.75,2,174
2016,IND,9.0,8,-1.0,0,8.156,1,-2.5,8,-4.688,6.11,1.89,7.625,4,212
2016,JAX,7.5,3,-4.5,0,8.219,1,-0.5,5,-4.5,6.36,-1.36,7.562,4,202
2016,KC,9.5,12,2.5,0,8.188,0,2.5,11,7.375,11.1,-0.1,7.938,3,143
2016,LAC,7.0,5,-2.0,0,8.062,1,-4.0,4,-4.875,5.98,-1.98,8.125,4,171
2016,LAR,7.5,4,-3.5,0,8.281,1,-0.5,7,-3.125,6.46,0.54,8.812,1,94
2016,LV,8.5,12,3.5,0,8.188,0,1.5,7,-2.5,7.0,0.0,8.0,4,179
2016,MIA,7.0,10,3.0,1,8.281,1,-3.0,6,-4.938,5.9,0.1,8.25,5,99
2016,MIN,8.5,8,-0.5,0,8.281,0,3.0,11,3.938,9.77,1.23,7.812,1,91
2016,NE,10.5,14,3.5,0,8.156,0,1.5,12,9.375,11.45,0.55,8.375,3,203
2016,NO,7.0,7,0.0,0,8.281,1,-1.5,7,-4.25,6.55,0.45,8.75,4,229
2016,NYG,8.5,11,2.5,1,7.875,1,-2.0,6,-1.375,7.52,-1.52,7.375,3,167
2016,NYJ,8.0,5,-3.0,0,8.5,0,2.5,10,4.562,9.94,0.06,8.5,3,157
2016,PHI,6.5,7,0.5,1,8.312,1,-3.0,7,-3.312,6.76,0.24,7.5,2,52
2016,PIT,10.5,11,0.5,0,8.0,0,1.5,10,6.5,10.58,-0.58,7.562,3,274
2016,SEA,10.5,10,-0.5,0,8.0,1,-1.0,10,9.125,11.71,-1.71,8.688,4,209
2016,SF,5.5,2,-3.5,1,8.562,1,-1.5,5,-9.312,3.84,1.16,8.875,1,50
2016,TB,7.0,9,2.0,1,8.312,0.5,0.0,6,-4.688,6.15,-0.15,8.688,3,183
2016,TEN,6.0,9,3.0,1,8.094,1,-2.5,3,-7.75,4.88,-1.88,7.562,3,78
2016,WAS,7.5,8,0.5,0,8.375,0,3.0,9,0.562,8.22,0.78,7.875,4,127
2017,ARI,8.5,8,-0.5,0,7.844,1,-3.0,7,3.5,9.35,-2.35,7.375,3,161
2017,ATL,9.5,10,0.5,0,8.281,0,4.0,11,8.375,10.61,0.39,8.312,4,281
2017,BAL,8.5,9,0.5,0,7.969,1,-0.5,8,1.375,8.63,-0.63,7.312,2,31
2017,BUF,6.5,9,2.5,1,8.219,1,-1.0,7,1.312,8.51,-1.51,8.938,2,121
2017,CAR,9.0,11,2.0,0,7.938,1,-4.5,6,-2.062,7.19,-1.19,8.062,4,213
2017,CHI,5.5,5,-0.5,0,8.344,1,-4.5,3,-7.5,4.8,-1.8,7.625,1,80
2017,CIN,8.5,7,-1.5,0,7.844,1,-3.5,6,0.625,8.3,-2.3,7.188,4,195
2017,CLE,4.5,0,-4.5,0,8.125,1,-3.5,1,-11.75,3.5,-2.5,7.438,1,64
2017,DAL,9.5,9,-0.5,0,8.375,0,4.5,13,7.188,10.89,2.11,8.375,4,213
2017,DEN,8.0,5,-3.0,1,8.281,1,-0.5,9,2.25,9.08,-0.08,9.188,3,98
2017,DET,7.5,9,1.5,0,8.344,0,2.0,9,-0.75,7.68,1.32,7.438,3,105
2017,GB,10.5,7,-3.5,0,8.125,1,-0.5,10,2.75,9.01,0.99,7.625,4,282
2017,HOU,8.5,4,-4.5,0,8.156,0,0.5,9,-3.062,6.48,2.52,7.188,2,120
2017,IND,8.0,4,-4.0,0,7.781,1,-1.0,8,1.188,8.45,-0.45,6.688,3,137
2017,JAX,6.5,10,3.5,1,7.75,1,-4.5,3,-5.125,5.88,-2.88,6.938,2,105
2017,KC,9.0,10,1.0,0,8.312,0,2.5,12,4.875,10.07,1.93,9.188,4,167
2017,LAC,7.5,9,1.5,1,8.0,1,-2.0,5,-0.812,7.7,-2.7,9.062,3,207
2017,LAR,6.0,11,5.0,1,8.188,1,-3.5,4,-10.625,3.32,0.68,7.562,2,100
2017,LV,9.5,6,-3.5,0,8.156,0,3.5,12,1.938,8.73,3.27,9.0,4,250
2017,MIA,7.0,6,-1.0,0,8.219,0,3.0,10,-1.062,7.57,2.43,8.75,4,129
2017,MIN,8.5,13,4.5,0,7.969,1,-0.5,8,1.25,8.6,-0.6,7.188,4,90
2017,NE,12.5,13,0.5,0,7.625,0,3.5,14,11.938,12.69,1.31,8.438,5,282
2017,NO,8.0,11,3.0,0,8.062,0.5,0.0,7,0.938,8.31,-1.31,8.125,5,239
2017,NYG,9.0,3,-6.0,0,8.188,0,2.5,11,1.625,8.83,2.17,8.438,3,151
2017,NYJ,3.5,5,1.5,0,8.25,1,-3.0,5,-8.375,4.49,0.51,8.562,1,26
2017,PHI,8.5,13,4.5,0,8.156,0,0.5,7,2.25,8.97,-1.97,8.375,3,103
2017,PIT,10.5,13,2.5,0,8.031,0,0.5,11,4.5,9.85,1.15,7.188,4,299
2017,SEA,10.5,9,-1.5,0,7.844,1,-0.5,10,3.875,9.79,0.21,7.188,3,188
2017,SF,5.0,6,1.0,1,8.188,1,-3.5,2,-10.688,4.17,-2.17,7.438,1,51
2017,TB,8.5,5,-3.5,0,8.25,0,2.0,9,-0.938,7.61,1.39,8.25,3,192
2017,TEN,9.0,9,0.0,0,7.781,0,3.0,9,0.188,8.07,0.93,6.938,4,171
2017,WAS,7.5,7,-0.5,0,8.406,0,0.5,8,0.812,8.32,-0.32,8.625,5,199
2018,ARI,6.0,3,-3.0,1,8.5,1,-0.5,8,-4.125,6.12,1.88,8.312,2,150
2018,ATL,9.5,7,-2.5,0,8.125,0,0.5,10,2.375,9.07,0.93,8.125,3,216
2018,BAL,8.5,10,1.5,0,7.938,0,0.5,9,5.75,10.43,-1.43,7.812,2,71
2018,BUF,5.5,6,0.5,0,8.312,0,2.5,9,-3.562,6.38,2.62,7.938,1,68
2018,CAR,8.5,7,-1.5,0,8.188,0,2.0,11,2.25,8.99,2.01,8.188,3,192
2018,CHI,7.5,12,4.5,1,8.094,1,-0.5,5,-3.5,6.21,-1.21,8.312,5,137
2018,CIN,7.0,6,-1.0,0,8.156,1,-1.5,7,-3.688,6.27,0.73,7.562,2,148
2018,CLE,6.0,7,1.0,0,8.312,1,-4.5,0,-11.0,3.35,-3.35,8.375,2,87
2018,DAL,8.5,10,1.5,0,8.188,1,-0.5,9,1.375,8.61,0.39,8.0,2,126
2018,DEN,7.0,6,-1.0,0,8.094,1,-3.0,5,-5.812,5.45,-0.45,7.625,4,99
2018,DET,7.5,6,-1.5,1,8.312,0,1.5,9,2.125,8.82,0.18,8.562,4,135
2018,GB,10.0,6,-4.0,0,7.969,1,-3.5,7,-4.0,6.3,0.7,8.625,4,213
2018,HOU,8.5,11,2.5,0,7.75,1,-4.5,4,-6.125,5.66,-1.66,7.25,4,233
2018,IND,7.5,10,2.5,1,7.969,1,-4.0,4,-8.812,4.25,-0.25,7.75,3,140
2018,JAX,9.0,5,-4.0,0,8.062,0,3.5,10,9.312,11.85,-1.85,7.625,2,112
2018,KC,8.5,12,3.5,0,8.25,0,1.0,10,4.75,9.88,0.12,7.875,5,266
2018,LAC,9.5,12,2.5,0,7.719,0,1.5,9,5.188,10.44,-1.44,7.688,3,225
2018,LAR,10.0,13,3.0,0,8.219,0,5.0,11,9.312,11.33,-0.33,8.375,3,182
2018,LV,7.5,4,-3.5,1,8.0,1,-3.5,6,-4.5,6.01,-0.01,7.562,3,117
2018,MIA,6.5,7,0.5,0,7.969,1,-1.0,6,-7.0,4.98,1.02,8.0,1,55
2018,MIN,10.0,8,-2.0,0,8.188,0,4.5,13,8.125,11.65,1.35,8.312,5,291
2018,NE,11.0,11,0.0,0,7.688,0,0.5,13,10.125,11.8,1.2,7.75,6,247
2018,NO,9.5,13,3.5,0,8.375,0,3.0,11,7.625,10.88,0.12,8.562,4,295
2018,NYG,7.0,5,-2.0,1,8.438,1,-6.0,3,-8.875,4.06,-1.06,8.312,4,221
2018,NYJ,6.0,4,-2.0,0,7.938,0,1.5,5,-5.25,5.71,-0.71,7.625,0,0
2018,PHI,10.5,9,-1.5,0,8.25,0,4.5,13,10.125,11.81,1.19,7.875,4,171
2018,PIT,10.5,9,-1.5,0,8.094,0,2.5,13,6.125,10.53,2.47,7.625,4,292
2018,SEA,7.5,10,2.5,0,8.344,1,-1.5,9,2.125,8.92,0.08,8.375,3,171
2018,SF,8.5,4,-4.5,0,8.0,0,1.0,6,-3.25,6.63,-0.63,8.0,2,86
2018,TB,6.5,5,-1.5,0,8.5,1,-3.5,5,-2.938,6.77,-1.77,8.5,3,99
2018,TEN,8.0,9,1.0,1,8.125,0.5,0.0,9,-1.375,7.4,1.6,7.438,5,167
2018,WAS,7.0,7,0.0,0,8.438,1,-0.5,7,-2.875,6.81,0.19,8.062,2,38
2019,ARI,5.0,5,0.0,1,8.375,1,-3.0,3,-12.5,2.9,0.1,8.062,3,147
2019,ATL,8.5,7,-1.5,0,8.344,1,-2.5,7,-0.562,7.8,-0.8,8.25,4,256
2019,BAL,8.5,14,5.5,0,8.188,0,1.5,10,6.375,10.76,-0.76,7.812,2,85
2019,BUF,7.0,10,3.0,0,7.875,0,0.5,6,-6.562,5.03,0.97,7.625,1,18
2019,CAR,8.0,5,-3.0,0,8.156,1,-1.5,7,-0.375,7.85,-0.85,8.0,3,180
2019,CHI,9.0,8,-1.0,0,8.406,0,4.5,12,8.625,11.51,0.49,8.188,4,108
2019,CIN,6.0,2,-4.0,1,8.188,1,-1.0,6,-5.438,6.03,-0.03,7.438,3,137
2019,CLE,9.0,6,-3.0,1,7.875,0,1.0,7,-2.062,7.17,-0.17,7.688,4,270
2019,DAL,9.0,8,-1.0,0,8.062,0,1.5,10,0.938,8.43,1.57,8.0,3,189
2019,DEN,7.0,7,0.0,1,8.406,1,-1.0,6,-1.25,7.44,-1.44,8.5,1,39
2019,DET,6.5,3,-3.5,0,8.125,1,-1.5,6,-2.25,7.01,-1.01,7.812,3,119
2019,GB,9.0,13,4.0,1,8.094,1,-4.0,6,-1.5,7.41,-1.41,8.0,3,241
2019,HOU,8.5,10,1.5,0,8.375,0,2.5,11,5.375,10.22,0.78,8.438,4,198
2019,IND,7.5,7,-0.5,0,8.125,0,2.5,10,5.562,10.13,-0.13,8.25,3,181
2019,JAX,8.0,6,-2.0,0,8.031,1,-4.0,5,-4.438,5.66,-0.66,8.5,2,75
2019,KC,10.5,12,1.5,0,8.219,0,3.5,12,9.0,10.68,1.32,8.25,4,338
2019,LAC,10.0,5,-5.0,0,7.906,0,2.5,12,6.188,10.42,1.58,7.938,6,230
2019,LAR,10.5,9,-1.5,0,8.031,0,3.0,13,8.938,10.87,2.13,7.5,5,265
2019,LV,6.0,7,1.0,0,8.375,1,-3.5,4,-11.062,3.91,0.09,8.562,3,143
2019,MIA,4.5,5,0.5,1,8.344,0,0.5,7,-7.125,5.22,1.78,7.938,1,11
2019,MIN,9.0,10,1.0,0,8.188,1,-2.0,8,1.188,8.51,-0.51,8.125,4,239
2019,NE,11.5,12,0.5,0,7.562,0.5,0.0,11,6.938,10.68,0.32,7.5,4,160
2019,NO,10.5,13,2.5,0,8.031,0,3.5,13,9.438,11.19,1.81,7.812,5,264
2019,NYG,6.0,4,-2.0,0,7.844,1,-2.0,5,-2.688,6.96,-1.96,7.5,2,130
2019,NYJ,7.5,7,-0.5,1,7.75,1,-2.0,4,-6.75,5.43,-1.43,7.5,3,108
2019,PHI,10.0,9,-1.0,0,7.719,1,-1.5,9,1.188,8.5,0.5,7.562,4,165
2019,PIT,9.5,8,-1.5,0,7.969,1,-1.5,9,4.25,9.62,-0.62,7.875,4,223
2019,SEA,9.0,11,2.0,0,8.281,0,2.5,10,5.062,9.95,0.05,7.562,3,150
2019,SF,8.0,13,5.0,0,8.156,1,-4.5,4,-5.812,5.78,-1.78,8.062,3,111
2019,TB,6.5,7,0.5,1,8.188,1,-1.5,5,-4.25,6.52,-1.52,8.125,4,206
2019,TEN,8.0,9,1.0,0,8.188,0,1.0,9,0.438,8.22,0.78,8.188,1,49
2019,WAS,6.0,3,-3.0,0,8.125,0.5,0.0,7,-4.875,5.74,1.26,7.438,1,15
2020,ARI,7.5,8,0.5,0,8.188,0.5,0.0,5,-5.062,6.12,-1.12,8.25,3,238
2020,ATL,7.5,4,-3.5,0,8.594,1,-1.5,7,-1.125,7.56,-0.56,8.375,4,256
2020,BAL,11.5,11,-0.5,0,8.031,0,5.5,14,15.562,13.08,0.92,7.0,5,207
2020,BUF,9.0,13,4.0,0,8.219,0,3.0,10,3.438,9.79,0.21,8.375,3,151
2020,CAR,5.5,5,-0.5,1,8.406,1,-3.0,5,-8.125,5.07,-0.07,7.938,2,152
2020,CHI,8.0,8,0.0,0,7.938,1,-1.0,8,-1.125,7.41,0.59,8.062,2,96
2020,CIN,5.5,4,-1.5,0,8.375,1,-4.0,2,-8.812,4.4,-2.4,7.625,3,126
2020,CLE,8.5,11,2.5,1,8.0,1,-3.0,6,-3.625,6.5,-0.5,7.375,5,236
2020,DAL,10.0,6,-4.0,1,8.094,1,-1.0,8,7.062,10.74,-2.74,7.312,4,265
2020,DEN,7.5,5,-2.5,0,8.469,0.5,0.0,7,-2.125,6.93,0.07,8.188,4,121
2020,DET,7.0,5,-2.0,0,7.906,1,-3.5,3,-5.125,6.0,-3.0,8.375,3,143
2020,GB,8.5,13,4.5,0,8.188,0,4.0,13,3.938,9.71,3.29,8.0,3,236
2020,HOU,7.5,4,-3.5,0,8.312,0,1.5,10,-0.438,7.83,2.17,8.25,4,158
2020,IND,9.5,11,1.5,0,7.656,1,-0.5,7,-0.75,7.69,-0.69,8.0,4,113
2020,JAX,4.5,1,-3.5,0,8.281,1,-2.0,6,-6.062,5.44,0.56,7.875,2,40
2020,KC,11.5,14,2.5,0,8.031,0,1.5,12,8.938,11.39,0.61,8.0,4,339
2020,LAC,8.0,7,-1.0,0,7.906,1,-5.0,5,-0.5,7.78,-2.78,7.875,3,120
2020,LAR,8.5,10,1.5,0,8.375,1,-1.5,9,1.875,8.75,0.25,8.188,3,142
