year,team,line_change,bucket,win_total_line,actual_wins,beat_margin,result
2016,ARI,1.5,mod_rise (+0.5..+2.5),10.0,7,-3.0,Under
2016,ATL,-1.5,mod_drop (-2.5..-0.5),7.0,11,4.0,Over
2016,BAL,-0.5,mod_drop (-2.5..-0.5),8.5,8,-0.5,Under
2016,BUF,-0.5,mod_drop (-2.5..-0.5),8.0,7,-1.0,Under
2016,CAR,2.0,mod_rise (+0.5..+2.5),10.5,6,-4.5,Under
2016,CHI,1.0,mod_rise (+0.5..+2.5),7.5,3,-4.5,Under
2016,CIN,1.0,mod_rise (+0.5..+2.5),9.5,6,-3.5,Under
2016,CLE,-2.0,mod_drop (-2.5..-0.5),4.5,1,-3.5,Under
2016,DAL,-1.0,mod_drop (-2.5..-0.5),8.5,13,4.5,Over
2016,DEN,-0.5,mod_drop (-2.5..-0.5),9.5,9,-0.5,Under
2016,DET,-1.5,mod_drop (-2.5..-0.5),7.0,9,2.0,Over
2016,GB,-0.5,mod_drop (-2.5..-0.5),10.5,10,-0.5,Under
2016,HOU,0.0,stable (-0.5..+0.5),8.5,9,0.5,Over
2016,IND,-1.5,mod_drop (-2.5..-0.5),9.0,8,-1.0,Under
2016,JAX,2.0,mod_rise (+0.5..+2.5),7.5,3,-4.5,Under
2016,KC,1.0,mod_rise (+0.5..+2.5),9.5,12,2.5,Over
2016,LAR,0.0,stable (-0.5..+0.5),7.5,4,-3.5,Under
2016,MIA,-2.0,mod_drop (-2.5..-0.5),7.0,10,3.0,Over
2016,MIN,0.5,mod_rise (+0.5..+2.5),8.5,8,-0.5,Under
2016,NE,0.0,stable (-0.5..+0.5),10.5,14,3.5,Over
2016,NO,-1.5,mod_drop (-2.5..-0.5),7.0,7,0.0,Push
2016,NYG,0.5,mod_rise (+0.5..+2.5),8.5,11,2.5,Over
2016,NYJ,0.5,mod_rise (+0.5..+2.5),8.0,5,-3.0,Under
2016,LV,3.0,big_rise (>=+2.5),8.5,12,3.5,Over
2016,PHI,-3.5,big_drop (<=-2.5),6.5,7,0.5,Over
