year,player,matched_name,team,games,yards_line,yards_actual,yards_diff,yards_result,rec_line,rec_actual,rec_diff,rec_result,td_line,td_actual,td_diff,td_result
2022,Cooper Kupp,Cooper Kupp,LAR,9,1300.5,812,-488.5,under,,75,,,,6,,
2022,Justin Jefferson,Justin Jefferson,MIN,17,1350.5,1809,458.5,over,,128,,,,8,,
2022,Ja'Marr Chase,Ja'Marr Chase,CIN,12,1210.5,1046,-164.5,under,,87,,,,9,,
2022,Stefon Diggs,Stefon Diggs,BUF,16,1225.5,1429,203.5,over,,108,,,,11,,
2022,Davante Adams,Davante Adams,LV,17,1200.5,1516,315.5,over,,100,,,,14,,
2022,CeeDee Lamb,CeeDee Lamb,DAL,17,1200.5,1359,158.5,over,,107,,,,9,,
2022,Deebo Samuel,Deebo Samuel Sr.,SF,13,925.5,632,-293.5,under,,56,,,,2,,
2022,Mike Evans,Mike Evans,TB,15,1025.5,1124,98.5,over,,77,,,,6,,
2022,Tyreek Hill,Tyreek Hill,MIA,17,1025.5,1710,684.5,over,,119,,,,7,,
2022,Tee Higgins,Tee Higgins,CIN,14,1000.5,1029,28.5,over,,74,,,,7,,
2022,Keenan Allen,Keenan Allen,LAC,10,1025.5,752,-273.5,under,,66,,,,4,,
2022,Michael Pittman,Michael Pittman,IND,16,1025.5,925,-100.5,under,,99,,,,4,,
2022,AJ Brown,A.J. Brown,PHI,17,1000.5,1496,495.5,over,,88,,,,11,,
2022,DJ Moore,DJ Moore,CAR,17,1100.5,888,-212.5,under,,63,,,,7,,
2022,Mike Williams,Mike Williams,LAC,13,950.5,895,-55.5,under,,63,,,,4,,
2022,Jaylen Waddle,Jaylen Waddle,MIA,17,925.5,1356,430.5,over,,75,,,,8,,
2022,Terry McLaurin,Terry McLaurin,WAS,17,1000.5,1191,190.5,over,,77,,,,5,,
2022,Courtland Sutton,Courtland Sutton,DEN,15,925.5,829,-96.5,under,,64,,,,2,,
2022,Diontae Johnson,Diontae Johnson,PIT,17,950.5,882,-68.5,under,,86,,,,0,,
2022,DK Metcalf,DK Metcalf,SEA,17,900.5,1048,147.5,over,,90,,,,6,,
2022,Marquise Brown,Marquise Brown,ARI,12,875.5,709,-166.5,under,,67,,,,3,,
2022,Allen Robinson,Allen Robinson,LAR,10,850.5,339,-511.5,under,,33,,,,3,,
2022,Brandin Cooks,Brandin Cooks,HOU,13,950.5,699,-251.5,under,,57,,,,3,,
2022,Gabriel Davis,Gabe Davis,BUF,15,850.5,836,-14.5,under,,48,,,,7,,
2022,Jerry Jeudy,Jerry Jeudy,DEN,15,950.5,972,21.5,over,,67,,,,6,,
2022,Amon-Ra St. Brown,Amon-Ra St. Brown,DET,16,850.5,1161,310.5,over,,106,,,,6,,
2022,Darnell Mooney,Darnell Mooney,CHI,11,950.5,493,-457.5,under,,40,,,,2,,
